epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.54,13.15,18.84,9.2,13.182500000000001,4.105544015921236
1,47.22,18.93,18.58,12.89,24.405,15.459901897058295
2,48.26,24.02,20.06,13.28,26.405,15.229947472003964
3,47.02,36.92,23.41,13.38,30.182499999999997,14.79961795678073
4,51.22,47.18,26.12,14.73,34.8125,17.330392138283155
5,51.37,51.47,29.26,15.52,36.905,17.674272262246046
6,53.58,57.25,34.44,16.12,40.3475,18.99705130627733
7,54.82,61.88,37.6,16.67,42.74250000000001,20.152175027359537
8,55.09,66.12,40.78,18.81,45.2,20.424062605988393
9,56.27,68.46,45.32,19.75,47.449999999999996,20.744793724370137
10,56.35,69.86,48.55,22.14,49.224999999999994,20.088319159816898
11,54.3,72.05,51.21,22.89,50.1125,20.33927297127407
12,54.9,73.19,55.48,24.58,52.037499999999994,20.177440166350802
13,57.16,76.08,57.81,26.02,54.267500000000005,20.773559115696408
14,58.65,76.13,60.24,28.56,55.895,19.858889697060103
15,51.6,77.43,62.21,30.0,55.31,19.92707203780827
16,56.75,79.22,63.51,31.94,57.855,19.674437730212265
17,55.46,81.46,65.66,32.74,58.83,20.419033604295116
18,54.35,82.06,67.42,32.94,59.192499999999995,20.84272754863592
19,57.15,82.51,66.74,35.22,60.404999999999994,19.779134628862476
20,61.82,83.71,69.16,35.27,62.49,20.29905252304484
21,61.56,84.26,70.13,36.37,63.08,20.11657194122962
22,58.79,84.95,69.99,37.71,62.86000000000001,19.8988475378182
23,58.81,85.45,71.06,38.11,63.3575,20.045972787570076
24,61.75,85.0,72.03,37.51,64.0725,20.10176173871335
25,64.65,86.75,72.52,38.96,65.72,20.04780453482791
26,65.06,86.15,73.72,38.31,65.81,20.273925783297784
27,63.5,87.49,74.13,39.8,66.23,20.16924556513373
28,67.5,88.39,74.12,41.74,67.9375,19.51946443083587
29,66.06,87.05,74.62,40.6,67.08250000000001,19.645892488422778
30,69.53,87.74,74.94,42.89,68.77499999999999,18.87045044507417
31,70.77,88.14,75.0,41.64,68.8875,19.612848467267575
32,72.48,88.89,74.75,42.64,69.69,19.439909121872628
33,68.66,88.89,75.76,42.24,68.8875,19.642405445022934
34,66.24,88.84,75.87,41.84,68.19749999999999,19.86227307401312
35,71.41,89.59,76.03,44.23,70.315,19.024660312341982
36,70.03,89.89,75.89,41.94,69.4375,20.13622833766708
37,72.71,89.64,76.35,43.83,70.6325,19.29304602700154
38,73.02,89.69,76.86,42.94,70.6275,19.786735245276486
39,72.76,88.74,76.65,43.98,70.5325,18.96429869517985
40,72.67,89.24,77.23,44.63,70.9425,18.882647016065658
41,71.68,90.18,76.95,44.58,70.8475,19.162991024367784
42,73.12,90.13,77.26,45.77,71.57,18.662727560568417
43,74.05,90.08,77.31,45.72,71.78999999999999,18.70603289494239
44,72.95,90.08,77.88,45.02,71.4825,19.054417466823796
45,74.57,90.08,77.64,45.92,72.0525,18.667764327846008
46,73.37,89.64,78.07,45.42,71.625,18.76011105155475
47,72.24,90.08,78.12,45.97,71.60249999999999,18.630863953844617
48,75.6,90.38,78.58,45.27,72.4575,19.21576154271973
49,74.89,90.53,78.41,45.92,72.4375,18.905042316800035
50,76.9,90.73,78.07,45.92,72.905,19.048692868540876
51,74.64,90.08,78.03,47.11,72.465,18.15547759401186
52,76.98,90.78,78.4,45.72,72.97,19.194822218504658
53,77.18,90.68,78.61,45.67,73.03500000000001,19.221957063039483
54,77.2,90.48,78.41,46.02,73.0275,18.97696739910428
55,75.78,90.93,78.45,46.47,72.9075,18.821286486316502
56,77.83,91.53,78.87,47.21,73.86,18.826509678287866
57,80.15,90.73,79.29,47.16,74.33250000000001,18.847129533875094
58,73.11,91.03,78.96,46.67,72.4425,18.731793605169436
59,73.95,90.53,79.47,46.17,72.53,18.877054855034988
60,76.28,90.63,79.18,47.31,73.35,18.432342951091883
61,76.74,90.88,79.19,46.27,73.27,19.02804421549063
62,76.3,90.88,79.08,45.92,73.045,19.15610520608682
63,78.48,90.98,79.17,47.96,74.1475,18.376745041854758
64,78.25,91.88,78.91,48.56,74.4,18.334108468462087
65,80.42,91.48,79.49,48.11,74.875,18.655977594326167
66,78.7,91.78,78.83,48.11,74.355,18.541262991860435
67,81.39,91.63,78.93,47.76,74.9275,18.92820184275305
68,79.14,92.03,78.96,47.51,74.41,18.948612965949074
