epoch,local_time_s,peak_vram_mb
0,37.11,1050.09
1,36.74,1054.71
2,37.35,1055.59
3,36.51,1053.59
4,36.54,1058.71
5,36.86,1057.71
6,36.75,1056.09
7,36.67,1053.84
8,36.98,1053.34
9,36.73,1052.09
10,36.57,1053.84
11,36.98,1054.96
12,36.58,1053.46
13,36.84,1053.34
14,37.15,1053.21
15,36.73,1055.96
16,36.99,1048.84
17,36.72,1047.71
18,36.97,1046.34
19,37.54,1047.46
20,36.86,1049.09
21,36.68,1050.34
22,36.83,1050.59
23,36.91,1049.84
24,36.63,1050.46
25,37.06,1050.09
26,36.76,1050.09
27,36.66,1055.96
28,37.27,1053.59
29,36.56,1052.46
30,37.09,1054.34
31,37.19,1054.84
32,36.02,1052.84
33,36.46,1051.34
34,36.83,1050.84
35,36.71,1050.71
36,37.02,1051.46
37,36.74,1049.59
38,36.7,1047.46
39,36.85,1047.84
40,36.66,1047.84
41,37.06,1045.96
42,37.26,1050.71
43,36.86,1047.84
44,36.93,1050.34
45,37.11,1051.71
46,37.15,1051.34
47,37.04,1052.09
48,37.37,1051.59
49,36.65,1052.09
50,36.69,1053.46
51,37.07,1051.59
52,37.17,1051.59
53,36.65,1051.34
54,36.59,1054.21
55,36.48,1050.09
56,36.85,1046.09
57,37.08,1047.46
58,36.64,1049.34
59,36.91,1049.46
60,37.16,1045.21
61,36.87,1048.34
62,36.64,1052.84
63,36.4,1049.59
64,36.47,1045.09
65,37.22,1048.34
66,36.57,1048.46
67,36.73,1047.84
68,36.68,1053.34
69,36.57,1050.96
70,36.74,1044.59
71,36.72,1046.84
72,36.86,1048.59
73,36.56,1045.34
74,36.89,1046.71
75,36.76,1046.34
76,36.94,1046.84
77,36.78,1048.84
78,37.09,1048.09
79,36.68,1048.59
80,36.92,1049.59
81,37.02,1046.46
82,37.06,1047.96
83,37.08,1046.34
84,36.61,1050.09
85,36.82,1050.96
86,36.79,1051.84
87,36.44,1052.84
88,37.28,1050.71
89,36.67,1050.09
90,36.46,1048.46
91,37.09,1046.84
92,36.51,1049.21
93,36.32,1047.34
94,36.68,1046.84
95,36.96,1047.71
96,36.52,1047.71
97,36.69,1047.09
98,36.87,1046.09
99,36.55,1048.09
100,36.96,1050.84
101,36.93,1043.34
102,36.67,1047.59
103,36.91,1047.96
104,36.68,1049.34
105,36.75,1051.59
106,37.18,1052.59
107,36.77,1051.21
108,36.77,1053.59
109,37.14,1053.46
110,36.49,1052.34
111,36.83,1052.59
112,37.14,1052.96
113,36.88,1051.96
114,37.25,1051.09
115,37.27,1049.09
116,36.3,1049.34
117,37.04,1049.84
118,37.37,1050.21
119,36.59,1050.34
120,37.18,1051.46
121,36.96,1051.59
122,36.46,1049.46
123,36.78,1047.59
124,36.54,1047.46
125,36.29,1050.46
126,36.92,1050.71
127,36.79,1053.46
128,36.23,1052.96
129,37.04,1051.46
130,36.66,1048.84
131,36.98,1050.71
132,37.03,1050.59
133,36.32,1047.34
134,36.71,1051.34
135,36.56,1051.96
136,36.18,1050.21
137,36.56,1047.34
138,37.27,1048.46
139,36.34,1050.59
140,36.63,1053.34
141,36.78,1051.84
142,36.82,1052.84
143,37.09,1054.71
144,36.76,1052.21
145,37.02,1048.71
146,36.67,1049.71
147,36.48,1054.34
148,36.29,1051.71
149,37.14,1051.59
150,36.96,1052.59
151,36.34,1052.71
152,36.4,1051.59
153,36.3,1054.09
154,36.74,1055.34
155,37.08,1053.46
156,37.17,1052.34
157,36.42,1049.09
158,36.47,1052.46
159,36.48,1053.71
160,36.51,1055.46
161,37.36,1050.59
162,36.58,1051.71
163,36.65,1054.34
164,36.51,1051.34
165,37.08,1049.96
166,36.32,1048.59
167,37.14,1049.84
168,36.58,1047.34
169,37.05,1046.59
170,37.07,1047.96
171,36.37,1046.71
172,36.97,1047.46
173,36.87,1047.46
174,36.66,1050.84
175,36.72,1053.09
176,36.49,1048.71
177,37.03,1048.34
178,36.65,1051.34
179,36.78,1050.46
180,36.63,1049.96
181,36.71,1048.46
182,36.46,1050.09
183,36.94,1050.84
184,37.31,1050.09
185,36.77,1050.84
186,36.6,1048.84
187,36.79,1050.34
188,36.83,1050.09
189,36.89,1050.34
190,37.04,1050.59
191,36.73,1050.46
192,36.45,1047.09
193,36.31,1048.96
194,36.42,1047.59
195,36.5,1051.21
196,37.2,1047.46
197,36.96,1048.34
198,36.71,1048.34
199,36.63,1051.09
