epoch,local_time_s,peak_vram_mb
0,86.02,1105.36
1,85.48,1111.23
2,86.16,1113.11
3,85.65,1110.48
4,85.75,1110.11
5,86.29,1110.36
6,86.13,1115.48
7,85.28,1112.73
8,85.43,1112.61
9,86.27,1110.48
10,86.16,1108.36
11,85.44,1110.23
12,85.44,1112.23
13,86.09,1114.98
14,86.53,1115.48
15,85.87,1116.36
16,86.08,1116.23
17,87.24,1113.48
18,86.66,1113.98
19,86.57,1113.48
20,86.96,1110.48
21,87.53,1114.23
22,87.02,1115.11
23,86.47,1110.86
24,87.3,1114.98
25,87.19,1111.98
26,86.06,1112.86
27,86.74,1112.48
28,87.3,1115.23
29,86.53,1112.48
30,86.52,1112.48
31,86.82,1110.36
32,86.97,1107.48
33,86.38,1110.23
34,86.99,1109.61
35,87.24,1110.48
36,87.31,1112.36
37,86.48,1110.61
38,86.68,1109.48
39,87.01,1109.48
40,86.44,1115.11
41,86.63,1110.48
42,86.52,1109.48
43,87.13,1112.98
44,86.42,1112.48
45,86.99,1111.48
46,87.37,1113.73
47,87.22,1110.23
48,86.29,1114.48
49,86.75,1115.98
50,87.33,1113.61
51,86.75,1113.48
52,86.7,1112.86
53,87.4,1114.86
54,86.85,1109.73
55,86.95,1113.36
56,86.56,1111.23
57,87.3,1108.11
58,86.71,1110.73
59,86.43,1110.23
60,87.11,1112.36
61,87.29,1109.36
62,86.24,1111.23
63,86.1,1110.98
64,86.72,1109.73
65,86.52,1110.73
66,86.51,1113.73
67,86.74,1111.48
68,86.7,1112.23
69,87.25,1110.98
70,86.57,1111.86
71,86.79,1110.86
72,87.29,1114.36
73,86.96,1114.36
74,86.4,1113.98
75,86.89,1110.23
76,87.04,1114.23
77,86.87,1116.98
78,84.69,1113.73
79,87.07,1110.48
80,86.78,1111.61
81,86.32,1113.86
82,87.09,1111.11
83,86.96,1109.61
84,86.72,1109.86
85,86.34,1107.73
86,86.33,1110.36
87,87.15,1112.86
88,86.04,1112.86
89,86.0,1109.98
90,86.43,1110.98
91,85.89,1112.73
92,85.96,1113.36
93,86.66,1111.73
94,86.57,1112.73
95,86.26,1112.73
96,85.92,1109.98
97,85.8,1110.86
98,86.11,1109.61
99,86.01,1112.36
100,85.83,1112.86
101,86.6,1114.23
102,86.6,1112.73
103,85.72,1113.23
104,86.19,1109.23
105,86.83,1108.48
106,86.18,1110.73
107,85.79,1113.23
108,86.44,1111.86
109,86.04,1112.73
110,85.93,1113.11
111,86.37,1112.73
112,86.43,1108.73
113,86.18,1112.86
114,85.66,1115.23
115,85.45,1118.11
116,86.44,1115.11
117,86.11,1117.61
118,85.58,1111.86
119,85.79,1114.36
120,86.58,1117.11
121,86.76,1110.98
122,86.15,1109.98
123,86.38,1115.48
124,86.47,1116.61
125,86.07,1114.86
126,86.04,1113.86
127,86.08,1112.23
128,86.88,1111.98
129,85.9,1113.23
130,86.37,1113.11
131,86.93,1114.36
132,86.93,1111.98
133,86.47,1116.36
134,86.54,1111.73
135,86.69,1115.48
136,86.15,1111.86
137,85.78,1115.73
138,86.18,1110.36
139,86.1,1112.98
140,86.79,1111.11
141,86.27,1110.36
142,86.52,1116.11
143,86.75,1114.23
144,86.43,1114.73
145,86.83,1114.61
146,87.33,1115.11
147,86.39,1115.36
148,86.22,1115.36
149,86.64,1111.86
150,87.34,1111.73
151,87.22,1114.48
152,86.57,1116.48
153,86.77,1111.48
154,86.82,1112.61
155,86.26,1113.61
156,86.02,1110.98
157,86.78,1111.98
158,86.6,1108.98
159,86.93,1110.98
160,86.0,1112.98
161,86.65,1114.36
162,86.84,1109.48
163,86.65,1112.23
164,86.03,1115.36
165,86.97,1111.61
166,86.76,1112.23
167,86.11,1111.73
168,86.27,1112.11
169,86.92,1115.48
170,85.99,1112.23
171,85.64,1112.86
172,85.48,1109.98
173,86.31,1110.23
174,86.23,1112.48
175,85.79,1111.73
176,86.38,1110.48
177,86.1,1110.36
178,86.01,1112.23
179,86.23,1111.73
180,87.22,1109.48
181,87.06,1113.36
182,85.89,1112.36
183,85.88,1109.36
184,86.65,1112.23
185,86.36,1108.61
186,85.95,1110.98
187,86.79,1111.73
188,86.87,1109.98
189,86.12,1115.98
190,85.72,1115.73
191,86.73,1113.36
192,86.83,1111.73
193,85.76,1110.98
194,86.13,1113.11
195,86.74,1113.11
196,86.07,1113.48
197,86.4,1115.86
198,85.82,1110.23
199,86.37,1110.48
