epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,30.34,15.99,18.4,9.7,18.607499999999998,8.638855537627656
1,52.71,23.52,20.04,11.69,26.990000000000002,17.85078709749237
2,52.87,34.98,23.59,13.28,31.18,16.959895833013437
3,51.09,47.18,27.24,14.08,34.8975,17.369153452792876
4,50.99,50.72,29.62,14.63,36.49,17.680492074600185
5,51.85,51.67,31.81,16.12,37.862500000000004,17.278756465671943
6,53.47,59.54,29.74,16.47,39.805,20.182739325142826
7,55.47,66.72,33.12,17.21,43.13,22.21718704066741
8,56.82,69.41,41.95,17.51,46.4225,22.304476942234412
9,60.71,72.55,47.34,19.1,49.925,22.98600806287744
10,62.94,74.94,50.2,19.2,51.81999999999999,23.97830686266234
11,58.47,73.64,54.73,20.2,51.76,22.57294102829019
12,66.31,77.98,59.26,21.39,56.235,24.47907473741604
13,67.84,80.17,63.09,22.74,58.46,24.87745833748563
14,70.87,80.82,65.71,23.18,60.144999999999996,25.42873505832853
15,69.6,80.07,68.85,22.49,60.2525,25.690675837743154
16,70.69,79.87,68.97,23.88,60.8525,25.108439982072426
17,72.31,80.32,68.64,23.58,61.21249999999999,25.557933373677404
18,72.91,78.97,71.71,23.53,61.779999999999994,25.697213856758868
19,74.6,78.82,71.37,23.43,62.055,25.93004756391061
20,81.71,81.86,72.27,24.73,65.1425,27.312562890850547
21,78.55,81.46,73.09,24.98,64.52,26.587346614508185
22,79.23,81.76,73.53,25.52,65.01,26.55071499351132
23,81.67,83.86,74.24,25.87,66.41,27.338438141195994
24,78.87,81.07,74.2,25.22,64.84,26.56820029032201
25,83.11,83.96,75.01,26.32,67.1,27.484275504367947
26,81.69,81.42,74.89,26.12,66.03,26.791761171424817
27,81.79,83.96,74.97,26.22,66.735,27.28023765781132
28,83.8,85.85,76.1,27.31,68.26499999999999,27.624069818427067
29,83.79,85.5,76.21,27.31,68.2025,27.558968745824533
30,87.61,85.95,75.19,27.76,69.1275,28.122489665746166
31,81.82,83.71,76.67,27.01,67.3025,27.0259102529406
