epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.51,13.15,17.58,10.65,13.222499999999998,3.084556964406179
1,74.47,54.96,8.93,11.74,37.525000000000006,32.411173484875036
2,89.48,66.47,8.36,11.59,43.975,40.38954691501255
3,94.14,82.51,7.9,11.74,49.072500000000005,45.59984018612346
4,94.6,85.45,8.06,12.49,50.150000000000006,46.230351502016504
5,95.87,84.45,9.98,15.02,51.33,45.125693346473916
6,97.28,87.54,8.62,13.18,51.655,47.26418905119041
7,97.4,90.08,8.89,12.89,52.315,47.95453993106388
8,97.39,89.14,11.6,15.57,53.425,46.15486287128006
9,97.4,91.58,11.02,14.73,53.682500000000005,47.20461303375621
10,97.79,92.13,12.19,16.42,54.63250000000001,46.65545082481432
11,97.69,91.58,11.44,16.32,54.25749999999999,46.733083481262675
12,98.15,92.48,12.04,16.02,54.6725,47.01505388348148
13,98.37,92.68,12.7,15.92,54.9175,46.96540739381132
14,98.5,93.12,14.51,16.32,55.6125,46.473886126153324
15,98.23,92.33,16.44,17.66,56.165,45.23303402013474
16,98.37,92.63,17.87,18.66,56.8825,44.65434310717529
17,98.41,92.48,19.73,19.15,57.442499999999995,43.94887436935482
18,98.28,88.84,11.41,17.96,54.1225,45.779448354765776
19,98.73,93.52,16.59,16.22,56.265,46.07573077734814
20,98.67,93.17,19.47,20.45,57.94,43.914791737333026
21,98.74,93.27,22.33,20.2,58.63499999999999,43.21765264333545
22,98.65,92.68,27.5,22.69,60.38,40.86364888259491
23,98.76,92.53,27.08,22.29,60.165,41.09420113187099
24,98.71,92.87,20.59,20.2,58.092499999999994,43.59485778162374
25,98.75,93.17,31.24,22.09,61.31250000000001,40.24602040367884
26,98.81,92.43,33.9,21.69,61.7075,39.56060698472661
27,98.75,93.02,40.09,24.88,64.185,37.20057571239097
28,98.86,93.07,36.79,23.78,63.125,38.363413560318115
29,98.77,93.32,38.38,25.02,63.872499999999995,37.61371680207456
30,98.72,93.27,36.66,23.53,63.045,38.48748584496871
31,98.81,93.22,37.59,24.53,63.5375,37.94758611119641
32,98.86,93.32,41.16,24.68,64.505,37.15548366885656
33,98.76,93.32,41.39,26.52,64.99749999999999,36.42298942060266
34,98.72,92.58,42.51,27.11,65.23,35.77212788377752
35,98.66,93.47,47.01,27.86,66.75,34.805680570849354
36,98.74,93.62,46.24,27.61,66.55250000000001,35.1084067567869
37,98.72,93.67,45.64,27.11,66.285,35.41592909035895
38,98.82,93.82,47.73,28.46,67.2075,34.58476097454869
39,98.83,93.42,46.95,27.31,66.6275,35.06141694702787
40,98.85,93.67,47.7,27.36,66.895,34.973737289572014
41,98.83,94.07,48.21,28.06,67.29249999999999,34.71301040916311
42,98.83,93.82,48.89,28.56,67.52499999999999,34.33639711249079
43,98.83,94.02,53.03,29.3,68.795,33.40055937655336
44,98.84,94.17,50.38,27.86,67.8125,34.43601736070342
45,98.9,94.07,49.7,29.15,67.955,34.052211381935244
46,98.84,94.22,51.23,29.5,68.44749999999999,33.671332391219686
47,98.78,93.72,51.74,31.49,68.9325,32.674231819585295
48,98.86,93.97,52.33,29.3,68.615,33.50873766646544
49,98.86,93.77,51.75,29.0,68.345,33.67006039000623
50,98.89,93.57,51.71,30.15,68.58,33.18964698014528
51,98.87,93.52,51.88,30.75,68.755,32.910809267878335
52,98.88,93.97,53.67,28.71,68.80749999999999,33.5383366462918
53,98.85,94.17,54.94,30.55,69.6275,32.65507859940523
54,98.87,94.22,55.78,31.29,70.04,32.2529140802295
55,98.84,94.22,55.1,31.84,70.0,32.12760806533845
56,98.88,94.32,55.34,31.54,70.02,32.24697608562184
57,98.89,94.32,58.89,34.08,71.54499999999999,30.714952384791353
58,98.87,94.42,57.07,33.73,71.02250000000001,31.13588002610493
59,98.88,94.32,55.85,31.89,70.235,32.030664994657855
60,98.87,94.22,56.95,32.04,70.52000000000001,31.781901558381726
61,98.83,94.42,54.7,29.65,69.39999999999999,33.10728922760062
62,98.93,94.12,56.38,28.96,69.5975,33.10517217898134
63,98.9,94.27,57.05,30.05,70.06750000000001,32.59820892319086
64,98.85,94.32,61.04,37.61,72.955,28.972691164842335
65,98.91,94.12,60.58,36.87,72.62,29.305506877263415
66,98.91,94.22,58.74,34.58,71.6125,30.514258279259113
67,98.96,94.22,58.36,33.73,71.31750000000001,30.926521924285847
68,98.87,94.37,59.8,34.78,71.95500000000001,30.31267116790161
69,98.95,94.47,58.8,33.38,71.4,31.06717345795505
70,98.91,94.22,59.66,33.88,71.6675,30.674877207034857
71,98.89,94.42,59.67,32.04,71.25500000000001,31.476652193861614
72,98.86,94.52,57.58,31.14,70.52499999999999,32.13193375236957
73,98.86,94.27,58.72,34.08,71.4825,30.717129179010204
74,98.89,94.27,58.43,34.33,71.48,30.665492006488336
75,98.86,94.57,58.86,34.33,71.655,30.67070752362912
76,98.86,94.57,59.11,33.98,71.63000000000001,30.778723170398084
77,98.91,94.57,57.61,31.74,70.7075,31.91034563168085
78,98.92,94.82,58.95,32.09,71.195,31.654158757842016
79,98.94,94.77,61.26,34.38,72.33749999999999,30.41048544499084
