epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,30.13,15.84,18.37,9.85,18.5475,8.508091736693958
1,54.7,23.02,19.95,11.74,27.3525,18.843243484071422
2,52.84,33.98,23.41,12.99,30.804999999999996,17.006685940143267
3,51.46,48.18,27.61,13.78,35.2575,17.788378931201123
4,51.87,51.42,29.26,15.27,36.955,17.899215066588816
5,52.34,52.47,34.09,15.62,38.63,17.60285393527614
6,53.7,61.29,32.0,16.82,40.9525,20.319428100547842
7,56.46,67.46,40.17,18.01,45.52499999999999,21.49782702197286
8,58.11,71.75,48.06,18.66,49.145,22.523097033933855
9,62.95,74.04,52.95,20.65,52.6475,23.00515938508867
10,64.11,76.13,56.95,20.85,54.51,23.794492359927887
11,65.5,77.48,61.13,21.59,56.425000000000004,24.230028889788805
12,65.61,78.23,64.35,21.94,57.5325,24.542051496699838
13,69.41,80.87,67.51,24.38,60.542500000000004,24.820101228641274
14,69.68,81.61,69.61,23.98,61.220000000000006,25.459336205015248
15,71.38,81.76,71.45,24.88,62.36749999999999,25.46303644501182
16,73.78,81.51,71.14,26.22,63.1625,25.018332445095805
17,72.6,81.37,71.45,25.52,62.73500000000001,25.202439696717192
18,74.15,81.46,73.35,25.82,63.695,25.512329698925313
19,75.62,83.36,73.53,26.42,64.7325,25.889283980056305
20,78.85,82.46,74.36,26.62,65.5725,26.178853266201962
21,78.88,83.31,74.72,27.66,66.1425,25.893649639760454
22,80.53,83.81,75.5,27.66,66.875,26.36576125710515
23,80.48,85.45,76.23,28.81,67.7425,26.227064106885216
24,79.27,83.51,76.0,28.91,66.9225,25.527482412751425
25,83.43,85.8,76.53,28.76,68.63000000000001,26.869287299815007
26,82.73,84.35,76.89,28.76,68.18249999999999,26.47622754472396
27,79.89,84.65,77.01,29.2,67.6875,25.851009490282323
28,82.31,86.25,78.0,28.96,68.88,26.82575006717737
29,80.81,86.0,77.87,29.2,68.47,26.394882079675977
30,83.28,86.0,77.36,29.9,69.13499999999999,26.404198529779315
31,84.67,86.7,78.13,31.14,70.16,26.26907560865691
32,83.88,85.5,78.18,30.55,69.5275,26.17394553749969
33,86.28,87.14,77.62,30.45,70.3725,26.960031373621703
34,85.86,87.1,78.42,31.54,70.73,26.40635024635804
35,84.34,86.6,77.93,31.44,70.0775,26.0187757526496
36,84.44,86.55,78.05,31.54,70.14500000000001,25.989139398346122
37,87.13,88.59,78.02,32.69,71.6075,26.363138881147417
