epoch,local_time_s,peak_vram_mb
0,36.93,1053.89
1,36.74,1057.89
2,36.76,1056.02
3,36.59,1055.39
4,36.53,1053.39
5,36.9,1056.14
6,36.87,1058.89
7,36.7,1054.89
8,36.97,1054.14
9,36.49,1056.02
10,36.61,1057.89
11,36.76,1057.64
12,36.59,1055.64
13,37.18,1055.14
14,36.96,1052.39
15,36.74,1053.14
16,36.72,1051.64
17,36.9,1052.39
18,37.11,1052.89
19,37.46,1055.14
20,36.6,1053.14
21,36.74,1053.89
22,36.91,1054.39
23,36.79,1053.89
24,36.94,1056.27
25,37.19,1058.77
26,36.47,1055.52
27,36.58,1054.39
28,37.08,1058.89
29,36.58,1053.64
30,36.94,1053.39
31,37.17,1053.89
32,36.26,1053.02
33,36.45,1052.77
34,36.7,1050.89
35,36.8,1055.52
36,36.78,1053.64
37,36.46,1054.89
38,36.4,1053.02
39,37.29,1049.14
40,36.94,1053.64
41,36.78,1053.39
42,37.08,1050.89
43,36.58,1049.52
44,36.8,1048.64
45,37.03,1049.64
46,37.17,1049.39
47,37.28,1046.64
48,36.89,1048.89
49,36.49,1049.14
50,36.91,1052.02
51,37.11,1052.89
52,37.15,1051.89
53,36.96,1050.02
54,36.82,1051.52
55,36.31,1055.14
56,37.05,1054.14
57,36.71,1053.39
58,36.85,1055.14
59,37.17,1055.02
60,36.56,1057.89
61,36.56,1057.14
62,36.66,1055.64
63,36.65,1054.89
64,36.54,1048.39
65,37.02,1052.02
66,36.54,1051.52
67,36.59,1053.14
68,36.88,1049.14
69,36.73,1049.14
70,37.18,1051.14
71,36.62,1050.64
72,35.93,1051.89
73,36.49,1049.14
74,37.11,1052.64
75,37.0,1051.14
76,37.06,1048.14
77,36.63,1049.14
78,36.5,1049.64
79,36.77,1050.39
80,37.19,1049.52
81,37.1,1050.02
82,37.0,1052.14
83,36.7,1052.89
84,36.29,1055.52
85,37.07,1051.89
86,36.76,1051.64
87,37.06,1050.64
88,36.85,1053.14
89,36.4,1051.64
90,36.5,1050.64
91,37.27,1051.39
92,37.05,1050.64
93,36.67,1054.89
94,36.78,1053.27
95,36.31,1055.89
96,36.57,1058.27
97,36.76,1053.39
98,36.75,1056.77
99,36.62,1057.64
100,36.57,1055.64
101,36.35,1055.64
102,36.66,1055.64
103,36.49,1060.39
104,36.76,1055.39
105,36.97,1056.39
106,36.74,1056.14
107,36.33,1052.89
108,36.33,1052.89
109,36.55,1053.27
110,36.64,1049.14
111,36.72,1052.77
112,36.72,1055.02
113,36.62,1053.64
114,37.17,1052.64
115,36.66,1049.77
116,36.91,1053.77
117,36.92,1051.64
118,36.77,1055.14
119,36.91,1054.02
120,36.4,1054.64
121,36.76,1056.14
122,36.83,1056.39
123,36.74,1054.14
124,36.44,1054.39
125,36.72,1056.39
126,36.24,1053.89
127,36.87,1050.14
128,36.63,1052.39
129,37.03,1053.39
130,36.64,1051.89
131,37.34,1052.27
132,36.47,1050.64
133,36.54,1051.27
134,37.02,1049.52
135,36.46,1049.39
136,37.02,1051.39
137,36.51,1053.02
138,36.69,1053.89
139,36.82,1053.39
140,36.72,1054.89
141,36.45,1053.39
142,36.86,1054.14
143,36.43,1055.39
144,36.58,1053.39
145,37.09,1055.52
146,37.08,1050.89
147,36.65,1052.64
148,36.97,1051.52
149,36.44,1052.52
150,36.28,1053.52
151,36.66,1053.89
152,36.23,1053.64
153,36.62,1054.39
154,37.06,1054.77
155,36.11,1054.39
156,36.57,1055.39
157,36.27,1050.64
158,36.34,1048.77
159,36.84,1050.64
160,36.65,1049.39
161,36.17,1048.64
162,36.54,1050.52
163,36.46,1052.77
164,36.36,1052.64
165,37.48,1049.14
166,36.83,1051.64
167,36.58,1052.27
168,36.41,1053.77
169,36.37,1053.64
170,36.84,1053.14
171,37.38,1052.14
172,36.79,1051.02
173,36.65,1048.89
174,36.73,1046.89
175,36.69,1051.14
176,36.88,1050.89
177,37.25,1050.14
178,36.89,1048.27
179,36.63,1047.77
180,36.46,1048.27
181,36.77,1050.27
182,37.15,1050.64
183,37.12,1052.02
184,36.47,1048.89
185,36.41,1046.02
186,36.7,1047.77
187,36.45,1046.02
188,36.8,1051.39
189,37.1,1052.52
190,36.86,1050.77
191,36.74,1050.14
192,36.48,1050.27
193,36.65,1048.64
194,37.13,1048.64
195,36.69,1051.77
196,36.96,1052.89
197,36.86,1052.39
198,36.89,1048.89
199,37.14,1051.64
