epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.8,13.2,18.75,9.15,13.225,4.048147724577254
1,54.93,18.39,18.56,12.94,26.205,19.32706306365938
2,49.13,23.37,19.38,13.58,26.365,15.699911889349359
3,50.34,42.45,20.64,12.89,31.580000000000002,17.6926934071667
4,52.49,51.42,21.13,13.73,34.692499999999995,20.16538349912212
5,54.49,55.85,23.65,14.58,37.142500000000005,21.15041587455591
6,55.34,63.28,24.76,15.42,39.699999999999996,23.190141583583888
7,55.1,66.62,29.51,17.36,42.147499999999994,22.66272324765936
8,56.37,72.2,33.06,18.31,44.985,23.9724543313084
9,58.0,74.14,37.11,20.85,47.525,23.367439597297206
10,60.41,76.28,45.51,21.84,51.01,23.152190681085308
11,58.65,76.73,52.78,23.98,53.035,21.88789086839266
12,59.18,79.32,57.67,25.12,55.322500000000005,22.423663653976494
13,62.2,80.67,61.57,27.11,57.8875,22.349163108865323
14,64.37,81.42,62.96,27.26,59.002500000000005,22.764024797913045
15,64.02,82.71,67.1,28.56,60.5975,22.871817264922345
16,68.11,83.01,67.34,29.9,62.09,22.639533269629627
17,66.56,83.81,69.04,31.49,62.72500000000001,22.171971044541802
18,69.63,84.8,70.89,30.9,64.05499999999999,23.14740374210464
19,69.51,86.15,71.28,32.04,64.745,23.044901822312024
20,74.02,85.95,72.75,32.39,66.2775,23.36100365281138
21,71.15,87.05,73.83,33.23,66.315,23.125814580247763
22,73.72,86.75,74.15,34.73,67.3375,22.562806230608818
23,74.74,87.24,75.17,34.73,67.97,22.904900494581213
24,74.78,87.19,75.17,35.52,68.16499999999999,22.512773411258475
25,77.53,88.94,76.23,35.42,69.53,23.445896584832635
26,75.51,88.14,76.22,34.93,68.7,23.246885096000856
27,78.41,90.33,77.0,37.56,70.825,22.96858796995003
28,79.29,90.43,76.97,38.21,71.22500000000001,22.7806313930643
29,78.12,90.38,77.95,38.21,71.16499999999999,22.727784024551685
30,79.38,90.38,77.29,38.71,71.44,22.562820450171262
31,74.85,89.84,77.52,37.91,70.03,22.386476572550077
32,79.52,90.58,77.7,38.66,71.61500000000001,22.695223432843015
33,80.53,90.13,77.77,39.9,72.0825,22.099272046834482
34,78.44,90.68,78.45,39.0,71.6425,22.513013088730112
35,79.43,90.13,78.77,39.6,71.9825,22.207307168287347
36,82.24,91.83,78.17,41.69,73.4825,21.95495597050166
37,79.88,91.73,78.35,42.34,73.075,21.344655068658287
38,82.16,90.78,78.9,40.9,73.185,22.099148550717214
39,81.02,90.88,78.28,41.49,72.91749999999999,21.639054777569804
40,82.01,91.93,78.84,41.39,73.5425,22.1483293199886
41,83.44,91.88,79.1,41.34,73.94,22.37170236407293
42,81.51,91.78,79.2,42.84,73.83250000000001,21.372894633156267
43,81.39,91.68,78.62,40.7,73.0975,22.317189749906536
44,79.64,91.38,79.82,42.49,73.3325,21.28257718573262
45,83.41,91.98,79.56,43.63,74.645,21.318340304379543
46,79.14,91.23,79.26,39.9,72.3825,22.385299305571056
47,80.71,91.83,79.35,43.38,73.8175,21.047618036252935
48,83.75,92.08,79.38,43.58,74.69749999999999,21.403455133848524
49,85.07,92.38,80.1,44.58,75.53249999999998,21.24242198212498
50,84.76,92.33,79.89,44.23,75.30250000000001,21.33795893863016
51,84.57,91.93,79.37,43.73,74.9,21.409340640633165
52,83.37,91.73,79.73,44.08,74.7275,21.040216055608052
53,86.98,93.17,79.37,43.38,75.725,22.289669505550474
54,85.95,92.08,80.07,42.34,75.11000000000001,22.390183861088172
