epoch,local_time_s,peak_vram_mb
0,38.71,3248.17
1,38.43,3257.92
2,38.37,3263.54
3,38.18,3259.29
4,37.83,3260.92
5,38.35,3259.54
6,38.44,3259.17
7,38.16,3256.42
8,38.63,3258.29
9,38.35,3257.92
10,37.96,3253.54
11,38.84,3258.04
12,38.67,3255.42
13,37.92,3257.92
14,38.48,3254.04
15,38.54,3253.04
16,38.5,3254.29
17,37.0,3252.67
18,37.55,3252.54
19,39.02,3255.17
20,38.3,3254.17
21,38.4,3257.79
22,37.9,3255.54
23,38.37,3253.04
24,38.02,3252.42
25,37.87,3246.67
26,37.93,3250.54
27,38.17,3248.67
28,38.74,3250.04
29,37.62,3248.42
30,37.97,3250.04
31,38.67,3241.79
32,38.14,3246.67
33,37.92,3248.92
34,38.05,3243.29
35,38.07,3245.42
36,38.03,3244.42
37,38.02,3246.04
38,38.05,3244.67
39,38.54,3244.29
40,38.18,3244.67
41,38.18,3243.79
42,38.44,3242.79
43,38.3,3240.17
44,38.69,3243.29
45,38.09,3241.42
46,38.41,3240.92
47,38.33,3242.79
48,38.71,3242.54
49,38.11,3244.79
50,38.78,3241.79
51,38.16,3243.79
52,39.1,3242.29
53,38.16,3246.42
54,38.4,3247.29
55,37.97,3243.92
56,38.89,3241.17
57,38.16,3239.79
58,38.06,3238.04
59,38.27,3242.92
60,38.23,3243.04
61,38.1,3244.42
62,38.12,3245.79
63,38.05,3243.29
64,37.81,3245.67
65,38.67,3244.17
66,37.98,3244.92
67,38.0,3244.92
68,38.05,3247.29
69,38.4,3247.29
70,37.98,3246.17
71,37.93,3245.04
72,37.91,3249.67
73,38.09,3249.29
74,38.42,3250.92
75,38.81,3248.29
76,38.81,3247.17
77,38.22,3246.17
78,38.43,3249.92
79,38.03,3244.92
80,38.6,3247.54
81,37.95,3247.29
82,38.63,3253.92
83,38.23,3250.17
84,37.81,3251.54
85,38.34,3252.29
86,38.41,3253.04
87,38.23,3257.17
88,38.71,3254.04
89,38.15,3252.42
90,38.15,3253.04
91,38.87,3252.92
92,38.11,3255.29
93,38.22,3252.79
94,37.83,3252.17
95,38.51,3250.92
96,38.24,3253.04
97,38.54,3252.67
98,37.87,3248.79
99,37.91,3251.04
100,38.29,3248.04
101,38.84,3252.79
102,38.21,3250.29
103,38.25,3251.67
104,37.88,3250.92
105,38.19,3250.79
106,38.42,3249.67
107,37.43,3250.42
108,38.09,3249.79
109,38.74,3246.67
110,37.98,3250.42
111,38.0,3248.17
112,38.32,3249.79
113,38.52,3252.92
114,38.92,3251.04
115,38.34,3246.29
116,38.49,3251.04
117,38.68,3253.54
118,38.43,3251.42
119,38.4,3253.29
120,38.03,3252.42
121,38.52,3248.92
122,37.71,3248.67
123,38.23,3249.42
124,37.87,3250.42
125,38.35,3249.17
126,37.79,3249.54
127,38.18,3243.67
128,37.93,3246.42
129,38.88,3247.92
130,37.92,3246.54
131,38.96,3244.92
132,38.17,3245.42
133,37.76,3247.04
134,38.6,3242.67
135,37.92,3244.92
136,38.2,3247.79
137,37.89,3247.42
138,38.81,3247.54
139,38.32,3250.54
140,38.28,3247.79
141,37.93,3251.17
142,38.8,3251.04
143,38.28,3253.67
144,37.94,3249.67
145,38.72,3245.67
146,38.35,3244.29
147,38.17,3246.79
148,38.1,3246.29
149,38.17,3248.79
150,37.85,3247.54
151,38.56,3244.17
152,37.89,3243.67
153,37.92,3247.29
154,38.15,3248.29
155,38.09,3246.42
156,38.79,3242.54
157,38.11,3243.42
158,38.18,3245.17
159,38.01,3250.42
160,38.01,3249.54
161,37.93,3251.92
162,38.11,3247.42
163,37.6,3251.79
164,38.48,3249.54
165,38.61,3245.92
166,38.0,3248.04
167,37.74,3247.92
168,38.01,3244.29
169,37.91,3249.79
170,38.43,3247.04
171,37.7,3248.92
172,38.1,3251.92
173,37.85,3249.29
174,38.0,3253.17
175,37.75,3254.54
176,38.41,3246.54
177,38.6,3247.54
178,38.05,3244.79
179,38.07,3244.67
180,38.25,3247.17
181,38.38,3245.17
182,38.1,3245.04
183,38.02,3244.92
184,38.32,3250.67
185,37.84,3248.92
186,38.07,3248.54
187,38.19,3248.04
188,38.1,3248.92
189,38.43,3245.17
190,38.1,3248.79
191,38.46,3249.29
192,37.99,3248.04
193,38.07,3243.29
194,38.1,3247.17
195,37.79,3251.04
196,38.26,3249.92
197,38.48,3248.54
198,38.56,3250.42
199,38.58,3247.79
