epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,29.86,15.94,18.4,9.55,18.437499999999996,8.47938824444311
1,53.61,49.38,15.25,11.69,32.4825,22.069465142288035
2,48.54,36.82,22.72,13.53,30.4025,15.425685019905384
3,53.06,59.39,21.12,13.18,36.6875,22.937682787645894
4,52.35,53.01,30.96,15.32,37.91,18.21294594512376
5,51.95,57.2,32.72,15.67,39.385,18.991900905385958
6,53.53,63.08,31.33,17.21,41.2875,20.846020203706352
7,59.23,70.7,39.05,18.16,46.785000000000004,23.137459526346735
8,59.32,72.35,49.1,19.35,50.029999999999994,22.558175162602726
9,66.57,76.23,52.54,21.34,54.17,23.95043075465102
10,67.74,76.38,60.41,21.29,56.455,24.334996061913248
11,69.55,77.38,63.1,23.28,58.3275,24.083509399587093
12,68.25,77.63,66.45,24.28,59.152499999999996,23.75940006958649
13,71.39,80.67,69.2,25.72,61.745,24.525899915531472
14,73.11,81.61,71.87,26.42,63.2525,24.933661818246165
15,72.56,80.87,72.12,25.32,62.7175,25.25449184468643
16,76.31,82.36,72.99,27.26,64.73,25.279384222458162
17,78.73,82.51,72.96,27.76,65.49,25.458016419194955
18,79.65,82.61,73.6,27.31,65.79249999999999,25.927581677948034
19,77.22,83.16,74.15,26.87,65.35,25.924527639541154
20,82.71,83.36,75.46,28.61,67.535,26.195880719431184
21,84.11,84.85,74.71,28.26,67.98249999999999,26.880879666905738
22,84.91,84.5,76.23,29.65,68.82249999999999,26.41935827507297
23,85.13,84.65,76.62,30.3,69.175,26.208976197732973
24,82.56,84.75,76.75,30.25,68.5775,25.77367568534479
25,88.19,86.5,77.59,30.2,70.62,27.344936155225035
26,86.2,85.2,77.48,30.3,69.795,26.616738467863918
27,84.99,85.75,77.53,30.05,69.58,26.61303189542046
28,83.34,85.9,77.69,30.85,69.44500000000001,25.957607105946163
29,84.94,86.05,77.78,30.75,69.88,26.3428636762723
30,87.13,85.95,77.28,32.24,70.64999999999999,25.98054015348154
31,84.15,86.45,77.68,32.29,70.14250000000001,25.50666759235057
32,86.88,86.35,78.27,32.64,71.035,25.898098385788867
33,88.11,87.59,78.0,34.68,72.095,25.372731425686123
34,87.34,87.05,78.83,31.84,71.26499999999999,26.577758245069003
35,89.51,87.39,79.01,31.69,71.9,27.187303409250923
36,88.88,87.39,78.4,33.23,71.975,26.241550386108415
37,90.8,89.29,77.87,35.22,73.29500000000002,26.0313996294219
38,89.58,87.49,78.04,34.13,72.31,25.94372499597285
39,88.11,86.45,78.2,34.33,71.7725,25.335064469360777
40,88.71,87.44,78.7,33.63,72.11999999999999,26.042958101311502
41,89.12,87.34,78.51,33.28,72.0625,26.26793276347925
42,87.74,87.24,78.9,34.33,72.0525,25.47307778158475
43,88.69,88.64,78.07,34.23,72.4075,25.937098751916466
44,87.78,88.44,78.61,34.03,72.215,25.848985150936453
45,87.96,88.29,78.7,34.58,72.3825,25.590668058233
46,88.57,87.69,78.76,34.43,72.3625,25.67370817912104
47,89.84,88.64,78.65,35.12,73.0625,25.78757113417237
48,89.3,88.44,78.73,34.53,72.75,25.926867660144882
49,90.05,88.69,79.11,34.48,73.08250000000001,26.191435464034168
50,90.06,88.89,78.72,35.42,73.2725,25.74369485913007
51,90.47,89.29,78.76,34.93,73.3625,26.156846618046295
52,91.1,89.94,78.44,35.42,73.72500000000001,26.168181060211268
53,90.37,90.08,78.7,35.67,73.705,25.93243850212831
54,89.67,89.29,78.87,35.62,73.36250000000001,25.654425706558577
55,90.48,90.18,78.78,36.27,73.92750000000001,25.688928062494163
56,90.39,90.78,78.57,36.07,73.9525,25.882821040218932
57,90.23,89.44,78.87,36.07,73.6525,25.584665166201937
58,90.08,90.38,78.98,36.02,73.865,25.78163881524989
59,88.82,89.64,79.29,35.97,73.43,25.41133211777769
60,90.36,89.94,78.45,36.22,73.7425,25.61639367670633
61,90.42,89.84,78.57,34.98,73.4525,26.221926416646053
