epoch,local_time_s,peak_vram_mb
0,37.14,4091.03
1,37.41,4098.4
2,38.97,4099.9
3,38.26,4095.53
4,38.75,4093.03
5,38.91,4093.03
6,36.68,4090.4
7,36.74,4088.28
8,39.6,4086.9
9,38.68,4090.28
10,38.85,4087.15
11,38.69,4090.15
12,38.5,4090.9
13,38.55,4089.15
14,39.03,4089.03
15,39.19,4085.15
16,38.85,4083.28
17,38.51,4088.9
18,38.71,4089.53
19,39.44,4087.15
20,38.76,4087.28
21,38.62,4085.28
22,38.47,4087.4
23,39.07,4086.28
24,38.69,4086.15
25,38.39,4087.53
26,38.82,4084.65
27,38.47,4088.15
28,38.78,4082.28
29,38.46,4082.78
30,38.64,4085.03
31,39.12,4086.53
32,38.66,4083.78
33,38.69,4081.03
34,38.43,4080.4
35,38.57,4081.53
36,38.75,4083.15
37,38.67,4082.4
38,38.67,4080.03
39,38.65,4082.9
40,38.7,4081.65
41,37.96,4082.15
42,36.66,4084.9
43,37.76,4082.28
44,38.99,4081.28
45,38.33,4077.9
46,38.63,4082.53
47,38.32,4079.28
48,39.68,4083.4
49,38.15,4081.15
50,38.85,4076.78
51,38.55,4079.15
52,36.75,4080.53
53,36.0,4083.4
54,36.15,4078.9
55,36.37,4081.15
56,37.62,4080.15
57,36.38,4080.4
58,36.6,4080.53
59,36.81,4078.03
60,36.83,4081.03
61,36.5,4081.65
62,36.2,4075.78
63,36.51,4080.28
64,36.51,4077.65
65,36.55,4080.28
66,36.3,4080.78
67,36.6,4079.53
68,36.58,4077.15
69,36.98,4075.15
70,37.98,4077.15
71,38.6,4081.53
72,38.53,4076.15
73,38.61,4078.4
74,38.55,4075.03
75,39.03,4080.28
76,39.03,4078.65
77,38.55,4076.78
78,38.97,4078.15
79,38.9,4075.15
80,39.2,4077.65
81,39.68,4077.15
82,38.89,4077.78
83,38.87,4081.28
84,38.53,4080.65
85,38.86,4076.65
86,39.14,4078.28
87,38.25,4078.03
88,39.02,4076.4
89,38.59,4076.9
90,38.62,4078.53
91,38.87,4077.78
92,38.58,4076.28
93,38.63,4079.15
94,38.51,4073.9
95,39.15,4075.78
96,38.52,4079.15
97,38.85,4076.9
98,38.33,4073.15
99,38.19,4078.28
100,37.71,4075.4
101,39.1,4076.4
102,38.41,4076.53
103,38.7,4078.28
104,38.7,4076.78
105,39.13,4077.9
106,38.92,4076.78
107,38.32,4076.28
108,38.51,4078.78
109,39.1,4077.78
110,38.4,4075.28
111,38.48,4077.15
112,38.69,4075.53
113,38.82,4073.53
114,39.02,4077.53
115,39.12,4077.9
116,38.98,4078.65
117,39.05,4076.9
118,39.1,4075.65
119,38.69,4077.53
120,38.81,4073.65
121,38.92,4077.65
122,38.56,4072.15
123,38.81,4078.15
124,38.56,4076.03
125,38.82,4078.9
126,38.3,4073.9
127,39.01,4075.53
128,38.43,4079.28
129,39.04,4075.9
130,38.14,4076.03
131,38.9,4078.03
132,38.89,4073.4
133,38.74,4077.78
134,39.05,4079.03
135,38.08,4077.03
136,38.8,4077.03
137,39.09,4077.03
138,39.3,4078.78
139,38.56,4077.03
140,39.1,4074.9
141,38.46,4077.28
142,39.25,4077.9
143,37.85,4078.53
144,38.74,4075.53
145,38.79,4076.03
146,39.06,4077.78
147,38.33,4077.28
148,38.49,4078.15
149,38.9,4077.15
150,38.94,4078.15
151,38.66,4074.9
152,38.4,4077.53
153,38.5,4075.4
154,38.91,4079.28
155,38.75,4077.28
156,39.17,4077.53
157,38.34,4076.65
158,38.46,4073.28
159,38.48,4078.9
160,38.59,4072.65
161,39.12,4076.65
162,38.53,4078.28
163,38.93,4079.15
164,38.56,4073.78
165,39.42,4077.9
166,38.78,4076.15
167,38.71,4075.03
168,38.66,4074.65
169,38.29,4077.03
170,38.83,4076.65
171,38.65,4076.65
172,38.85,4076.03
173,38.6,4076.4
174,38.58,4075.78
175,38.54,4073.4
176,38.78,4073.65
177,39.12,4072.65
178,38.56,4077.4
179,38.97,4075.9
180,38.78,4079.28
181,38.63,4076.65
182,38.86,4075.65
183,38.55,4076.65
184,38.86,4076.53
185,38.68,4075.65
186,39.07,4076.4
187,38.52,4075.4
188,38.88,4076.4
189,39.47,4074.65
190,38.43,4077.9
191,39.21,4071.78
192,38.19,4079.15
193,38.77,4078.15
194,38.37,4076.4
195,38.61,4082.03
196,39.35,4079.15
197,38.8,4080.65
198,39.47,4079.15
199,38.91,4080.03
