epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.85,13.2,18.74,9.1,13.222499999999998,4.054712279147148
1,64.96,38.57,13.11,11.04,31.92,25.335446841661714
2,59.68,43.6,18.54,12.94,33.69,21.861482108951353
3,66.84,66.02,14.19,12.14,39.7975,30.76576926282412
4,50.17,47.73,22.0,13.78,33.42,18.27096603904676
5,54.71,59.94,22.58,15.02,38.06250000000001,22.55680883901799
6,54.94,66.47,27.64,15.82,41.2175,23.490262344214038
7,56.36,70.45,30.22,18.06,43.7725,23.909113150986315
8,58.31,74.54,36.34,19.6,47.197500000000005,24.156484809121824
9,59.57,75.29,40.36,21.74,49.24000000000001,23.240882083087985
10,60.11,76.53,50.42,23.78,52.71,22.09329762620329
11,60.34,78.57,56.07,25.17,55.037499999999994,22.173773359534454
12,60.84,80.07,61.23,26.32,57.114999999999995,22.405898776884623
13,62.63,80.57,64.55,28.71,59.115,21.807303822343556
14,65.67,81.66,66.38,29.5,60.802499999999995,22.133555784524695
15,64.72,82.21,68.53,29.65,61.2775,22.382417764843904
16,69.61,83.61,69.76,31.79,63.6925,22.25838924241075
17,70.33,85.0,70.01,33.53,64.7175,21.935896570081955
18,70.13,84.65,71.88,32.79,64.8625,22.339667820568266
19,71.36,85.8,73.29,34.78,66.3075,21.971374369089126
20,74.66,86.65,74.07,34.63,67.5025,22.668552923966423
21,73.38,87.29,75.33,35.47,67.8675,22.45668478797943
22,79.58,88.54,75.64,37.86,70.405,22.35800453230714
23,79.05,88.34,75.78,37.86,70.2575,22.243957044554822
24,77.37,88.64,75.69,38.66,70.09,21.72790678674164
25,76.55,88.69,76.99,37.61,69.96000000000001,22.287398532204993
26,78.66,89.19,77.85,39.35,71.2625,21.89308166978783
27,78.59,90.73,78.06,39.8,71.795,22.11814112141133
28,80.83,90.73,77.93,40.65,72.535,21.951646103804308
29,80.94,90.48,78.42,40.2,72.51,22.15739154322999
30,80.37,90.13,78.02,40.45,72.24249999999999,21.83392982645741
31,79.78,90.73,78.02,39.95,72.11999999999999,22.171502730607443
32,80.86,90.83,78.9,40.4,72.7475,22.188611756184
33,83.99,91.08,78.66,42.59,74.08,21.600961398357555
34,82.76,91.38,78.96,41.34,73.60999999999999,22.13195879265999
35,81.87,90.63,79.48,41.99,73.4925,21.541696582829
36,84.82,92.13,79.44,41.44,74.4575,22.61768684753888
37,81.67,91.98,79.27,43.03,73.98750000000001,21.362135309935663
38,86.43,91.88,79.45,43.08,75.21,22.015841266385138
39,84.59,92.28,79.19,43.13,74.7975,21.784210451609212
40,83.53,91.73,79.56,41.54,74.09,22.283825225186693
41,84.52,92.33,79.12,40.85,74.205,22.888338369862794
42,84.82,92.33,79.41,43.78,75.08499999999998,21.53190578343372
43,84.34,92.23,79.41,44.38,75.09,21.1432305951574
44,81.37,92.23,80.18,42.74,74.13000000000001,21.61760239557878
45,83.94,92.28,79.45,44.78,75.11250000000001,20.908708512642924
46,81.47,92.08,79.79,42.29,73.90750000000001,21.769254121351977
47,84.28,92.48,79.86,43.43,75.0125,21.69448989182891
48,84.62,91.88,80.01,43.58,75.0225,21.523578350265087
49,86.5,92.38,80.52,44.28,75.91999999999999,21.64191611972778
50,86.31,92.58,80.18,44.38,75.8625,21.590226762743058
51,85.93,92.23,79.82,44.53,75.6275,21.341790576237976
52,84.68,92.33,80.25,44.03,75.32249999999999,21.450086829661085
53,87.52,93.27,80.45,44.23,76.3675,22.05718684843257
54,87.04,92.53,80.33,43.78,75.91999999999999,21.9998045445863
55,85.79,92.63,80.31,44.98,75.92750000000001,21.238302466691323
56,86.06,93.42,80.36,44.68,76.13000000000001,21.637501396110103
57,88.09,93.32,80.64,45.42,76.8675,21.60097432216118
58,87.18,93.32,79.57,44.23,76.075,21.962316969451713
59,85.89,93.17,80.12,43.18,75.59,22.256649942582705
60,84.66,92.58,80.47,43.93,75.41000000000001,21.579043846596477
61,89.42,93.57,80.0,44.13,76.78,22.494922390026893
62,87.14,92.68,80.25,44.73,76.2,21.58732189658242
63,87.36,93.87,79.3,44.58,76.2775,21.95590182616055
64,86.37,93.67,80.22,44.23,76.1225,21.9609279934463
65,87.78,93.72,80.24,44.23,76.4925,22.204407032538985
66,88.95,93.92,79.54,44.18,76.64750000000001,22.45139843454449
67,87.55,93.42,80.57,45.82,76.83999999999999,21.336617976302303
68,88.91,93.52,80.45,44.93,76.9525,22.02375138344964
