epoch,local_time_s,peak_vram_mb
0,37.59,4091.03
1,38.03,4098.4
2,38.0,4099.9
3,36.96,4095.53
4,37.85,4093.03
5,38.25,4093.03
6,38.33,4090.4
7,37.58,4088.28
8,37.31,4086.9
9,37.44,4090.28
10,38.14,4087.15
11,38.21,4090.15
12,37.58,4090.9
13,37.4,4089.15
14,38.15,4089.03
15,38.39,4085.15
16,38.39,4083.28
17,37.37,4088.9
18,38.05,4089.53
19,38.15,4087.15
20,37.85,4087.28
21,37.99,4085.28
22,37.98,4087.4
23,37.85,4086.28
24,37.95,4086.15
25,37.98,4087.53
26,37.35,4084.65
27,38.05,4088.15
28,38.32,4082.28
29,37.61,4082.78
30,37.82,4085.03
31,37.47,4086.53
32,37.76,4083.78
33,38.05,4081.03
34,38.02,4080.4
35,37.47,4081.53
36,37.24,4083.15
37,37.76,4082.4
38,38.06,4080.03
39,38.42,4082.9
40,37.57,4081.65
41,37.55,4082.15
42,38.12,4084.9
43,37.79,4082.28
44,38.09,4081.28
45,37.68,4077.9
46,38.14,4082.53
47,38.04,4079.28
48,37.65,4083.4
49,37.31,4081.15
50,38.14,4076.78
51,38.38,4079.15
52,38.43,4080.53
53,37.91,4083.4
54,37.2,4078.9
55,38.22,4081.15
56,38.35,4080.15
57,38.02,4080.4
58,37.27,4080.53
59,37.47,4078.03
60,37.58,4081.03
61,38.55,4081.65
62,37.9,4075.78
63,37.43,4080.28
64,37.84,4077.65
65,37.6,4080.28
66,37.57,4080.78
67,37.74,4079.53
68,37.4,4077.15
69,37.85,4075.15
70,37.92,4077.15
71,37.63,4081.53
72,37.97,4076.15
73,38.03,4078.4
74,38.53,4075.03
75,38.07,4080.28
76,37.88,4078.65
77,37.6,4076.78
78,38.67,4078.15
79,38.31,4075.15
80,38.25,4077.65
81,37.61,4077.15
82,37.98,4077.78
83,38.02,4081.28
84,38.0,4080.65
85,37.86,4076.65
86,37.59,4078.28
87,37.83,4078.03
88,37.72,4076.4
89,38.03,4076.9
90,37.88,4078.53
91,38.03,4077.78
92,37.73,4076.28
93,37.84,4079.15
94,37.61,4073.9
95,38.29,4075.78
96,37.67,4079.15
97,38.56,4076.9
98,38.44,4073.15
99,37.38,4078.28
100,38.19,4075.4
101,38.4,4076.4
102,37.92,4076.53
103,37.9,4078.28
104,37.61,4076.78
105,37.91,4077.9
106,38.42,4076.78
107,38.02,4076.28
108,37.63,4078.78
109,38.24,4077.78
110,37.9,4075.28
111,37.89,4077.15
112,37.95,4075.53
113,37.79,4073.53
114,38.24,4077.53
115,38.38,4077.9
116,37.85,4078.65
117,38.13,4076.9
118,38.56,4075.65
119,37.88,4077.53
120,38.22,4073.65
121,37.88,4077.65
122,37.85,4072.15
123,38.45,4078.15
124,38.05,4076.03
125,38.0,4078.9
126,37.74,4073.9
127,38.01,4075.53
128,37.72,4079.28
129,38.76,4075.9
130,37.77,4076.03
131,38.12,4078.03
132,37.98,4073.4
133,37.76,4077.78
134,37.8,4079.03
135,37.97,4077.03
136,37.77,4077.03
137,37.53,4077.03
138,38.01,4078.78
139,37.46,4077.03
140,37.62,4074.9
141,37.81,4077.28
142,38.42,4077.9
143,37.61,4078.53
144,37.31,4075.53
145,38.26,4076.03
146,38.7,4077.78
147,37.79,4077.28
148,37.58,4078.15
149,38.1,4077.15
150,38.05,4078.15
151,38.15,4074.9
152,38.05,4077.53
153,38.04,4075.4
154,38.33,4079.28
155,38.04,4077.28
156,38.0,4077.53
157,37.66,4076.65
158,37.85,4073.28
159,38.39,4078.9
160,37.88,4072.65
161,37.75,4076.65
162,37.75,4078.28
163,38.22,4079.15
164,38.04,4073.78
165,38.11,4077.9
166,37.79,4076.15
167,38.17,4075.03
168,38.02,4074.65
169,38.42,4077.03
170,37.78,4076.65
171,38.39,4076.65
172,38.24,4076.03
173,38.19,4076.4
174,37.91,4075.78
175,38.1,4073.4
176,38.4,4073.65
177,38.3,4072.65
178,37.76,4077.4
179,36.85,4075.9
180,38.24,4079.28
181,37.71,4076.65
182,38.03,4075.65
183,37.65,4076.65
184,37.27,4076.53
185,37.84,4075.65
186,38.01,4076.4
187,37.67,4075.4
188,37.45,4076.4
189,37.76,4074.65
190,37.46,4077.9
191,37.87,4071.78
192,37.94,4079.15
193,37.47,4078.15
194,37.71,4076.4
195,37.58,4082.03
196,37.72,4079.15
197,38.14,4080.65
198,38.26,4079.15
199,38.34,4080.03
