epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.14,19.03,17.59,10.5,20.065,9.48053620143221
1,29.89,37.67,12.06,11.44,22.765,13.112046623874805
2,70.56,19.93,19.77,13.43,30.9225,26.5978211826959
3,79.11,43.25,23.07,14.53,39.99,28.725714380440856
4,81.81,57.2,25.55,15.57,45.0325,30.266809516916933
5,80.53,61.43,29.55,15.87,46.845000000000006,29.472976888442517
6,81.05,65.07,32.89,17.06,49.0175,29.241191693682158
7,81.19,68.71,37.65,17.41,51.239999999999995,29.04800853759169
8,82.62,72.94,41.17,18.56,53.822500000000005,29.42960230221718
9,82.98,76.03,45.55,19.0,55.89,29.480362955703246
10,83.75,77.38,49.37,20.95,57.8625,28.78512738087732
11,84.61,78.97,53.05,22.29,59.73,28.493086880855856
12,85.24,80.52,57.12,24.38,61.815,27.821034608128194
13,87.18,83.06,59.19,26.12,63.8875,28.03911479225643
14,87.94,84.6,62.13,28.96,65.9075,27.16755341088581
15,88.02,85.05,65.0,29.65,66.92999999999999,26.87406308444383
16,89.32,86.95,66.74,32.59,68.9,26.24157388572568
17,89.28,87.1,68.19,34.43,69.75,25.379646700982
18,90.25,88.24,70.97,34.63,71.02250000000001,25.75885527347828
19,90.14,88.54,71.96,37.36,72.0,24.51232615100683
20,91.35,88.79,73.35,38.41,72.975,24.3764551702389
21,91.23,90.08,74.89,39.95,74.0375,23.913930912057655
22,92.18,90.48,75.24,41.39,74.8225,23.553814093121595
23,92.5,90.98,76.32,42.59,75.5975,23.18284477079262
24,91.93,91.03,76.91,42.59,75.61500000000001,23.06605803628642
25,92.31,91.28,77.8,43.43,76.205,22.828135418090255
26,92.4,91.38,78.35,43.88,76.5025,22.669445479176
27,93.36,91.63,78.7,45.62,77.3275,22.12729743250781
28,93.61,91.78,78.98,46.97,77.83500000000001,21.581418705296773
29,93.78,91.73,79.51,46.82,77.96,21.69475666299732
30,93.96,91.68,79.05,48.61,78.325,20.867167991847865
31,93.27,91.78,80.3,47.91,78.315,21.082081649274265
32,93.5,91.98,80.36,48.61,78.61250000000001,20.844915247289126
33,93.1,91.98,80.32,48.81,78.5525,20.653231183844653
34,93.52,91.93,80.5,50.0,78.9875,20.17642745879458
35,94.19,92.18,80.8,49.75,79.23,20.51860456593804
36,94.21,92.68,80.82,50.75,79.615,20.15232410087399
37,94.07,92.78,81.0,51.69,79.885,19.695147456501395
38,94.19,92.28,80.98,51.24,79.6725,19.831149529633088
39,94.16,92.23,81.29,51.44,79.78,19.724963878293924
40,94.14,92.87,81.38,51.69,80.02,19.739430927292037
41,94.51,93.07,81.45,52.44,80.36749999999999,19.514788195963938
