epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.58,19.28,17.58,10.45,20.2225,9.691846659262962
1,31.66,38.17,11.83,11.09,23.1875,13.803391793323843
2,36.77,42.75,11.02,12.24,25.695,16.430878450851818
3,56.97,30.29,20.88,13.13,30.317499999999995,19.103516910070073
4,77.39,56.65,25.31,14.63,43.495,28.78545639728507
5,81.74,64.47,32.93,16.52,48.915,29.576989366735752
6,81.92,68.36,37.53,16.37,51.045,29.65403682468881
7,81.44,70.4,41.75,17.66,52.8125,28.79196111764532
8,81.88,74.09,45.97,18.36,55.075,28.930782337618638
9,83.64,77.38,49.31,19.85,57.544999999999995,29.22957691562891
10,83.81,78.48,52.61,21.84,59.18500000000001,28.3817271027211
11,85.41,80.57,55.46,23.73,61.2925,28.273870593417755
12,86.27,81.76,59.53,26.62,63.545,27.250612837145514
13,87.76,83.96,61.91,28.36,65.4975,27.25525560939272
14,87.97,84.6,63.86,31.44,66.9675,25.97351134649812
15,88.69,85.85,66.28,33.43,68.5625,25.4524149148956
16,89.29,86.65,67.68,35.52,69.785,24.788401185500717
17,89.71,87.89,69.66,36.52,70.945,24.671103880180688
18,90.09,88.64,71.68,37.66,72.01750000000001,24.382196202694022
19,89.97,89.24,72.86,40.35,73.105,23.221516602783144
20,91.28,89.59,74.25,41.09,74.05250000000001,23.272058174271276
21,91.41,90.78,75.67,43.43,75.3225,22.472162594344734
22,91.72,90.83,76.2,44.73,75.87,21.945634341860952
23,92.54,91.08,77.14,46.07,76.7075,21.572206462637673
24,92.14,90.88,77.93,46.17,76.78,21.39341175845187
25,92.1,91.28,78.74,46.82,77.235,21.178349794070357
26,92.52,91.63,79.29,47.06,77.625,21.25239202223285
27,92.83,91.73,79.54,49.15,78.3125,20.353093745177908
28,93.69,91.98,79.81,50.25,78.9325,20.09541303382441
29,93.71,92.03,80.62,49.8,79.04,20.342263066499427
30,94.05,92.13,80.37,51.84,79.5975,19.46804111871556
31,93.47,92.23,81.18,51.14,79.505,19.700471229558616
32,93.51,92.48,81.11,51.79,79.72250000000001,19.45078126108735
33,93.09,92.23,81.19,52.44,79.7375,18.9878476487814
34,93.55,92.58,81.24,52.59,79.99000000000001,19.10239252031012
35,94.05,92.68,81.35,52.94,80.25500000000001,19.07870453323985
36,93.73,92.83,81.5,52.99,80.2625,19.014347872067557
37,93.67,93.32,81.47,54.33,80.6975,18.47029213809751
38,93.66,92.53,81.42,54.18,80.4475,18.36195591433549
39,93.79,92.83,81.88,53.88,80.595,18.611337942232957
40,93.71,93.32,81.86,54.03,80.72999999999999,18.6293263431612
41,93.84,93.37,81.98,54.78,80.9925,18.315121939716008
42,93.55,93.37,82.51,54.98,81.1025,18.164047594079907
43,93.89,93.27,82.33,55.22,81.17750000000001,18.101162715877305
44,94.53,93.52,81.76,56.22,81.5075,17.827012041655586
45,94.48,93.37,82.45,56.82,81.78,17.503034022705894
46,94.11,93.27,82.61,56.37,81.59,17.609293001140053
47,93.98,93.27,82.62,56.37,81.56,17.578776976797904
48,94.36,93.32,82.73,57.66,82.01750000000001,17.067310616106646
49,94.33,93.22,83.24,57.41,82.05000000000001,17.166954690140397
50,94.56,93.32,82.9,57.61,82.0975,17.14195705474339
51,94.57,93.32,82.58,57.66,82.0325,17.1164158534042
52,94.63,93.37,83.17,57.61,82.19500000000001,17.174425754592203
53,94.93,93.47,83.05,58.16,82.4025,17.0053508735731
54,94.93,93.42,82.87,58.21,82.3575,16.968707228307053
55,94.93,93.92,83.04,57.86,82.43750000000001,17.246515348517995
56,94.89,93.77,83.18,58.41,82.5625,16.944024266192887
57,95.04,93.72,83.53,58.46,82.68749999999999,16.95073130182491
58,95.22,93.72,83.27,58.36,82.6425,17.03856483588529
59,94.77,93.52,83.82,58.76,82.7175,16.704630844968307
60,94.96,93.82,83.62,58.96,82.83999999999999,16.716435026643683
61,94.88,94.02,83.7,58.51,82.77749999999999,16.957072025165978
62,94.87,93.87,83.35,59.15,82.81,16.611786979932855
63,94.59,93.87,83.25,58.66,82.5925,16.776162403839567
64,94.63,93.87,83.41,59.3,82.8025,16.483485422284534
65,95.1,94.27,83.55,59.25,83.0425,16.711080904597402
66,94.9,94.32,83.43,59.05,82.925,16.768197080584823
67,94.71,94.27,84.02,59.5,83.125,16.50620994252365
68,95.0,94.12,83.69,59.9,83.1775,16.346400980032275
69,95.55,94.17,83.49,60.1,83.3275,16.39606126482821
70,95.32,94.22,83.85,59.7,83.2725,16.54273531392758
71,95.25,94.22,83.56,60.0,83.2575,16.380875790587837
72,94.97,94.22,83.91,60.15,83.3125,16.24529957659548
73,95.07,94.07,83.76,59.7,83.14999999999999,16.44797251943229
74,95.02,94.22,84.23,60.15,83.405,16.261899233074427
75,94.68,94.22,84.22,60.4,83.38,16.062187480747035
76,94.94,94.22,84.04,60.65,83.46249999999999,16.002088144989077
77,94.66,94.42,84.19,60.35,83.405,16.126112364733167
78,94.96,94.17,83.66,61.0,83.44749999999999,15.826613398534338
79,94.8,94.12,83.92,60.15,83.2475,16.182483070695096
80,94.91,94.37,83.95,61.34,83.64250000000001,15.700656833393944
81,95.07,94.22,83.78,60.95,83.505,15.888823115636976
82,95.13,94.62,84.43,60.75,83.7325,16.09474526048797
83,94.99,94.32,83.81,60.3,83.355,16.200252055652303
84,95.28,94.47,83.82,60.5,83.5175,16.20915867650138
85,95.21,94.47,84.34,60.5,83.63,16.197767335860416
86,95.14,94.27,83.98,60.4,83.44749999999999,16.17932708736677
87,95.6,94.37,84.36,61.19,83.88,15.942239491363816
88,95.63,94.37,84.27,61.24,83.8775,15.925077446174841
89,95.14,94.37,84.48,60.75,83.685,16.041950213944272
90,95.78,94.52,84.3,60.85,83.86250000000001,16.179984291298513
91,95.48,94.62,84.2,60.65,83.7375,16.223046107312896
92,95.37,94.47,84.63,61.24,83.92750000000001,15.88805919550906
93,95.9,94.62,83.99,61.14,83.9125,16.092891546684
94,95.46,94.52,84.09,61.14,83.8025,15.962807553810825
95,95.55,94.37,84.69,61.39,84.0,15.839061420004239
96,95.41,94.62,84.52,60.55,83.775,16.25774584621128
97,95.76,94.72,84.41,60.65,83.88499999999999,16.315163703336438
98,95.59,94.77,84.79,60.35,83.87500000000001,16.433756924899026
99,95.96,94.82,84.53,61.19,84.12499999999999,16.131010507714635
100,95.79,94.42,84.62,61.04,83.96750000000002,16.074019150998506
101,95.35,94.57,84.68,60.75,83.8375,16.13966826383574
102,96.07,94.87,84.37,60.85,84.04,16.32885789025062
103,95.59,94.62,84.73,60.75,83.9225,16.20888516627018
104,95.76,94.57,84.7,61.14,84.04249999999999,16.052880063506777
105,95.75,94.72,84.66,60.95,84.02,16.17320211543362
106,95.58,94.87,84.56,60.6,83.9025,16.330838670033657
107,95.58,94.97,84.44,60.55,83.885,16.37559668124086
108,95.76,95.02,84.15,60.5,83.8575,16.451233742995285
109,96.0,94.97,84.65,60.9,84.13,16.312631097812925
110,95.83,94.72,84.78,60.6,83.98250000000002,16.360872786417396
111,96.01,94.92,84.64,61.04,84.1525,16.2374533614932
112,95.62,94.82,84.28,60.5,83.805,16.373485680615882
113,95.23,94.72,84.77,60.75,83.86749999999999,16.146377044608695
114,95.8,94.82,84.67,60.75,84.01,16.302590796148525
115,95.95,94.92,84.76,60.9,84.1325,16.2907568373398
116,96.06,95.02,84.6,61.19,84.21749999999999,16.200317640918858
