epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.61,18.93,17.67,10.25,20.115000000000002,9.777789457063731
1,58.2,22.02,18.51,12.04,27.692500000000003,20.754147175926068
2,73.98,26.91,19.6,14.03,33.63,27.41217369466834
3,77.12,41.31,22.34,14.23,38.75,27.984096674123084
4,80.95,54.16,24.25,14.98,43.585,30.000344998016274
5,80.26,59.49,28.48,15.92,46.037499999999994,29.254508911733023
6,80.68,64.03,31.99,16.97,48.417500000000004,29.1171603182728
7,80.51,68.06,36.54,16.87,50.495,29.06780636144852
8,82.22,72.5,40.09,17.71,53.13,29.69872612307358
9,82.41,75.88,44.12,18.31,55.18,29.730362706611345
10,83.24,76.98,47.8,20.0,57.004999999999995,29.10542847419819
11,84.09,78.48,51.82,21.54,58.982499999999995,28.657641651050074
12,84.7,79.92,56.28,23.08,60.995000000000005,28.165351645831326
13,86.85,82.76,58.21,25.22,63.260000000000005,28.338914352294207
14,87.85,84.5,60.99,27.21,65.1375,27.967010774601324
15,87.71,84.6,63.91,28.76,66.245,27.130731038191108
16,89.21,86.2,65.71,31.69,68.2025,26.486476266200455
17,89.33,86.95,67.35,33.08,69.1775,26.00227089441741
18,90.27,88.14,70.32,33.93,70.66499999999999,26.072404952362948
19,89.99,88.39,70.96,36.92,71.565,24.652270348455396
20,91.21,88.74,72.61,37.11,72.4175,24.94152277494967
21,91.85,89.84,74.15,39.4,73.81,24.266342946558716
22,92.04,90.18,74.94,40.35,74.37750000000001,23.943475624896234
23,92.79,90.48,75.85,41.44,75.14,23.685665144414532
24,92.63,90.93,76.46,42.14,75.53999999999999,23.418842840755392
25,92.76,91.08,77.5,43.03,76.0925,23.076255292688487
26,92.83,91.08,77.97,42.64,76.13,23.290614704926387
27,93.79,91.48,78.44,45.52,77.3075,22.24305340999747
28,94.06,91.88,78.91,46.67,77.88000000000001,21.85495672229376
29,94.2,91.83,79.27,47.01,78.0775,21.723089674353417
30,94.41,91.68,78.78,48.11,78.245,21.214860357777518
31,93.69,91.88,80.24,47.76,78.3925,21.27353187257192
32,93.94,92.03,80.34,48.01,78.58,21.248173254815736
33,93.73,92.08,80.53,48.11,78.61250000000001,21.165944935201924
34,93.91,92.08,80.5,49.45,78.985,20.565716617711136
35,94.51,92.38,80.78,48.76,79.10749999999999,21.112115597447833
36,94.55,92.68,80.88,49.6,79.42750000000001,20.785477903254154
37,94.85,92.73,81.04,51.04,79.915,20.18505800503597
38,94.8,92.48,81.14,50.9,79.83,20.188977190536423
39,94.68,92.33,81.42,51.29,79.93,19.94820125558526
