epoch,local_time_s,peak_vram_mb
0,52.72,3252.17
1,52.34,3256.29
2,51.69,3262.29
3,51.94,3264.04
4,52.09,3258.54
5,52.23,3256.79
6,52.29,3257.29
7,52.04,3256.29
8,51.74,3255.92
9,52.29,3255.42
10,51.87,3254.42
11,52.04,3257.17
12,51.82,3253.54
13,51.98,3252.04
14,52.01,3252.79
15,52.46,3249.67
16,52.19,3253.42
17,51.97,3254.29
18,52.83,3246.67
19,52.36,3242.42
20,52.0,3245.29
21,51.96,3246.42
22,51.94,3241.17
23,52.1,3246.79
24,52.11,3247.67
25,51.98,3246.17
26,52.27,3250.17
27,52.04,3241.92
28,51.95,3248.79
29,52.0,3242.54
30,51.97,3249.67
31,52.65,3244.29
32,52.38,3252.29
33,51.96,3249.29
34,51.99,3252.79
35,51.89,3251.92
36,52.18,3250.79
37,52.18,3254.54
38,52.24,3251.92
39,51.63,3246.54
40,52.18,3250.04
41,51.93,3251.17
42,51.7,3253.17
43,51.94,3253.92
44,52.23,3252.42
45,52.01,3250.29
46,52.02,3252.54
47,52.17,3254.29
48,52.59,3252.54
49,52.18,3252.67
50,52.09,3253.29
51,52.31,3249.29
52,52.15,3255.42
53,51.77,3255.54
54,52.19,3256.29
55,51.92,3253.04
56,51.84,3254.17
57,52.36,3251.92
58,52.18,3257.04
59,52.11,3256.42
60,52.29,3255.17
61,51.9,3256.79
62,52.38,3251.54
63,52.3,3253.04
64,52.07,3253.54
65,51.98,3251.79
66,51.66,3247.29
67,52.03,3252.79
68,51.85,3251.54
69,52.3,3251.29
70,51.86,3253.42
71,52.04,3257.42
72,51.9,3257.17
73,52.21,3257.67
74,53.07,3251.79
75,52.16,3251.04
76,51.99,3248.29
77,52.17,3249.42
78,52.22,3245.79
79,52.43,3247.42
80,52.42,3245.42
81,51.73,3247.04
82,52.29,3250.67
83,52.18,3250.79
84,51.86,3249.79
85,52.5,3244.04
86,51.79,3248.92
87,52.23,3243.54
88,52.02,3241.54
89,51.77,3246.92
90,52.54,3244.79
91,52.15,3248.54
92,52.01,3247.42
93,52.3,3242.42
94,51.95,3249.79
95,52.24,3244.92
96,52.16,3242.92
97,52.44,3240.79
98,51.93,3242.17
99,52.18,3245.79
100,52.09,3240.54
101,52.03,3245.29
102,52.25,3242.67
103,51.98,3243.17
104,52.3,3249.54
105,52.11,3244.92
106,52.16,3247.17
107,52.0,3246.42
108,51.85,3242.29
109,51.89,3247.42
110,52.15,3248.42
111,51.78,3245.42
112,52.14,3250.67
113,52.33,3245.29
114,52.29,3249.92
115,52.47,3250.42
116,52.49,3249.79
117,52.21,3253.42
118,51.85,3251.79
119,52.05,3251.42
120,52.35,3249.54
121,52.18,3247.42
122,52.27,3247.92
123,52.22,3245.17
124,52.25,3245.67
125,52.09,3242.67
126,51.72,3244.54
127,52.32,3245.79
128,51.61,3245.79
129,51.93,3244.67
130,52.55,3244.79
131,51.63,3246.42
132,51.88,3242.17
133,51.99,3239.42
134,52.11,3242.29
135,51.93,3239.92
136,52.18,3240.17
137,51.69,3242.54
138,52.39,3237.29
139,51.73,3238.04
140,52.47,3238.29
141,52.17,3238.67
142,52.33,3240.29
143,51.92,3243.92
144,51.62,3243.67
145,52.25,3247.04
146,52.14,3242.29
147,51.94,3248.17
148,51.73,3247.54
149,52.04,3248.92
150,52.2,3247.54
151,51.9,3238.29
152,52.24,3245.92
153,52.05,3244.67
154,51.87,3248.29
155,52.24,3248.79
156,52.18,3250.17
157,51.87,3251.17
158,52.13,3254.42
159,51.85,3253.04
160,51.74,3247.92
161,52.49,3255.67
162,51.93,3252.79
163,51.97,3249.79
164,52.04,3247.04
165,51.84,3252.92
166,52.58,3249.04
167,52.42,3249.42
168,51.89,3249.54
169,52.2,3252.92
170,51.91,3253.67
171,52.16,3249.29
172,52.12,3256.67
173,52.22,3251.92
174,52.05,3248.42
175,52.0,3245.67
176,52.29,3252.92
177,52.02,3253.67
178,52.07,3249.54
179,52.07,3243.92
180,52.37,3247.92
181,52.24,3244.04
182,52.18,3247.67
183,52.37,3251.42
184,52.33,3250.17
185,51.6,3249.17
186,52.29,3250.04
187,51.75,3248.29
188,52.13,3245.67
189,52.55,3252.54
190,52.11,3248.79
191,52.4,3249.42
192,51.38,3249.04
193,51.33,3247.29
194,51.72,3250.04
195,51.73,3252.04
196,51.92,3252.79
197,52.3,3253.04
198,52.5,3250.92
199,52.44,3250.42
