epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,34.78,18.39,18.51,9.8,20.37,10.43636271249072
1,41.77,41.75,15.61,12.14,27.817500000000003,16.161619916745146
2,64.43,29.85,20.81,13.83,32.230000000000004,22.44608948866892
3,71.57,54.51,29.68,14.43,42.5475,25.439950700948035
4,72.19,56.7,33.11,15.67,44.4175,25.009663965488752
5,71.74,59.79,40.68,15.67,46.97,24.475561961543054
6,72.49,61.34,44.6,17.01,48.85999999999999,24.129493709290017
7,74.91,65.22,49.42,17.76,51.8275,25.02366529907239
8,78.24,69.86,53.7,18.96,55.190000000000005,26.21287469927707
9,81.9,74.69,57.94,20.45,58.745,27.432049990233445
10,84.0,76.58,62.12,21.99,61.1725,27.656535544665267
11,85.97,78.03,64.09,24.13,63.055,27.480749019389314
12,88.01,80.22,67.67,25.82,65.43,27.704212676053437
13,89.11,82.11,69.77,26.27,66.815,28.18766337720576
14,90.12,83.81,72.12,28.41,68.61500000000001,27.82133533818965
15,90.15,82.96,73.12,29.1,68.83250000000001,27.392677093218424
16,91.49,85.15,74.88,30.95,70.61749999999999,27.316260572535665
17,91.83,85.75,75.54,31.69,71.2025,27.185627789943226
18,93.03,86.15,77.36,32.54,72.27000000000001,27.251990752970695
19,93.56,86.15,77.55,33.63,72.7225,26.87022810348534
20,94.22,86.85,78.48,34.08,73.4075,26.99532968867022
21,94.39,87.89,79.66,34.78,74.18,26.949326522197175
22,94.57,87.59,79.82,34.78,74.19,26.95520605251114
23,95.11,87.84,80.54,35.37,74.715,26.89598049275517
24,94.55,87.14,80.8,35.32,74.4525,26.686610094452487
25,94.64,87.79,81.28,35.42,74.78250000000001,26.802607304762972
26,95.4,87.64,81.53,36.22,75.19750000000002,26.59763695644158
27,95.46,88.09,81.6,36.37,75.38,26.615903766983628
28,95.73,88.54,81.87,37.56,75.925,26.195371728608855
29,95.63,88.44,82.3,37.31,75.92,26.310143797909323
30,96.01,88.59,82.09,37.66,76.0875,26.241959244690555
31,95.77,88.69,82.56,37.96,76.24499999999999,26.08782666302427
32,95.73,88.79,82.61,38.16,76.32249999999999,25.999991506408872
33,96.05,89.14,82.45,38.81,76.6125,25.806072121369677
34,96.09,89.19,83.0,38.96,76.80999999999999,25.79354828892941
35,96.13,88.99,82.87,39.3,76.8225,25.595168001011444
36,96.05,88.74,82.82,38.81,76.605,25.771136955904755
37,96.5,89.94,83.15,39.3,77.22250000000001,25.862508740130632
38,96.55,88.69,82.77,39.3,76.8275,25.647108186564296
39,96.22,88.59,83.25,38.66,76.68,25.899453018677185
40,96.39,88.84,83.22,39.1,76.88750000000002,25.763058015952478
41,96.58,89.84,83.1,39.55,77.2675,25.740164950261423
42,96.74,89.34,83.62,39.55,77.3125,25.741532426541095
43,97.02,89.69,83.54,39.65,77.475,25.81167758980419
44,97.04,89.39,83.08,38.86,77.0925,26.119631665345768
45,96.92,89.39,83.55,40.4,77.565,25.37389800562775
46,96.71,89.49,83.6,40.0,77.44999999999999,25.535819287163402
47,97.07,88.94,83.11,40.1,77.305,25.45544146150288
48,97.36,89.49,83.44,40.95,77.80999999999999,25.22552543225479
49,97.04,89.49,83.86,40.1,77.6225,25.591152605278776
50,97.32,89.94,83.72,41.04,78.00500000000001,25.26252758533872
51,97.24,89.64,83.6,41.0,77.87,25.205552298385896
52,97.42,89.59,83.82,41.19,78.005,25.16818692979956
53,97.25,89.69,83.68,41.19,77.9525,25.129319363378443
54,97.22,89.89,83.65,41.14,77.975,25.175120655122985
55,97.34,90.03,83.66,41.49,78.13,25.057963471386362
56,97.31,89.89,83.6,40.95,77.93749999999999,25.28698660708046
57,97.37,90.08,83.85,41.49,78.19749999999999,25.087645531881492
58,97.47,89.79,83.65,41.79,78.175,24.90682035106047
59,97.37,89.94,84.15,41.69,78.28750000000001,24.991121590143436
60,97.36,89.94,84.23,42.14,78.4175,24.775178943181555
61,97.58,90.53,84.04,42.04,78.54750000000001,24.958508736167175
62,97.47,89.94,83.92,41.99,78.33,24.85273559724697
63,97.27,90.18,83.9,42.39,78.435,24.64285224292567
64,97.36,89.99,83.68,42.54,78.3925,24.54674095815301
65,97.66,91.18,83.99,42.74,78.8925,24.739910232927954
66,97.55,91.18,83.82,42.49,78.76,24.822281657145595
67,97.3,90.43,84.44,42.64,78.7025,24.60910451438654
68,97.65,91.68,84.08,42.94,79.0875,24.729902783202906
69,97.73,91.23,83.75,42.89,78.9,24.676847448570086
