epoch,local_time_s,peak_vram_mb
0,52.92,4090.28
1,53.31,4102.28
2,53.06,4107.78
3,52.94,4100.65
4,52.9,4099.53
5,52.77,4102.9
6,53.24,4100.15
7,52.42,4096.4
8,52.81,4097.53
9,53.13,4097.53
10,52.92,4097.4
11,52.3,4099.53
12,53.32,4099.03
13,53.27,4098.28
14,53.07,4098.65
15,53.13,4096.9
16,53.28,4102.15
17,52.79,4093.28
18,52.98,4099.9
19,52.78,4091.9
20,52.9,4091.03
21,53.27,4095.4
22,52.76,4095.03
23,53.06,4089.78
24,53.02,4087.03
25,52.78,4085.4
26,53.19,4083.15
27,52.31,4088.03
28,52.95,4086.03
29,52.66,4087.15
30,53.28,4086.28
31,52.76,4082.4
32,53.03,4085.15
33,52.73,4087.03
34,53.2,4088.15
35,52.88,4089.9
36,52.53,4085.53
37,53.25,4086.78
38,52.56,4081.53
39,53.23,4089.15
40,52.99,4082.65
41,52.95,4084.78
42,52.51,4082.78
43,53.0,4085.03
44,53.32,4078.03
45,53.06,4078.53
46,53.18,4077.15
47,52.74,4081.28
48,52.63,4078.65
49,52.56,4080.03
50,52.84,4079.78
51,52.94,4084.03
52,53.12,4085.03
53,52.66,4084.65
54,53.32,4083.4
55,52.94,4083.9
56,53.07,4087.15
57,53.15,4084.78
58,52.6,4086.78
59,53.0,4086.9
60,52.96,4083.03
61,52.82,4087.9
62,52.85,4086.65
63,53.1,4087.9
64,52.64,4086.9
65,52.97,4080.4
66,52.62,4090.65
67,52.67,4087.78
68,53.15,4084.65
69,53.14,4088.65
70,52.64,4078.78
71,52.91,4080.78
72,52.85,4082.53
73,52.33,4084.53
74,53.35,4084.53
75,53.05,4085.03
76,52.98,4087.28
77,52.89,4086.4
78,53.49,4088.53
79,52.76,4090.15
80,53.14,4085.78
81,52.83,4086.53
82,52.72,4087.28
83,53.04,4088.4
84,52.72,4089.78
85,52.87,4084.03
86,52.95,4085.4
87,53.13,4088.53
88,52.75,4085.65
89,52.89,4089.03
90,52.48,4085.9
91,53.3,4085.03
92,52.61,4084.9
93,53.01,4084.15
94,53.2,4086.78
95,53.42,4087.28
96,52.48,4090.03
97,52.68,4090.15
98,52.82,4089.65
99,52.56,4090.03
100,52.91,4090.53
101,52.91,4092.03
102,53.22,4088.78
103,52.49,4093.65
104,52.56,4094.4
105,53.62,4091.9
106,52.92,4093.9
107,52.84,4087.9
108,53.18,4090.78
109,53.42,4089.78
110,52.63,4092.78
111,53.29,4087.9
112,53.01,4083.15
113,53.13,4085.78
114,52.24,4088.28
115,52.52,4086.4
116,52.66,4084.53
117,53.21,4086.9
118,52.46,4084.65
119,53.22,4085.15
120,52.76,4086.53
121,52.82,4081.15
122,53.03,4084.15
123,52.75,4084.28
124,52.94,4080.53
125,52.98,4080.78
126,53.09,4081.53
127,52.99,4083.78
128,53.22,4083.9
129,52.8,4085.53
130,53.06,4082.78
131,53.37,4082.78
132,52.94,4084.4
133,53.12,4088.65
134,53.19,4089.4
135,53.23,4090.28
136,53.02,4093.4
137,52.58,4093.28
138,53.36,4090.53
139,53.39,4094.4
140,52.89,4090.65
141,52.94,4097.65
142,52.97,4091.4
143,53.13,4091.53
144,52.57,4092.15
145,53.04,4094.65
146,52.86,4094.78
147,52.97,4093.28
148,52.78,4097.03
149,52.98,4092.03
150,53.33,4089.65
151,52.7,4081.9
152,52.48,4085.65
153,53.09,4085.15
154,52.99,4088.03
155,52.5,4091.65
156,53.34,4090.15
157,52.46,4092.53
158,53.02,4091.15
159,52.86,4094.9
160,52.68,4093.15
161,53.48,4089.65
162,52.73,4090.65
163,52.66,4092.65
164,52.91,4088.28
165,52.93,4089.4
166,52.63,4087.28
167,52.76,4085.9
168,52.77,4084.15
169,53.26,4085.4
170,52.73,4082.78
171,52.76,4089.53
172,52.94,4083.65
173,53.13,4090.65
174,52.76,4089.28
175,52.83,4088.9
176,53.26,4086.65
177,52.84,4089.78
178,53.34,4092.28
179,52.59,4088.28
180,53.01,4094.15
181,52.55,4089.53
182,53.0,4093.03
183,52.9,4090.15
184,53.31,4092.9
185,52.52,4093.9
186,52.93,4091.03
187,52.71,4093.4
188,53.38,4093.65
189,53.17,4095.78
190,53.05,4093.03
191,53.2,4088.65
192,52.99,4090.15
193,52.91,4091.53
194,52.76,4092.28
195,53.18,4092.15
196,52.95,4088.4
197,53.03,4085.78
198,53.52,4088.28
199,53.06,4086.78
