epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,9.05,8.07,9.92,10.7,9.434999999999999,1.1323868596906266
1,8.92,8.82,8.86,10.65,9.3125,0.8926132047719963
2,8.92,7.97,8.79,10.15,8.9575,0.8993840484835536
3,9.52,8.57,8.6,10.6,9.3225,0.9590403189299879
4,11.91,9.72,8.51,11.14,10.32,1.50959155623853
5,11.22,9.72,8.44,11.19,10.1425,1.3335760195804363
6,9.78,8.92,8.19,10.2,9.2725,0.8970089185732769
7,9.74,8.67,7.89,10.0,9.075,0.9774285992678273
8,9.74,8.27,7.49,9.8,8.825,1.1369696565871934
9,9.74,8.27,7.19,9.75,8.7375,1.2441161521337145
10,9.74,8.27,6.89,9.6,8.625,1.332929105391581
11,9.74,8.27,6.85,9.65,8.6275,1.3626536610599191
12,9.74,8.27,6.72,9.7,8.607499999999998,1.4320934559820693
13,9.74,8.27,6.54,9.85,8.6,1.5507632529392315
14,9.74,8.27,6.55,9.85,8.6025,1.54633706976627
15,9.74,8.27,6.48,9.95,8.61,1.6046806535881208
16,9.74,8.27,6.52,10.05,8.645,1.6154772256725467
17,9.74,8.27,6.52,10.0,8.6325,1.6011115930294597
18,9.74,8.27,6.52,9.95,8.62,1.5870097668256489
19,9.74,8.27,6.53,9.95,8.622499999999999,1.5826007076960378
20,9.74,8.27,6.53,9.95,8.622499999999999,1.5826007076960378
21,9.74,8.27,6.52,10.0,8.6325,1.6011115930294597
22,9.74,8.27,6.5,10.0,8.6275,1.6099145940080175
23,9.74,8.27,6.49,10.0,8.625,1.6143213228268198
24,9.74,8.27,6.5,9.95,8.614999999999998,1.5958383376770968
25,9.74,8.27,6.51,9.95,8.6175,1.591422319813317
26,9.74,8.27,6.48,9.95,8.61,1.6046806535881208
27,9.74,8.27,6.48,9.95,8.61,1.6046806535881208
28,9.74,8.27,6.51,9.95,8.6175,1.591422319813317
29,9.74,8.27,6.54,9.95,8.625,1.5781951717072258
30,9.74,8.27,6.53,9.95,8.622499999999999,1.5826007076960378
31,9.74,8.27,6.54,10.0,8.6375,1.5923227269202267
32,9.74,8.27,6.53,10.0,8.635,1.5967153785192902
33,9.74,8.27,6.55,10.0,8.64,1.5879336678001803
34,9.74,8.27,6.53,10.0,8.635,1.5967153785192902
35,9.74,8.27,6.53,10.0,8.635,1.5967153785192902
36,9.74,8.27,6.54,10.0,8.6375,1.5923227269202267
37,9.74,8.27,6.52,10.0,8.6325,1.6011115930294597
38,9.74,8.27,6.55,10.0,8.64,1.5879336678001803
39,9.74,8.27,6.54,10.0,8.6375,1.5923227269202267
40,9.74,8.27,6.56,9.85,8.604999999999999,1.5419143945109275
41,9.74,8.27,6.53,9.95,8.622499999999999,1.5826007076960378
42,9.74,8.27,6.53,9.95,8.622499999999999,1.5826007076960378
43,9.74,8.27,6.51,10.0,8.629999999999999,1.605511341182823
44,9.74,8.27,6.52,9.95,8.62,1.5870097668256489
45,9.74,8.27,6.52,9.95,8.62,1.5870097668256489
46,9.74,8.27,6.51,9.9,8.604999999999999,1.5776036680146677
47,9.74,8.27,6.52,9.85,8.594999999999999,1.559626023549663
