epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,12.01,25.26,17.51,10.2,16.245,6.766281598238923
1,52.13,26.91,21.83,13.08,28.4875,16.76474152300993
2,33.47,31.69,24.25,12.34,25.4375,9.601553259759589
3,51.49,57.6,19.78,13.78,35.6625,22.08212908666191
4,48.49,54.06,25.85,15.62,36.005,18.262260721681386
5,56.74,60.44,35.61,15.62,42.102500000000006,20.768531283330237
6,50.37,67.51,31.65,15.37,41.225,22.617794616923494
7,54.93,72.6,47.11,16.97,47.902499999999996,23.214936822370777
8,49.1,71.75,55.31,16.92,48.269999999999996,22.981031308450888
9,58.45,70.8,57.37,19.15,51.4425,22.37378432451694
10,62.12,76.48,60.51,20.4,54.8775,24.08003927876088
11,56.3,71.75,64.21,21.54,53.449999999999996,22.188872586651776
12,60.26,74.14,66.44,21.34,55.545,23.499562407273316
13,63.03,78.13,65.87,23.23,57.565,23.809316803862025
14,70.35,79.72,71.87,25.27,61.8025,24.698681982378464
15,69.34,78.72,71.52,24.93,61.1275,24.46224488880773
16,75.94,79.32,69.74,26.27,62.8175,24.685848003798988
17,74.12,80.77,72.21,24.93,63.00749999999999,25.648756142680032
18,70.66,78.18,72.53,25.82,61.7975,24.197088495657212
19,80.11,81.37,72.01,25.07,64.64,26.70402965846166
20,85.13,83.31,73.87,27.21,67.38,27.230965217315866
21,82.22,85.45,75.14,26.92,67.4325,27.349397769116113
22,83.81,83.86,75.13,27.66,67.61500000000001,26.950914022842838
23,81.52,83.56,75.82,28.11,67.2525,26.299768535103116
24,80.95,82.41,76.49,28.11,66.99000000000001,26.04203269076104
25,90.42,87.14,75.06,29.15,70.4425,28.309591278104556
26,82.88,81.96,75.65,26.57,66.765,26.98865502391699
27,82.85,87.1,77.63,28.36,68.985,27.358838303797423
28,88.75,87.44,77.91,31.04,71.285,27.261455696031103
29,81.57,84.26,77.33,29.75,68.22749999999999,25.809797073979485
30,88.39,85.45,75.02,31.0,69.965,26.602569424775496
31,89.34,88.29,78.0,31.99,71.905,27.09737810194928
32,85.49,84.4,78.45,30.95,69.82249999999999,26.099036221030588
33,91.05,87.49,76.5,31.54,71.645,27.44449003594953
34,83.74,84.01,77.89,29.1,68.685,26.54061604409362
35,86.38,87.49,78.19,31.09,70.7875,26.78798284679158
36,85.53,87.79,78.0,31.24,70.64,26.59802122965792
37,91.46,89.14,78.1,33.13,72.9575,27.18388539190084
38,87.22,85.15,77.69,30.5,70.14,26.74171896743613
39,88.96,88.74,77.61,34.28,72.39750000000001,25.958349170674673
40,86.92,88.39,78.32,32.64,71.5675,26.328959183125086
41,92.2,87.84,77.18,30.05,71.81750000000001,28.55081595448135
42,91.3,89.09,77.61,34.23,73.0575,26.5714751503688
43,90.4,86.45,76.51,32.59,71.48750000000001,26.581949232514912
44,89.34,87.74,78.95,34.18,72.5525,25.98625967057719
45,92.83,88.69,77.74,35.47,73.6825,26.258397228315363
46,86.11,86.65,77.85,34.23,71.21,24.98008273271595
47,91.65,88.99,78.39,35.42,73.6125,26.09795953071172
48,90.61,86.45,77.97,34.88,72.4775,25.61092133576351
49,90.59,90.33,78.57,35.67,73.79,26.024311710398795
50,87.11,89.64,78.61,35.57,72.7325,25.220180246514232
51,91.94,87.89,76.97,34.43,72.80749999999999,26.354590207400303
52,90.92,88.79,79.18,35.52,73.60249999999999,25.896854860516687
53,87.19,88.04,78.76,35.42,72.3525,24.975419082236304
54,87.87,87.99,75.76,32.49,71.0275,26.324460583267417
55,91.46,89.89,77.78,37.16,74.07249999999999,25.356108238450158
56,90.36,91.03,77.61,35.02,73.505,26.389157495708975
57,90.96,88.79,78.95,35.42,73.53,25.938523473783157
58,88.72,90.73,79.28,37.86,74.14750000000001,24.7012973680871
59,90.07,88.29,80.0,36.37,73.6825,25.259075431746638
60,91.61,88.04,77.24,36.77,73.41499999999999,25.18223778777414
61,87.35,87.89,78.49,35.42,72.28750000000001,24.953292868878044
62,90.5,89.04,76.62,35.77,72.9825,25.578035336332356
63,92.59,90.18,78.98,39.2,75.2375,24.746011631506736
64,88.38,89.54,78.29,35.27,72.87,25.570721538509623
65,88.28,87.29,78.59,36.52,72.67,24.490034708019508
66,91.19,90.18,78.04,38.86,74.56750000000001,24.54344090926671
67,94.96,91.23,79.44,40.6,76.5575,24.867548297597278
68,94.55,91.83,77.65,37.66,75.42249999999999,26.242684536202972
69,90.14,89.49,78.03,38.21,73.96749999999999,24.478565283393003
70,91.08,91.23,80.36,38.76,75.3575,24.92345130594878
71,92.13,89.49,78.29,38.76,74.6675,24.678711980166224
72,92.75,90.28,78.13,38.61,74.9425,25.050327176838763
73,94.85,89.49,76.18,36.57,74.2725,26.33200128487515
74,87.92,89.29,77.33,38.41,73.23750000000001,23.825489676674714
75,91.24,90.23,77.97,36.12,73.89,25.892324473995508
76,90.31,91.48,78.05,39.15,74.7475,24.49664245701167
77,94.39,91.78,78.52,40.95,76.41,24.639947240203252
78,91.55,91.58,77.95,39.3,75.095,24.711369178308733
79,86.54,89.04,76.28,38.31,72.5425,23.4799948537757
80,89.09,90.38,78.42,40.3,74.5475,23.452362176690578
81,91.12,91.63,78.06,40.0,75.2025,24.29410679568195
82,92.57,89.54,76.43,39.45,74.4975,24.392306676491256
83,91.16,90.53,79.79,39.1,75.14500000000001,24.589947132924056
84,91.28,92.13,76.9,39.25,74.89,24.766236425154847
85,90.59,91.38,79.12,39.9,75.2475,24.221835018566754
86,90.05,90.63,78.7,39.3,74.67,24.21118061282156
87,90.77,89.34,77.19,40.85,74.53750000000001,23.270091498172782
88,85.74,90.73,79.59,42.19,74.5625,22.057342503876875
89,89.92,91.33,78.7,40.7,75.1625,23.659738481225865
90,95.18,93.77,78.17,37.91,76.2575,26.701667082787175
91,82.02,86.5,78.11,39.45,71.52,21.653047514533988
92,94.06,93.12,78.17,42.19,76.885,24.248368329985976
93,94.79,92.68,77.69,40.95,76.5275,24.910052020553202
94,88.58,91.73,79.13,41.69,75.2825,23.026094436530048
95,89.65,90.68,79.3,41.69,75.33,23.007936311919273
96,91.12,91.08,77.87,40.4,75.11749999999999,23.97055467999576
97,92.99,93.47,77.76,40.95,76.29249999999999,24.665217581309378
98,83.16,90.28,79.35,40.3,73.2725,22.44355493974458
99,85.1,90.83,78.75,40.4,73.77,22.787202548799183
100,89.77,91.18,78.75,41.0,75.175,23.451263647545023
101,89.54,91.58,78.75,40.95,75.205,23.520238802642574
102,94.24,93.52,77.54,40.05,76.3375,25.390066791299834
103,92.6,91.73,79.53,42.79,76.66250000000001,23.356671245420795
104,89.17,90.38,78.5,42.19,75.06,22.55412009663275
105,92.24,92.68,79.05,42.69,76.665,23.516304273134985
106,87.84,92.03,77.42,39.45,74.185,23.957521435518604
107,88.79,90.78,78.92,42.64,75.2825,22.371032422905
108,91.62,93.02,78.25,41.34,76.0575,24.083394521260217
109,88.47,90.43,77.61,40.45,74.24,23.221613495477296
110,93.26,92.83,79.54,43.48,77.2775,23.414457606359367
111,90.03,93.07,78.02,42.69,75.9525,23.107381757063404
112,94.75,93.07,74.39,41.14,75.83749999999999,24.904172843120083
113,88.29,90.63,78.56,41.69,74.7925,22.67876007045653
114,88.97,89.54,77.02,41.64,74.29249999999999,22.520659219185095
115,94.52,92.92,76.68,43.43,76.8875,23.716333858053748
116,90.01,92.13,78.48,40.5,75.28,23.94983507250102
117,91.55,91.08,78.43,44.78,76.46000000000001,21.976925778340032
118,91.79,91.58,80.21,43.13,76.6775,23.010037483672207
119,87.54,91.08,73.26,40.15,73.0075,23.219875645661844
120,95.29,93.37,78.23,43.13,77.50500000000001,24.153472490168642
121,92.52,93.22,78.52,44.43,77.1725,22.85428533849469
122,91.03,90.93,77.88,41.29,75.28250000000001,23.488047137498118
123,92.14,93.57,78.33,43.33,76.84249999999999,23.374652047321117
124,92.29,93.12,78.93,44.08,77.105,22.956812351311616
125,90.65,92.97,77.81,42.59,76.005,23.253010557775095
126,91.33,93.52,74.91,42.99,75.6875,23.326786283869737
127,94.56,92.83,77.29,43.18,76.965,23.824455922433987
128,92.62,94.12,79.49,43.78,77.5025,23.42247691854984
129,90.05,92.73,77.84,44.23,76.2125,22.284772641125752
130,87.35,92.23,79.38,41.89,75.21249999999999,22.83762447512146
131,91.12,92.58,77.87,45.32,76.7225,21.95588057142475
132,94.25,93.52,77.27,41.74,76.695,24.586183789545974
133,83.58,91.93,79.35,43.88,74.685,21.191360661049274
134,86.18,91.23,78.05,44.43,74.97250000000001,21.073124076257262
135,90.87,94.12,76.56,45.12,76.6675,22.372282516542654
136,91.0,90.78,78.8,44.93,76.3775,21.726046388302375
137,92.9,93.22,75.55,43.73,76.35000000000001,23.26086699444656
138,92.68,93.22,78.12,44.53,77.13749999999999,22.8358670735315
139,89.1,93.27,77.33,41.84,75.38499999999999,23.35968393051013
140,90.88,93.07,78.31,44.88,76.785,22.24203902523327
141,90.02,93.27,79.95,46.37,77.4025,21.45137660695307
142,94.07,93.12,78.23,44.88,77.575,22.97189659852519
143,89.43,93.32,77.74,42.09,75.64500000000001,23.329229877273416
144,85.97,91.58,78.74,43.68,74.9925,21.526472655778974
145,91.55,94.07,78.24,46.37,77.5575,21.9209083981481
146,95.01,92.58,77.54,44.93,77.515,23.056539925438365
147,89.86,93.62,79.95,44.33,76.94,22.49163548225577
148,89.02,93.27,77.55,44.73,76.1425,21.96897414537147
149,89.63,92.53,78.84,44.88,76.47,21.86819760900899
150,90.19,93.77,78.29,46.12,77.0925,21.68266031494598
151,90.4,92.97,77.99,44.38,76.435,22.34851598354277
152,86.34,93.42,78.65,45.07,75.86999999999999,21.400870698797906
153,89.36,93.17,76.84,45.07,76.11,21.83743422046952
154,93.6,93.67,76.89,45.37,77.3825,22.75472606588208
155,90.21,94.27,77.96,44.63,76.7675,22.518727576545405
156,89.0,93.72,76.58,45.87,76.2925,21.531445802205976
157,93.38,94.22,75.46,45.62,77.17,22.743447407989844
158,88.57,94.02,74.47,41.74,74.69999999999999,23.466669981060367
159,88.04,93.42,78.46,42.64,75.64,22.85345196390836
160,92.5,93.92,76.38,45.97,77.1925,22.283278297114784
161,91.15,92.63,76.98,45.22,76.495,22.01111915979437
162,92.56,94.67,74.79,44.13,76.53750000000001,23.37240449048122
163,90.8,93.87,76.43,45.22,76.58000000000001,22.24578312100221
164,91.98,92.63,80.06,44.73,77.35000000000001,22.50128737057801
165,89.6,92.43,78.73,44.08,76.21,22.219119394491464
166,94.84,94.12,76.67,45.97,77.9,22.884418279694156
167,89.99,93.82,77.19,44.43,76.3575,22.441347813058524
168,89.5,93.12,77.31,46.72,76.6625,21.07623681621872
169,91.73,93.12,74.6,46.12,76.39250000000001,21.868435967546166
170,94.07,94.02,77.23,45.07,77.5975,23.08834536441853
171,91.53,94.82,77.59,46.12,77.515,22.22262285749967
172,83.3,93.72,77.04,42.99,74.2625,21.954152796225134
173,92.23,93.47,77.09,46.22,77.2525,21.987688032169277
174,88.5,93.87,77.11,46.72,76.55000000000001,21.07864163871414
