epoch,local_time_s,peak_vram_mb
0,78.65,1202.11
1,89.08,1180.37
2,88.66,1179.74
3,88.1,1178.99
4,88.13,1180.62
5,87.77,1178.74
6,88.52,1178.62
7,86.69,1178.24
8,88.65,1182.62
9,87.39,1180.99
10,88.48,1181.24
11,88.68,1179.87
12,88.25,1183.37
13,88.64,1180.99
14,87.09,1182.74
15,88.96,1184.99
16,87.56,1183.62
17,88.42,1178.74
18,87.01,1181.74
19,87.98,1178.37
20,88.72,1181.12
21,88.48,1180.87
22,88.61,1182.49
23,87.56,1180.24
24,88.67,1177.37
25,87.43,1181.74
26,87.87,1180.62
27,88.15,1180.74
28,87.93,1179.74
29,89.13,1182.74
30,87.72,1183.74
31,89.05,1179.62
32,88.36,1181.99
33,88.94,1181.99
34,88.26,1178.12
35,87.63,1179.74
36,88.62,1177.87
37,87.58,1181.12
38,89.17,1179.62
39,87.86,1178.12
40,89.32,1184.87
41,88.64,1181.62
42,88.08,1182.24
43,88.82,1179.24
44,88.13,1177.37
45,89.3,1181.12
46,87.22,1181.24
47,88.79,1181.37
48,87.96,1179.37
49,88.39,1182.87
50,89.3,1180.37
51,88.61,1181.24
52,89.77,1181.49
53,87.23,1182.87
54,88.45,1181.87
55,87.35,1182.74
56,88.53,1183.24
57,87.36,1178.24
58,87.93,1184.62
59,88.56,1183.24
60,87.77,1184.37
61,89.82,1181.62
62,87.51,1178.99
63,88.66,1181.74
64,88.23,1183.37
65,88.07,1179.49
66,88.07,1181.74
67,87.75,1176.74
68,88.59,1178.49
69,87.2,1179.62
70,89.01,1180.74
71,87.85,1179.74
72,88.6,1185.12
73,87.87,1181.62
74,87.8,1184.12
75,89.08,1179.74
76,86.72,1181.24
77,88.41,1185.24
78,85.91,1183.74
79,86.33,1183.62
80,88.18,1181.62
81,87.52,1182.37
82,89.08,1181.12
83,87.0,1182.37
84,88.23,1181.99
85,87.11,1181.24
86,88.24,1181.12
87,88.54,1179.24
88,88.29,1181.12
89,88.22,1184.24
90,87.57,1181.74
91,89.32,1180.99
92,87.45,1178.37
93,87.78,1182.62
94,87.7,1180.24
95,88.41,1182.24
96,88.44,1179.74
97,88.1,1177.49
98,88.87,1181.12
99,88.07,1180.49
100,88.35,1181.87
101,87.94,1180.49
102,88.77,1181.62
103,88.02,1181.37
104,88.06,1183.24
105,89.46,1182.74
106,87.95,1179.37
107,88.36,1178.87
108,87.99,1182.12
109,88.61,1184.24
110,88.5,1184.12
111,87.87,1178.62
112,89.03,1177.12
113,87.13,1181.74
114,89.55,1180.37
115,87.33,1179.24
116,87.18,1178.99
117,88.15,1179.49
118,88.51,1181.49
119,88.52,1180.49
120,87.14,1182.62
121,88.42,1181.87
122,87.0,1184.12
123,87.89,1182.37
124,87.97,1177.99
125,87.16,1179.49
126,87.73,1182.24
127,87.65,1180.74
128,88.51,1182.24
129,87.6,1180.49
130,88.57,1180.49
131,88.51,1180.12
132,87.36,1179.49
133,87.39,1182.87
134,87.08,1181.87
135,88.02,1181.99
136,86.91,1177.24
137,88.7,1179.99
138,87.76,1179.24
139,88.3,1180.62
140,88.84,1177.87
141,87.69,1181.87
142,88.17,1179.24
143,87.58,1178.49
144,89.09,1179.49
145,87.32,1177.74
146,88.8,1181.24
147,87.18,1179.49
148,88.34,1178.62
149,88.88,1182.24
150,87.55,1178.87
151,88.23,1181.87
152,87.38,1178.99
153,88.65,1183.37
154,86.85,1178.74
155,88.19,1178.12
156,88.67,1176.99
157,87.72,1178.87
158,88.82,1182.49
159,86.57,1181.37
160,88.6,1180.99
161,87.47,1181.37
162,88.42,1179.99
163,87.4,1181.87
164,87.45,1179.99
165,88.66,1182.87
166,87.63,1182.12
167,88.19,1180.87
168,87.21,1182.49
169,88.16,1181.74
170,88.47,1179.62
171,86.98,1182.74
172,88.58,1181.62
173,87.63,1181.24
174,89.07,1180.49
175,88.79,1179.62
176,87.81,1177.12
177,88.32,1175.62
178,87.47,1178.12
179,87.78,1182.87
180,86.36,1181.49
181,88.59,1184.87
182,86.92,1184.62
183,88.93,1176.74
184,87.68,1178.99
185,87.03,1178.74
186,88.19,1176.62
187,87.62,1180.37
188,87.88,1182.74
189,87.45,1181.37
190,88.62,1181.37
191,88.01,1176.87
192,87.17,1177.12
193,87.88,1180.62
194,87.05,1182.12
195,88.26,1181.12
196,87.06,1180.87
197,88.25,1178.12
198,87.28,1176.62
199,88.79,1181.99
