epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,22.19,15.74,17.78,10.1,16.4525,5.018069848059112
1,50.81,17.29,19.16,12.94,25.049999999999997,17.36989157517494
2,30.84,21.67,21.54,13.43,21.870000000000005,7.114384489656619
3,33.12,33.88,26.43,13.93,26.840000000000003,9.23464852245787
4,42.21,46.49,26.4,16.72,32.955,13.849121512452214
5,42.62,46.49,32.12,17.76,34.747499999999995,12.849662446928324
6,55.4,57.2,39.06,17.71,42.3425,18.33737962923456
7,57.86,63.28,39.1,19.25,44.8725,19.977866711271584
8,55.17,67.41,44.43,21.14,47.037499999999994,19.652445776543946
9,53.15,66.37,48.44,19.55,46.877500000000005,19.736053936894276
10,52.3,68.51,49.56,22.34,48.1775,19.147613210702442
11,43.43,71.25,50.97,20.85,46.625,20.81528524906637
12,41.92,71.25,53.58,23.98,47.6825,19.876472482141626
13,55.19,78.13,54.36,22.89,52.6425,22.688201596130675
14,55.16,73.34,58.51,27.01,53.504999999999995,19.34942979349349
15,36.51,73.74,58.97,27.46,49.17,21.065964650750427
16,56.7,77.73,60.77,31.49,56.67250000000001,19.099449163086707
17,50.92,79.57,63.98,30.45,56.23,20.797616850655427
18,54.37,79.67,65.78,31.89,57.927499999999995,20.207302929056777
19,57.35,79.67,63.72,34.18,58.730000000000004,18.867879230763236
20,61.02,83.26,69.11,32.84,61.5575,21.236936965265652
21,62.57,82.91,70.12,35.87,62.8675,19.859960347392438
22,61.66,86.2,68.55,39.25,63.915000000000006,19.421222927508968
23,63.66,84.85,71.09,37.36,64.24,19.954660274398726
24,64.45,86.1,71.09,36.42,64.515,20.80445545229835
25,65.82,88.34,72.33,38.36,66.2125,20.840392470712576
26,73.64,86.8,72.79,40.15,68.345,19.860682264212375
27,67.5,87.05,74.04,38.86,66.86250000000001,20.360075924874803
28,74.85,88.14,73.19,42.69,69.7175,19.220432487329727
29,65.51,86.35,73.32,39.45,66.1575,19.771598106037523
30,71.28,87.84,72.61,42.99,68.68,18.70193038164777
31,68.8,88.39,74.45,42.59,68.5575,19.16958941483446
32,77.99,90.13,73.8,42.44,71.09,20.31664506424884
33,58.23,88.59,76.03,40.6,65.8625,20.947285225855246
34,66.58,88.79,75.46,41.99,68.205,19.716694280059556
35,83.62,91.18,76.27,44.63,73.925,20.456654174131213
