epoch,local_time_s,peak_vram_mb
0,88.53,1147.75
1,89.35,1152.25
2,89.53,1153.13
3,88.82,1150.25
4,89.7,1153.0
5,89.04,1157.88
6,90.25,1157.75
7,89.2,1156.0
8,88.47,1156.0
9,90.01,1153.25
10,87.84,1152.88
11,88.89,1152.88
12,89.66,1153.38
13,88.17,1154.25
14,89.99,1155.25
15,88.68,1155.75
16,89.65,1155.25
17,89.56,1156.75
18,87.26,1153.5
19,88.34,1152.5
20,88.6,1151.88
21,89.29,1153.25
22,89.11,1154.0
23,88.63,1151.88
24,89.14,1154.5
25,88.44,1156.88
26,89.4,1155.88
27,88.88,1154.0
28,88.78,1157.13
29,87.24,1156.0
30,88.25,1155.0
31,89.98,1153.38
32,88.97,1157.38
33,88.6,1154.88
34,90.2,1151.38
35,87.76,1156.13
36,89.57,1154.75
37,87.29,1158.13
38,88.16,1156.13
39,89.56,1155.5
40,87.74,1153.5
41,88.56,1155.63
42,88.83,1155.0
43,88.21,1152.38
44,89.44,1156.5
45,87.98,1153.5
46,89.23,1153.25
47,88.96,1153.13
48,88.01,1153.13
49,88.89,1154.63
50,88.67,1151.0
51,89.94,1152.0
52,88.9,1154.0
53,88.55,1153.88
54,89.63,1155.5
55,89.03,1155.25
56,89.79,1156.63
57,89.21,1155.25
58,89.33,1154.13
59,89.96,1156.0
60,88.25,1157.38
61,89.02,1155.63
62,88.34,1152.25
63,87.91,1158.38
64,88.49,1154.63
65,87.67,1158.5
66,89.31,1154.88
67,88.91,1154.88
68,88.04,1156.88
69,88.31,1156.5
70,88.37,1154.13
71,89.27,1155.63
72,88.49,1154.75
73,88.35,1158.0
74,89.8,1158.63
75,88.56,1156.75
76,89.95,1153.63
77,89.63,1155.38
78,88.73,1153.88
79,89.97,1154.5
80,88.57,1155.13
81,89.49,1156.25
82,88.77,1153.5
83,89.54,1156.75
84,89.91,1157.0
85,88.4,1155.5
86,89.47,1152.75
87,89.39,1150.13
88,88.92,1153.13
89,90.08,1153.88
90,89.35,1153.0
91,90.18,1152.38
92,89.07,1152.88
93,88.09,1151.5
94,90.3,1149.38
95,88.87,1153.25
96,90.1,1154.75
97,89.31,1152.63
98,88.75,1151.38
99,89.8,1153.63
100,88.68,1153.13
101,89.66,1157.13
102,87.92,1155.5
103,88.13,1154.0
104,89.72,1152.5
105,88.52,1152.25
106,89.41,1153.5
107,88.93,1152.0
108,88.94,1153.88
109,90.03,1152.88
110,88.48,1151.0
111,89.76,1152.63
112,90.03,1158.5
113,88.54,1154.25
114,90.14,1157.25
115,89.96,1158.38
116,88.77,1157.63
117,89.85,1157.13
118,88.61,1155.0
119,89.64,1155.25
120,89.3,1152.25
121,89.05,1149.25
122,89.82,1150.88
123,87.85,1154.5
124,89.65,1152.63
125,90.01,1153.13
126,89.06,1151.63
127,90.6,1155.25
128,89.14,1150.13
129,90.16,1150.25
130,89.74,1153.13
131,88.35,1157.25
132,90.55,1154.5
133,89.08,1158.13
134,89.43,1154.0
135,89.8,1153.5
136,88.24,1153.13
137,89.97,1151.88
138,88.14,1151.88
139,89.47,1154.0
140,90.81,1154.0
141,89.0,1153.38
142,90.03,1153.88
143,89.76,1150.75
144,88.93,1152.5
145,90.52,1153.75
146,89.63,1153.88
147,89.71,1151.75
148,90.13,1154.5
149,88.62,1154.25
150,89.85,1154.5
151,89.36,1156.5
152,89.43,1154.13
153,90.62,1152.13
154,88.66,1150.0
155,90.62,1154.38
156,90.25,1153.38
157,88.85,1153.5
158,89.77,1155.75
159,88.06,1156.0
160,89.8,1158.0
161,89.98,1154.88
162,89.19,1155.38
163,89.49,1156.13
164,88.88,1154.13
165,89.4,1154.38
166,90.49,1151.5
167,88.93,1153.13
168,89.69,1153.75
169,89.25,1153.13
170,88.83,1152.75
171,90.17,1152.38
172,88.8,1152.63
173,89.74,1156.63
174,88.97,1154.63
175,88.6,1156.5
176,90.35,1153.38
177,89.19,1155.25
178,90.3,1153.25
179,90.18,1154.5
180,89.51,1154.38
181,90.7,1151.88
182,89.5,1154.0
183,90.29,1158.38
184,89.49,1156.0
185,89.1,1153.88
186,90.55,1153.38
187,89.04,1153.88
188,89.52,1153.75
189,89.16,1153.5
190,88.97,1154.0
191,90.49,1152.88
192,89.12,1157.75
193,90.44,1156.38
194,90.38,1155.25
195,88.45,1154.75
196,89.65,1151.5
197,89.76,1153.88
198,90.0,1151.25
199,89.94,1150.0
