epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,23.34,17.14,17.1,10.15,16.9325,5.389170468015771
1,62.6,20.33,19.01,13.38,28.830000000000002,22.71414977497507
2,31.8,20.98,21.18,12.49,21.6125,7.90763923894694
3,41.97,45.54,20.24,12.34,30.022499999999997,16.24708871357163
4,51.43,56.8,21.63,15.12,36.245,20.92013463946476
5,54.04,55.41,26.39,16.52,38.089999999999996,19.634491759825785
6,60.41,69.96,25.99,16.52,43.220000000000006,25.950508023286684
7,56.92,71.2,31.52,17.51,44.2875,24.248067105097952
8,57.78,77.58,38.69,17.41,47.865,25.774510017974478
9,54.17,73.19,41.53,20.45,47.334999999999994,22.148735855574238
10,53.85,76.38,51.81,19.9,50.485,23.231244047618286
11,56.11,77.78,55.14,23.63,53.16499999999999,22.291912584313323
12,52.85,78.57,58.59,24.18,53.5475,22.468413940463176
13,58.43,78.62,58.77,23.38,54.800000000000004,22.974961733736723
14,63.87,80.12,64.27,26.27,58.6325,22.86377684606519
15,58.41,82.41,64.81,28.91,58.635,22.263628784784085
16,66.16,81.32,64.5,29.85,60.457499999999996,21.76329689331712
17,63.39,83.01,66.76,31.0,61.040000000000006,21.781669663580278
18,72.4,86.05,68.73,30.25,64.3575,23.928272503463347
19,68.88,84.85,69.26,34.33,64.33,21.339148686549485
20,73.22,86.25,70.66,30.45,65.145,24.116280116690188
21,71.92,87.69,73.06,33.28,66.48750000000001,23.273689544204203
22,71.19,86.3,71.55,36.07,66.2775,21.333271940015827
23,74.79,87.94,73.45,36.92,68.275,21.90185760767033
24,69.3,86.5,72.17,36.22,66.04750000000001,21.260670066267117
25,81.05,90.23,75.07,36.42,70.6925,23.683738971426507
26,70.15,88.49,73.58,34.03,66.5625,23.103349504635325
27,78.29,91.38,77.03,35.77,70.6175,24.120648657668113
28,75.66,87.94,73.61,40.55,69.44,20.272801154913612
29,82.92,90.28,76.29,39.15,72.16,22.73638053868733
30,77.33,90.48,74.26,40.7,70.6925,21.19653017988243
31,74.84,90.43,75.56,39.4,70.0575,21.664647662339988
32,76.36,87.99,74.13,39.8,69.57,20.756099505125395
33,79.66,91.63,76.65,40.25,72.0475,22.163697608176
34,67.18,88.74,76.4,35.82,67.03500000000001,22.606838935743905
35,83.39,90.43,77.98,42.49,73.5725,21.339372647760758
36,83.4,93.72,74.33,39.35,72.7,23.6023289811267
37,80.51,90.83,76.07,42.89,72.575,20.73341505878855
38,80.0,89.54,76.07,40.0,71.4025,21.68554414811858
39,80.59,92.38,75.18,40.55,72.175,22.272740439080835
40,80.51,92.18,77.44,42.84,73.2425,21.239714961991996
41,79.51,91.78,77.22,38.91,71.855,22.874737885565672
42,88.07,92.43,77.04,43.03,75.14250000000001,22.366575322714624
43,72.13,89.54,74.78,39.1,68.8875,21.284237320922106
44,77.59,91.33,78.7,45.32,73.235,19.62573565500157
45,82.74,91.83,77.33,42.24,73.535,21.704209269171727
46,79.32,91.18,76.67,40.3,71.8675,21.970309321142178
