epoch,local_time_s,peak_vram_mb
0,79.37,3354.65
1,89.66,3331.44
2,88.94,3325.32
3,89.26,3330.44
4,91.09,3328.82
5,89.35,3327.44
6,89.23,3325.44
7,84.07,3321.94
8,85.38,3322.32
9,89.45,3320.44
10,89.3,3323.32
11,89.57,3322.19
12,88.22,3324.44
13,89.69,3323.07
14,89.13,3321.32
15,90.22,3324.69
16,89.57,3319.44
17,89.72,3324.44
18,88.6,3321.07
19,88.99,3321.44
20,88.49,3321.69
21,88.43,3318.07
22,89.64,3317.94
23,88.55,3316.32
24,89.85,3315.57
25,86.81,3314.32
26,87.53,3317.82
27,90.21,3320.82
28,90.16,3318.19
29,90.35,3317.94
30,89.07,3314.69
31,89.67,3321.07
32,89.88,3315.69
33,90.22,3317.57
34,90.34,3314.69
35,88.58,3317.32
36,89.83,3316.69
37,88.65,3314.07
38,89.05,3313.69
39,89.38,3315.94
40,87.91,3314.07
41,89.05,3313.69
42,89.61,3314.69
43,89.78,3315.19
44,88.9,3318.44
45,89.51,3320.07
46,89.4,3313.44
47,89.03,3319.57
48,89.58,3317.82
49,89.05,3318.32
50,89.9,3317.94
51,89.77,3314.69
52,89.75,3316.07
53,89.14,3315.44
54,88.57,3316.07
55,89.94,3317.57
56,89.71,3315.69
57,89.08,3313.44
58,89.45,3314.07
59,89.09,3315.19
60,89.91,3314.44
61,88.74,3316.44
62,90.17,3313.32
63,89.19,3314.57
64,89.99,3313.44
65,89.75,3315.19
66,89.05,3311.94
67,89.12,3312.19
68,88.75,3314.94
69,89.02,3313.44
70,89.12,3315.57
71,89.48,3314.19
72,89.21,3314.32
73,89.19,3313.07
74,89.52,3314.32
75,89.08,3311.44
76,89.53,3314.82
77,89.65,3313.44
78,89.99,3315.44
79,89.2,3316.19
80,88.51,3314.57
81,89.36,3315.44
82,88.82,3315.82
83,89.21,3314.44
84,90.17,3311.32
85,89.18,3316.94
86,89.56,3317.07
87,88.8,3318.44
88,89.91,3316.07
89,88.41,3316.07
90,89.4,3319.44
91,89.2,3318.57
92,88.92,3321.19
93,89.01,3318.57
94,89.45,3317.94
95,89.68,3319.32
96,88.31,3315.69
97,90.09,3315.57
98,89.05,3311.82
99,80.63,3316.44
100,90.32,3316.07
101,89.11,3319.44
102,90.58,3314.94
103,88.54,3314.19
104,89.36,3313.82
105,89.15,3315.94
106,89.16,3312.94
107,89.15,3312.69
108,87.9,3316.57
109,90.12,3312.94
110,87.87,3312.94
111,89.03,3316.82
112,80.92,3314.19
113,89.53,3315.82
114,89.31,3317.69
115,89.26,3316.07
116,89.74,3314.19
117,89.15,3315.07
118,89.22,3318.32
119,88.54,3316.07
120,90.1,3312.19
121,89.84,3314.07
122,88.92,3313.07
123,88.87,3314.69
124,88.68,3317.07
125,90.0,3315.07
126,88.34,3315.44
127,89.69,3316.82
128,88.57,3320.07
129,89.54,3316.32
130,89.69,3314.82
131,89.29,3315.94
132,89.36,3315.19
133,88.42,3312.94
134,89.58,3315.32
135,88.78,3315.32
136,88.7,3314.19
137,88.82,3312.32
138,88.65,3316.94
139,89.53,3314.94
140,90.06,3316.57
141,90.31,3314.57
142,89.66,3316.07
143,89.7,3314.82
144,89.89,3314.69
145,89.43,3315.07
146,89.5,3316.19
147,88.37,3316.69
148,89.57,3316.57
149,88.09,3316.32
150,89.21,3314.07
151,88.62,3313.57
152,89.0,3312.69
153,88.2,3311.57
154,89.22,3314.19
155,89.45,3313.82
156,88.41,3312.07
157,89.48,3314.94
158,88.48,3314.19
159,88.68,3313.07
160,88.49,3311.94
161,86.43,3312.32
162,89.78,3311.32
163,88.97,3318.32
164,90.09,3315.69
165,88.99,3317.07
166,89.19,3315.94
167,89.59,3311.07
168,89.26,3314.82
169,90.01,3314.19
170,88.84,3315.82
171,89.83,3319.82
172,89.17,3317.07
173,88.6,3316.32
174,88.61,3316.57
175,88.73,3314.32
176,88.49,3314.82
177,89.49,3315.57
178,88.79,3311.82
179,88.57,3313.19
180,89.08,3311.94
181,87.71,3314.44
182,89.02,3318.44
183,89.18,3317.69
184,89.23,3313.44
185,89.68,3313.07
186,89.36,3315.44
187,89.91,3317.44
188,87.88,3315.44
189,90.23,3314.94
190,89.96,3313.69
191,89.39,3314.94
192,89.96,3310.69
193,88.65,3309.19
194,89.88,3311.32
195,88.9,3312.94
196,89.73,3312.44
197,88.7,3313.82
198,89.26,3312.32
199,89.39,3314.69
