epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,10.85,24.56,17.77,10.15,15.832499999999998,6.758680221266081
1,48.29,50.12,13.79,11.0,30.799999999999997,21.295872839590306
2,24.86,30.44,23.43,11.24,22.492499999999996,8.088375918563628
3,53.77,63.43,13.59,13.03,35.955,26.444903100597664
4,52.57,58.35,22.61,15.07,37.15,21.49538244988134
5,58.45,66.47,31.07,15.77,42.940000000000005,23.617273339655448
6,52.11,71.9,32.03,15.12,42.790000000000006,24.601226256699757
7,56.03,72.4,51.71,15.92,49.015,23.795030993886098
8,55.79,73.54,56.52,17.66,50.877500000000005,23.61469651862303
9,61.75,72.55,60.44,21.59,54.0825,22.33099098413085
10,63.28,75.59,61.56,19.55,54.995000000000005,24.442057332938788
11,64.22,75.83,66.91,22.69,57.4125,23.67418337204756
12,60.05,77.63,67.56,22.24,56.870000000000005,24.184037435189904
13,67.05,76.53,66.71,21.54,57.95749999999999,24.701227196234605
14,75.37,81.66,71.03,26.52,63.645,25.131783992917548
15,72.4,77.98,71.41,25.07,61.714999999999996,24.600599586188952
16,77.81,79.62,71.98,27.46,64.2175,24.720863489503493
17,75.16,81.12,72.51,25.92,63.67750000000001,25.427874960365838
18,77.99,81.27,73.96,26.42,64.91,25.833560859213087
19,78.38,84.11,73.3,25.62,65.3525,26.853887831497815
20,84.69,82.91,74.73,28.41,67.685,26.540084777558643
21,81.11,85.35,74.91,28.11,67.36999999999999,26.522111529816023
22,83.2,85.75,73.4,28.86,67.8025,26.5018620414994
23,82.03,82.91,75.71,28.91,67.39,25.852999825938966
24,78.98,80.62,76.43,27.91,65.98500000000001,25.441808766935843
25,89.34,87.14,76.45,29.65,70.645,27.903859350754097
26,85.65,86.25,76.97,30.45,69.83,26.593563130953324
27,82.35,86.65,77.35,30.25,69.15,26.21030331758868
28,85.08,87.49,76.6,31.49,70.16499999999999,26.202911415845886
29,83.46,84.45,76.98,29.5,68.5975,26.274680302526992
30,89.75,84.35,73.6,33.18,70.22,25.589475701285217
31,87.41,87.94,77.24,31.84,71.10749999999999,26.637371460662802
32,83.57,84.7,77.01,32.34,69.405,24.94149487634345
33,87.17,87.05,76.29,31.79,70.575,26.354993834186338
34,82.59,84.4,77.47,30.35,68.7025,25.736209737773482
35,86.46,87.49,78.2,34.93,71.77,24.90946941760636
36,85.19,87.54,76.62,30.85,70.05000000000001,26.551362802437595
37,91.36,90.73,76.01,33.78,72.97,27.07217144350757
38,89.86,85.9,76.51,33.93,71.55,25.697241097051645
39,88.73,89.94,77.55,33.03,72.3125,26.77566852573433
40,77.52,83.56,77.6,31.79,67.61749999999999,24.051908274951213
41,92.75,90.98,77.75,33.93,73.8525,27.443659103698256
42,87.46,86.45,77.34,35.72,71.7425,24.442469017402203
43,88.84,86.05,75.79,34.58,71.315,25.12456765797175
44,83.45,88.89,78.67,34.53,71.38499999999999,24.922222346064302
45,90.16,87.34,75.96,36.47,72.48249999999999,24.78058699197149
46,86.21,87.94,78.61,33.78,71.63499999999999,25.559964136646723
47,85.13,88.59,78.15,34.78,71.6625,24.968782342490524
48,93.48,90.28,78.32,36.27,74.58749999999999,26.36502402173506
49,92.9,90.38,78.77,36.37,74.605,26.222255814479425
50,81.48,86.2,76.91,32.04,69.1575,25.033982736805317
51,89.14,87.59,77.29,34.43,72.11250000000001,25.666229920526572
52,91.48,92.33,78.84,35.72,74.5925,26.639063265562974
53,89.12,91.38,77.7,36.42,73.655,25.535263852171177
54,86.85,88.79,75.34,31.44,70.605,26.77630606836325
55,89.08,90.43,77.32,37.41,73.56,24.808784734444373
56,88.7,87.69,77.52,36.62,72.6325,24.533519077648307
57,91.13,89.54,78.03,38.96,74.415,24.346677391381352
58,87.33,91.23,79.03,37.31,73.72500000000001,24.804007068751343
59,89.91,89.19,79.24,36.72,73.76499999999999,25.172069839407325
60,85.81,86.95,77.71,35.82,71.57249999999999,24.187352583530096
61,91.93,92.92,76.79,34.88,74.13000000000001,27.18787842648509
62,89.54,89.59,77.25,36.12,73.125,25.34386250488798
63,91.88,92.13,77.79,38.66,75.11500000000001,25.210435008808027
64,88.7,90.33,78.15,37.56,73.685,24.681019022722705
65,88.46,89.69,77.14,36.27,72.88999999999999,25.058277408207182
66,90.83,91.53,75.51,32.94,72.7025,27.519807866335114
67,93.61,90.68,79.01,39.0,75.575,25.18565795580228
68,94.05,93.97,75.27,36.07,74.83999999999999,27.314701780054882
69,79.85,86.55,77.8,37.21,70.35249999999999,22.40871909919589
70,92.93,90.53,77.35,39.15,74.99,24.85565260995307
71,86.33,90.23,77.18,36.22,72.49000000000001,24.790873320639594
72,91.89,89.74,78.4,39.2,74.80749999999999,24.464882825524967
73,93.37,91.33,76.24,35.32,74.065,26.936152286471803
74,89.54,90.38,77.68,38.96,74.14,24.15961920229704
75,89.19,92.03,76.38,38.01,73.9025,24.877858127258467
76,86.82,90.58,78.43,37.36,73.2975,24.490741618007405
77,90.89,91.23,78.4,37.86,74.595,25.207065808353555
78,92.82,91.03,77.3,39.0,75.0375,25.00531726786658
79,89.71,91.13,78.77,36.87,74.11999999999999,25.43995020959488
80,89.06,89.94,77.69,40.75,74.36,23.090744177411576
81,91.01,93.07,77.54,37.16,74.695,25.953741541442536
82,93.1,92.83,73.9,37.61,74.36000000000001,26.09663196659676
83,88.31,87.94,78.11,39.3,73.415,23.228666915401465
84,89.15,92.83,76.56,38.71,74.3125,24.736198003465827
85,83.04,89.29,78.68,38.61,72.405,22.94692499370377
86,85.28,90.58,78.09,39.3,73.3125,23.24551766828751
87,93.85,92.97,75.39,36.37,74.645,26.895899935368092
88,89.9,92.48,78.46,40.1,75.235,24.20276223905032
89,87.33,89.94,77.93,39.45,73.6625,23.384213157598438
90,93.63,93.02,79.0,39.3,76.2375,25.535345928079117
91,90.04,91.58,79.32,39.85,75.1975,24.187647501703562
92,92.24,92.92,76.27,38.16,74.89750000000001,25.67164762275041
93,92.63,91.98,76.01,39.95,75.1425,24.68858491287016
94,85.16,91.28,79.14,38.96,73.63499999999999,23.64199864647657
95,88.94,92.13,76.22,38.86,74.0375,24.43796823933337
96,93.38,92.48,77.18,40.5,75.885,24.73354200271364
97,91.24,92.28,79.15,39.35,75.505,24.8291555769959
98,80.87,88.74,77.53,38.91,71.5125,22.237227607475415
99,87.65,93.02,78.06,39.45,74.545,24.201108101352162
100,88.28,89.89,79.11,40.1,74.34500000000001,23.3184940908856
101,91.1,92.18,77.18,37.96,74.605,25.366988390425853
102,91.52,93.77,78.44,41.79,76.38000000000001,24.03014357010794
103,92.18,93.02,79.32,43.08,76.89999999999999,23.402148049555908
104,90.93,90.73,78.34,40.35,75.0875,23.8952245926531
105,86.07,91.03,77.46,40.55,73.7775,22.850104850233546
106,93.26,92.63,78.25,40.25,76.0975,24.883404610302026
107,83.19,90.08,77.46,40.8,72.8825,22.00180958466826
108,89.28,93.37,78.76,41.79,75.80000000000001,23.493665813008693
109,89.24,92.73,79.06,41.89,75.72999999999999,23.29345115406188
110,88.02,93.62,79.92,40.3,75.465,24.10847914462185
111,90.29,93.22,76.99,41.14,75.41,23.913314283051605
112,87.08,90.58,74.87,38.61,72.785,23.75771383501928
113,87.46,91.78,78.17,40.55,74.49000000000001,23.328316127259022
114,93.72,93.62,78.45,41.54,76.83250000000001,24.597999071740233
115,89.98,92.63,76.84,42.14,75.39750000000001,23.221760448625194
116,85.28,92.58,79.63,38.01,73.875,24.49060568190723
117,92.14,93.22,76.6,40.6,75.64000000000001,24.56304541379183
118,86.18,85.85,77.91,39.8,72.435,22.09001358080162
119,90.27,92.87,75.86,41.64,75.16,23.56577037428086
120,92.08,93.97,76.83,40.6,75.87,24.733705747420863
121,88.12,91.48,78.17,41.64,74.8525,22.85152274284291
122,93.32,94.47,77.39,40.9,76.52,24.993224415162334
123,91.21,94.07,79.0,41.49,76.4425,24.20072915568179
124,87.09,92.92,78.37,42.49,75.2175,22.622719222056396
125,89.76,91.43,75.64,42.19,74.755,22.836141676444967
126,91.87,94.12,76.88,41.69,76.14,24.207873374861606
127,95.16,92.48,76.38,39.9,75.97999999999999,25.443065852998142
128,89.18,93.87,78.98,41.54,75.89250000000001,23.730255476922288
129,88.79,92.43,79.12,43.43,75.94250000000001,22.390884119807925
