epoch,local_time_s,peak_vram_mb
0,79.57,4201.89
1,91.43,4176.56
2,90.78,4175.68
3,90.41,4178.06
4,91.05,4178.93
5,90.07,4175.68
6,90.88,4171.93
7,89.59,4172.43
8,91.21,4172.93
9,90.85,4173.56
10,90.23,4177.18
11,91.38,4173.31
12,90.41,4171.18
13,91.89,4175.81
14,91.13,4172.43
15,91.21,4173.68
16,91.33,4173.18
17,89.97,4173.18
18,90.66,4170.31
19,90.41,4167.31
20,90.71,4176.18
21,90.37,4171.43
22,90.82,4172.06
23,90.74,4176.31
24,90.3,4171.81
25,90.25,4171.68
26,90.04,4172.56
27,89.13,4174.56
28,90.55,4171.06
29,90.18,4169.68
30,90.76,4174.18
31,90.22,4175.56
32,91.99,4174.68
33,90.52,4172.81
34,91.32,4171.68
35,90.52,4169.93
36,90.05,4164.68
37,91.68,4174.68
38,90.66,4167.31
39,90.28,4172.81
40,90.76,4168.43
41,90.52,4173.93
42,90.94,4173.06
43,90.06,4172.93
44,91.69,4167.93
45,90.09,4168.81
46,91.36,4171.43
47,91.46,4173.93
48,90.99,4173.43
49,91.38,4171.43
50,89.63,4174.68
51,89.58,4168.81
52,90.36,4171.06
53,91.31,4173.81
54,91.02,4169.68
55,89.93,4168.06
56,91.95,4173.43
57,90.75,4173.68
58,90.93,4171.68
59,90.1,4166.81
60,90.0,4170.93
61,91.21,4171.68
62,88.55,4170.81
63,89.44,4179.31
64,89.3,4171.93
65,90.98,4175.93
66,90.34,4173.93
67,90.89,4173.68
68,91.15,4172.68
69,90.05,4176.31
70,90.73,4170.81
71,90.16,4173.18
72,88.07,4176.56
73,90.75,4170.56
74,89.7,4172.68
75,91.42,4175.81
76,90.71,4174.43
77,91.29,4176.68
78,90.45,4172.81
79,89.82,4174.81
80,90.92,4167.68
81,90.26,4174.68
82,91.31,4174.31
83,90.58,4170.81
84,90.31,4167.06
85,90.84,4169.06
86,90.19,4168.06
87,91.07,4169.06
88,90.7,4170.56
89,91.24,4170.06
90,91.33,4168.56
91,91.38,4171.06
92,90.98,4174.06
93,90.31,4168.43
94,91.66,4163.81
95,90.16,4166.18
96,89.89,4168.56
97,90.17,4169.06
98,90.22,4170.56
99,90.88,4174.18
100,89.8,4171.31
101,91.01,4171.93
102,89.98,4170.18
103,89.87,4163.43
104,90.51,4167.93
105,90.89,4164.31
106,91.18,4170.06
107,90.18,4166.68
108,90.27,4164.68
109,89.86,4168.06
110,90.43,4171.93
111,90.74,4169.56
112,89.32,4164.68
113,91.16,4169.06
114,90.11,4168.06
115,91.11,4171.31
116,90.28,4164.68
117,90.89,4165.06
118,91.08,4169.18
119,90.17,4169.43
120,91.2,4170.68
121,90.52,4165.93
122,90.7,4170.43
123,91.62,4170.56
124,90.16,4166.06
125,90.48,4173.68
126,89.35,4170.93
127,91.43,4171.68
128,90.59,4166.31
129,90.79,4168.31
130,90.44,4169.68
131,89.52,4166.93
132,90.25,4167.68
133,89.95,4168.68
134,90.94,4171.43
135,90.55,4168.81
136,90.27,4170.56
137,90.27,4169.56
138,91.77,4168.56
139,91.51,4171.81
140,90.89,4172.56
141,90.46,4166.56
142,92.51,4170.68
143,89.9,4174.31
144,91.63,4174.31
145,90.79,4172.93
146,91.27,4174.43
147,91.01,4176.81
148,89.71,4171.81
149,90.83,4169.31
150,90.1,4165.43
151,91.13,4172.56
152,89.79,4176.06
153,90.09,4176.31
154,89.95,4168.06
155,90.47,4177.18
156,90.92,4174.68
157,89.47,4171.18
158,91.26,4171.18
159,90.06,4170.81
160,90.78,4168.81
161,91.13,4175.31
162,90.53,4169.68
163,90.39,4166.43
164,90.16,4168.93
165,91.42,4172.43
166,91.59,4169.81
167,89.45,4168.81
168,90.18,4165.31
169,90.52,4170.81
170,91.32,4168.31
171,90.27,4166.31
172,90.9,4168.68
173,91.16,4171.56
174,89.47,4169.81
175,91.21,4171.31
176,90.63,4165.93
177,91.42,4171.06
178,88.94,4174.06
179,90.84,4175.56
180,91.68,4168.81
181,90.76,4170.43
182,91.31,4168.81
183,90.29,4171.06
184,90.4,4172.81
185,90.84,4173.06
186,89.81,4175.68
187,91.35,4174.31
188,89.96,4172.43
189,91.22,4172.43
190,90.81,4169.68
191,91.52,4166.06
192,91.07,4172.93
193,90.15,4170.68
194,91.13,4167.43
195,91.26,4169.06
196,91.33,4168.56
197,91.96,4173.68
198,88.73,4169.18
199,91.76,4165.43
