epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,23.34,17.19,17.25,10.2,16.995,5.370726207879154
1,50.67,40.11,10.95,10.7,28.1075,20.416719251632962
2,22.36,21.62,20.3,11.39,18.9175,5.09014980133198
3,55.09,63.98,10.74,13.03,35.71,27.76484948035315
4,56.3,60.04,16.4,14.88,36.905,24.60995665714726
5,58.26,66.62,20.46,15.02,40.09,26.126816364290033
6,59.79,76.28,23.15,15.07,43.5725,29.22475477513313
7,55.69,74.54,31.17,17.91,44.82750000000001,25.244838911481825
8,55.92,79.57,40.88,18.16,48.6325,25.81285903705102
9,51.55,76.03,45.37,20.3,48.3125,22.891771993447776
10,53.71,76.88,51.05,20.25,50.4725,23.24916109597649
11,48.48,74.84,55.5,23.68,50.625,21.140529006310764
12,50.27,78.72,59.93,23.63,53.1375,22.945714741537255
13,58.93,79.32,61.79,25.22,56.315,22.604888114446986
14,67.34,81.61,64.69,27.46,60.275,23.104205244933222
15,55.28,78.92,63.62,28.76,56.644999999999996,21.010019038544442
16,72.18,84.85,65.86,32.99,63.97,22.111166108250977
17,60.94,82.01,67.32,29.95,60.05499999999999,21.923324717448008
18,77.03,87.24,69.8,31.59,66.41499999999999,24.294016410081994
19,70.23,85.65,69.26,34.83,64.99249999999999,21.464324471084577
20,76.15,85.55,69.51,32.14,65.83749999999999,23.408966052917986
21,73.88,88.69,70.45,35.02,67.00999999999999,22.747988922100344
22,77.6,88.89,73.72,36.22,69.1075,22.849745986917814
23,71.32,85.5,73.74,35.87,66.6075,21.407169165180775
24,69.9,87.44,73.34,34.38,66.265,22.570649820803414
25,84.96,91.03,74.74,37.76,72.1225,23.87416787380592
26,73.16,87.99,73.36,32.59,66.775,23.824503492552928
27,79.14,93.02,73.74,39.3,71.3,22.826721183735522
28,80.21,88.24,73.62,38.41,70.12,21.969043371677945
29,81.53,89.99,75.47,39.1,71.5225,22.420228031846595
30,81.15,89.54,75.51,39.8,71.5,21.905358552950773
31,77.78,90.58,76.17,40.1,71.15750000000001,21.68551340565094
32,71.96,87.24,74.3,37.41,67.72749999999999,21.299454413982843
33,86.05,91.38,76.5,40.15,73.52,23.082589398361122
34,71.62,90.13,76.39,36.72,68.715,22.727566961731736
35,83.5,90.73,76.87,43.13,73.5575,21.059862891291576
36,83.24,94.12,73.71,38.31,72.345,24.17365025532277
37,85.6,90.33,73.98,42.54,73.11250000000001,21.508217615599857
38,82.54,90.83,78.08,41.29,73.185,21.90977027112182
39,84.51,92.33,75.42,43.63,73.9725,21.375993349237987
40,76.33,90.48,78.3,40.3,71.3525,21.62685271446896
41,90.31,93.72,75.84,39.35,74.805,24.87509128961473
42,83.44,91.83,77.42,45.62,74.5775,20.189182540822863
43,82.04,91.93,75.77,42.34,73.02000000000001,21.507931870203915
