epoch,local_time_s,peak_vram_mb
0,78.74,4201.89
1,90.26,4176.56
2,90.23,4175.68
3,89.79,4178.06
4,91.84,4178.93
5,90.13,4175.68
6,91.13,4171.93
7,89.77,4172.43
8,89.5,4172.93
9,90.75,4173.56
10,89.77,4177.18
11,90.82,4173.31
12,89.54,4171.18
13,89.47,4175.81
14,90.62,4172.43
15,89.24,4173.68
16,91.22,4173.18
17,89.52,4173.18
18,89.99,4170.31
19,90.35,4167.31
20,89.36,4176.18
21,90.3,4171.43
22,88.96,4172.06
23,90.59,4176.31
24,90.56,4171.81
25,89.56,4171.68
26,91.15,4172.56
27,88.75,4174.56
28,91.19,4171.06
29,89.87,4169.68
30,89.99,4174.18
31,90.81,4175.56
32,88.95,4174.68
33,90.08,4172.81
34,89.38,4171.68
35,89.4,4169.93
36,89.12,4164.68
37,88.05,4174.68
38,90.33,4167.31
39,89.29,4172.81
40,89.86,4168.43
41,89.44,4173.93
42,88.86,4173.06
43,89.28,4172.93
44,89.13,4167.93
45,89.56,4168.81
46,89.78,4171.43
47,88.61,4173.93
48,89.48,4173.43
49,87.9,4171.43
50,90.37,4174.68
51,88.98,4168.81
52,89.52,4171.06
53,90.27,4173.81
54,88.62,4169.68
55,90.37,4168.06
56,89.38,4173.43
57,89.23,4173.68
58,91.43,4171.68
59,89.52,4166.81
60,90.63,4170.93
61,89.34,4171.68
62,89.09,4170.81
63,90.22,4179.31
64,89.0,4171.93
65,89.83,4175.93
66,88.97,4173.93
67,89.75,4173.68
68,90.46,4172.68
69,88.34,4176.31
70,91.53,4170.81
71,90.55,4173.18
72,89.73,4176.56
73,91.29,4170.56
74,90.1,4172.68
75,91.55,4175.81
76,89.61,4174.43
77,90.99,4176.68
78,91.79,4172.81
79,89.94,4174.81
80,91.44,4167.68
81,90.02,4174.68
82,90.76,4174.31
83,91.0,4170.81
84,89.21,4167.06
85,91.06,4169.06
86,88.76,4168.06
87,89.92,4169.06
88,90.97,4170.56
89,89.57,4170.06
90,90.58,4168.56
91,89.16,4171.06
92,89.99,4174.06
93,89.74,4168.43
94,89.55,4163.81
95,91.14,4166.18
96,89.6,4168.56
97,89.69,4169.06
98,87.44,4170.56
99,89.62,4174.18
100,91.08,4171.31
101,89.82,4171.93
102,90.4,4170.18
103,90.56,4163.43
104,88.86,4167.93
105,89.95,4164.31
106,89.61,4170.06
107,89.35,4166.68
108,90.2,4164.68
109,89.77,4168.06
110,89.72,4171.93
111,90.05,4169.56
112,90.36,4164.68
113,90.8,4169.06
114,90.05,4168.06
115,91.23,4171.31
116,89.69,4164.68
117,89.71,4165.06
118,90.41,4169.18
119,89.16,4169.43
120,91.2,4170.68
121,89.11,4165.93
122,89.23,4170.43
123,90.12,4170.56
124,89.22,4166.06
125,90.7,4173.68
126,88.77,4170.93
127,89.49,4171.68
128,89.71,4166.31
129,89.35,4168.31
130,90.39,4169.68
131,88.55,4166.93
132,90.19,4167.68
133,90.16,4168.68
134,89.55,4171.43
135,90.99,4168.81
136,88.79,4170.56
137,90.62,4169.56
138,89.47,4168.56
139,89.86,4171.81
140,91.01,4172.56
141,89.0,4166.56
142,91.46,4170.68
143,89.88,4174.31
144,90.84,4174.31
145,89.52,4172.93
146,89.06,4174.43
147,89.87,4176.81
148,88.9,4171.81
149,89.73,4169.31
150,89.45,4165.43
151,90.18,4172.56
152,90.8,4176.06
153,89.57,4176.31
154,90.9,4168.06
155,89.71,4177.18
156,90.38,4174.68
157,90.16,4171.18
158,89.63,4171.18
159,90.82,4170.81
160,90.0,4168.81
161,90.56,4175.31
162,90.52,4169.68
163,89.61,4166.43
164,90.87,4168.93
165,89.74,4172.43
166,91.26,4169.81
167,90.13,4168.81
168,89.9,4165.31
169,91.88,4170.81
170,89.26,4168.31
171,90.47,4166.31
172,90.34,4168.68
173,90.07,4171.56
174,90.25,4169.81
175,88.96,4171.31
176,90.81,4165.93
177,90.48,4171.06
178,90.28,4174.06
179,90.06,4175.56
180,88.06,4168.81
181,90.2,4170.43
182,89.27,4168.81
183,89.23,4171.06
184,89.48,4172.81
185,88.58,4173.06
186,90.89,4175.68
187,89.49,4174.31
188,90.33,4172.43
189,90.73,4172.43
190,89.2,4169.68
191,90.73,4166.06
192,88.93,4172.93
193,89.26,4170.68
194,88.67,4167.43
195,89.59,4169.06
196,89.85,4168.56
197,89.38,4173.68
198,90.17,4169.18
199,88.48,4165.43
