epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,22.55,15.84,17.64,10.1,16.5325,5.141124228545089
1,40.42,16.49,19.28,12.84,22.2575,12.392138300820674
2,37.46,42.9,21.11,12.24,28.4275,14.219942276019736
3,51.52,61.53,16.08,15.02,36.0375,24.011195131993468
4,74.12,66.62,18.41,17.06,44.0525,30.54766480436762
5,56.51,81.51,27.52,21.54,46.77,27.741969408581408
6,55.88,75.29,35.83,20.6,46.9,23.81083366873155
7,58.4,75.78,46.81,23.13,51.03,22.083914206196933
8,70.45,82.66,60.34,31.24,61.17250000000001,21.942593853052106
9,77.0,81.91,64.21,36.82,64.985,20.204650454783916
10,82.95,85.45,68.37,35.22,67.9975,23.113273783694083
11,74.05,87.19,71.58,33.43,66.5625,23.126422658941436
12,79.25,91.08,69.93,33.68,68.485,24.764862877337585
13,69.42,90.83,71.19,34.43,66.4675,23.45884392576355
14,72.12,91.33,71.96,35.87,67.82,23.159966896925106
15,69.06,90.83,71.35,39.95,67.7975,20.977714166864477
16,71.05,91.78,73.23,39.75,68.9525,21.57604593833943
17,75.88,90.73,75.29,39.85,70.43750000000001,21.606698614087254
18,78.01,90.68,73.54,39.0,70.3075,22.09808343876606
19,78.54,91.08,75.11,41.84,71.64250000000001,21.02066027348649
20,81.26,89.84,76.32,43.73,72.78750000000001,20.160918257857208
21,84.98,92.38,72.95,41.49,72.95,22.44977653934815
22,80.0,92.48,75.07,43.73,72.82000000000001,20.731285536599028
23,85.59,92.13,75.52,44.03,74.3175,21.316136884216768
24,88.16,90.48,77.6,44.83,75.2675,21.051671944685694
25,86.22,90.53,76.0,42.54,73.8225,21.726902486702212
26,83.71,90.43,76.08,43.63,73.46249999999999,20.734324802124615
27,82.67,90.23,76.75,45.17,73.705,19.807112358948235
28,85.95,91.68,75.9,45.32,74.7125,20.65193029719014
29,87.88,92.33,76.48,45.02,75.4275,21.34231379989839
30,88.53,92.48,76.58,44.98,75.6425,21.53026455171108
31,86.33,91.33,77.57,46.97,75.55,19.88394327089071
32,85.4,90.38,77.7,47.01,75.1225,19.454001088036705
33,86.35,90.93,77.89,47.91,75.77000000000001,19.342836744731457
34,88.64,91.08,77.85,47.31,76.22,20.11235938421944
35,86.85,91.28,77.75,48.61,76.1225,19.186935442291627
36,88.19,92.18,77.8,47.51,76.42,20.20398475548821
37,89.87,92.28,77.22,47.86,76.8075,20.3973452112442
38,89.63,92.38,77.38,47.81,76.8,20.396909896681244
39,90.84,92.63,76.94,46.87,76.82,21.162336039924014
40,90.89,92.23,77.43,47.11,76.915,20.963882433048195
41,88.67,92.63,77.58,47.11,76.4975,20.601167240393604
42,88.92,92.18,78.33,49.6,77.25750000000001,19.363044483413933
43,87.95,92.23,78.02,48.76,76.74,19.579947224988462
44,87.59,92.23,78.04,48.76,76.655,19.512424247130344
45,85.83,92.68,76.89,47.91,75.82749999999999,19.702558843967452
46,86.44,92.18,76.89,48.16,75.91749999999999,19.55007651306426
47,85.52,91.68,76.51,47.41,75.28,19.596491182522108
48,85.66,91.43,76.14,47.21,75.11,19.639380506183656
49,87.5,91.18,76.09,47.41,75.545,19.826333498657792
50,87.55,91.63,76.47,47.81,75.86500000000001,19.769703251861586
51,85.92,91.43,76.89,48.01,75.5625,19.3214722955231
52,85.82,91.83,76.62,47.86,75.5325,19.479827814091855
53,87.55,91.83,76.36,48.11,75.9625,19.68051045239088
54,85.89,92.33,75.94,47.36,75.38,19.859478005895994
55,84.75,91.98,76.05,47.51,75.0725,19.494994870478937
56,83.05,92.28,75.6,47.31,74.56,19.405519833284547
57,86.81,91.58,75.3,47.01,75.175,19.981492269931525
58,89.5,91.93,75.22,47.36,76.0025,20.468454387178337
59,90.2,92.23,75.59,47.41,76.35749999999999,20.672831405816996
60,87.34,92.18,75.99,47.86,75.8425,19.850679879204815
61,85.93,92.63,76.89,48.36,75.9525,19.492857452581617
62,86.85,93.02,77.24,48.36,76.3675,19.76840808799063
63,88.59,92.73,77.15,49.05,76.88000000000001,19.688646474554826
64,86.81,92.28,77.23,48.51,76.2075,19.484483356421507
65,85.09,92.23,77.37,48.91,75.9,18.988996813944652
66,85.16,92.33,76.61,48.91,75.7525,19.013764093414014
67,84.98,92.43,76.84,48.86,75.7775,19.040942509935444
68,85.26,92.28,76.85,50.0,76.0975,18.506489627515354
69,84.69,92.23,76.73,49.65,75.825,18.562164924023993
70,85.08,92.83,76.41,49.7,76.005,18.775456496891536
71,88.21,93.02,75.94,49.35,76.63,19.55678058031706
72,87.79,93.32,75.5,49.5,76.5275,19.496781572009947
73,87.73,93.37,75.61,49.05,76.44000000000001,19.706090429103387
74,87.71,93.07,75.56,48.16,76.125,20.030857029426706
75,88.03,92.53,75.75,47.91,76.055,20.058749545605615
76,88.05,92.58,75.65,48.21,76.12249999999999,19.936946230553964
77,88.28,92.13,75.85,48.26,76.13,19.836311821169446
78,87.57,92.23,75.8,47.86,75.86500000000001,19.908997128601598
79,89.07,92.13,75.8,48.71,76.4275,19.79103227053438
80,88.64,92.08,75.97,49.5,76.5475,19.31655486018836
81,88.75,92.38,75.84,49.4,76.5925,19.468335616242765
82,88.28,92.92,75.31,49.7,76.5525,19.390976208879565
83,87.38,92.38,75.15,49.8,76.1775,19.016179733760055
84,88.13,92.38,74.52,49.95,76.24499999999999,19.11364346917318
85,88.3,92.53,74.66,49.8,76.32249999999999,19.255739187750407
86,88.27,92.28,74.7,50.35,76.4,18.925853569478267
87,87.61,92.68,74.74,50.35,76.34500000000001,18.903690115953555
88,87.16,92.48,75.07,50.8,76.3775,18.54248163003
89,86.44,92.43,75.06,50.95,76.22,18.32239977004468
90,87.29,92.43,74.89,50.95,76.39,18.489052616796425
91,86.81,91.93,75.14,50.45,76.0825,18.47643431509446
92,86.74,91.53,75.54,49.75,75.89,18.670424026607787
93,86.63,91.63,75.62,50.4,76.07,18.373700407557173
94,85.76,91.58,75.8,49.9,75.75999999999999,18.430170916190658
95,85.53,91.63,75.88,50.0,75.75999999999999,18.356668179892193
96,83.54,91.93,75.56,49.6,75.15750000000001,18.302375756533177
97,82.81,92.38,75.08,49.6,74.9675,18.33232732088318
98,82.09,92.53,74.76,49.25,74.6575,18.441076206845054
99,83.76,92.23,74.49,50.0,75.12,18.246579588149302
100,84.99,92.08,74.21,49.85,75.2825,18.478400679351733
101,85.88,92.13,74.31,50.25,75.6425,18.4679783679752
