epoch,local_time_s,peak_vram_mb
0,79.24,1202.11
1,89.19,1180.37
2,88.72,1179.74
3,87.36,1178.99
4,88.98,1180.62
5,87.69,1178.74
6,89.62,1178.62
7,87.12,1178.24
8,88.31,1182.62
9,88.83,1180.99
10,87.99,1181.24
11,89.56,1179.87
12,87.35,1183.37
13,88.95,1180.99
14,89.28,1182.74
15,88.83,1184.99
16,88.25,1183.62
17,86.64,1178.74
18,89.52,1181.74
19,88.9,1178.37
20,88.47,1181.12
21,88.94,1180.87
22,86.77,1182.49
23,89.34,1180.24
24,87.97,1177.37
25,88.76,1181.74
26,88.03,1180.62
27,88.27,1180.74
28,89.87,1179.74
29,87.92,1182.74
30,88.54,1183.74
31,88.39,1179.62
32,88.7,1181.99
33,89.4,1181.99
34,89.16,1178.12
35,89.38,1179.74
36,87.29,1177.87
37,88.93,1181.12
38,89.02,1179.62
39,88.28,1178.12
40,89.27,1184.87
41,87.85,1181.62
42,88.96,1182.24
43,88.56,1179.24
44,88.71,1177.37
45,88.96,1181.12
46,87.64,1181.24
47,89.93,1181.37
48,88.86,1179.37
49,88.6,1182.87
50,89.15,1180.37
51,88.13,1181.24
52,89.59,1181.49
53,88.62,1182.87
54,89.21,1181.87
55,87.66,1182.74
56,88.1,1183.24
57,88.69,1178.24
58,87.84,1184.62
59,89.12,1183.24
60,88.57,1184.37
61,88.5,1181.62
62,88.66,1178.99
63,88.19,1181.74
64,88.89,1183.37
65,87.29,1179.49
66,89.87,1181.74
67,89.85,1176.74
68,88.86,1178.49
69,89.46,1179.62
70,87.92,1180.74
71,90.14,1179.74
72,89.17,1185.12
73,88.29,1181.62
74,89.44,1184.12
75,88.19,1179.74
76,89.18,1181.24
77,88.13,1185.24
78,89.09,1183.74
79,88.56,1183.62
80,87.81,1181.62
81,90.13,1182.37
82,89.28,1181.12
83,89.88,1182.37
84,89.93,1181.99
85,88.2,1181.24
86,90.85,1181.12
87,89.37,1179.24
88,89.68,1181.12
89,89.4,1184.24
90,88.75,1181.74
91,89.8,1180.99
92,88.8,1178.37
93,89.24,1182.62
94,89.75,1180.24
95,88.34,1182.24
96,90.79,1179.74
97,89.84,1177.49
98,89.28,1181.12
99,89.54,1180.49
100,88.34,1181.87
101,90.04,1180.49
102,89.06,1181.62
103,88.92,1181.37
104,89.72,1183.24
105,88.45,1182.74
106,90.33,1179.37
107,89.34,1178.87
108,89.74,1182.12
109,89.62,1184.24
110,88.71,1184.12
111,89.84,1178.62
112,89.33,1177.12
113,89.84,1181.74
114,89.57,1180.37
115,88.53,1179.24
116,90.59,1178.99
117,89.02,1179.49
118,89.87,1181.49
119,88.8,1180.49
120,88.48,1182.62
121,89.89,1181.87
122,88.16,1184.12
123,88.83,1182.37
124,88.06,1177.99
125,87.5,1179.49
126,89.08,1182.24
127,88.01,1180.74
128,89.56,1182.24
129,87.74,1180.49
130,87.75,1180.49
131,88.43,1180.12
132,88.26,1179.49
133,88.62,1182.87
134,87.1,1181.87
135,88.88,1181.99
136,89.0,1177.24
137,88.24,1179.99
138,89.68,1179.24
139,87.15,1180.62
140,88.88,1177.87
141,88.38,1181.87
142,88.49,1179.24
143,89.11,1178.49
144,88.23,1179.49
145,90.04,1177.74
146,89.38,1181.24
147,88.41,1179.49
148,89.0,1178.62
149,87.47,1182.24
150,90.3,1178.87
151,88.98,1181.87
152,88.48,1178.99
153,88.06,1183.37
154,87.75,1178.74
155,90.03,1178.12
156,88.32,1176.99
157,89.0,1178.87
158,88.36,1182.49
159,88.05,1181.37
160,89.62,1180.99
161,87.98,1181.37
162,89.21,1179.99
163,88.39,1181.87
164,88.22,1179.99
165,90.05,1182.87
166,88.04,1182.12
167,89.83,1180.87
168,87.78,1182.49
169,88.62,1181.74
170,88.83,1179.62
171,88.58,1182.74
172,89.6,1181.62
173,87.37,1181.24
174,89.48,1180.49
175,88.16,1179.62
176,88.02,1177.12
177,88.77,1175.62
178,86.84,1178.12
179,88.93,1182.87
180,87.48,1181.49
181,88.87,1184.87
182,87.79,1184.62
183,87.68,1176.74
184,88.67,1178.99
185,88.04,1178.74
186,88.52,1176.62
187,88.04,1180.37
188,88.25,1182.74
189,88.67,1181.37
190,87.48,1181.37
191,89.7,1176.87
192,86.72,1177.12
193,87.47,1180.62
194,87.61,1182.12
195,87.64,1181.12
196,87.97,1180.87
197,86.5,1178.12
198,89.37,1176.62
199,88.92,1181.99
