epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.56,27.65,14.67,10.1,15.995000000000001,8.000310410644492
1,23.31,26.11,9.0,12.19,17.6525,8.331491963228034
2,40.97,17.04,19.97,12.74,22.679999999999996,12.549653381667559
3,67.21,43.15,25.53,14.18,37.5175,23.106338776765707
4,68.39,55.06,27.47,14.88,41.45,24.57913071421906
5,75.31,62.58,34.04,16.52,47.1125,26.715375566640773
6,80.84,67.56,36.78,17.26,50.61,28.894329316782326
7,81.13,71.9,41.95,17.71,53.17250000000001,28.959019752056523
8,83.43,78.72,44.76,19.85,56.69,29.99921665643955
9,82.57,79.07,50.21,19.8,57.9125,29.254761863099592
10,84.65,79.42,53.13,22.24,59.86,28.62222330055209
11,84.88,82.31,55.25,23.43,61.4675,28.682536353444522
12,85.47,82.66,59.52,26.02,63.417500000000004,27.509695715026247
13,86.67,86.15,60.56,25.62,64.75,28.793282781463688
14,87.63,85.75,61.38,31.64,66.6,26.194359443717396
15,86.68,85.9,64.81,30.25,66.91,26.45649636667713
16,88.63,87.79,64.98,34.93,69.08250000000001,25.26723223861292
17,87.66,87.79,67.14,33.28,68.9675,25.694574492163387
18,90.4,89.14,69.73,36.32,71.39750000000001,25.226328012614125
19,87.97,89.39,70.71,40.8,72.2175,22.60064803643176
20,89.65,88.14,71.76,34.68,71.0575,25.568919120682438
21,91.62,91.43,72.92,42.09,74.51500000000001,23.32825825760109
22,91.93,91.23,73.63,43.78,75.14250000000001,22.557495982488838
23,91.61,91.03,75.86,43.28,75.445,22.649200868904845
24,90.6,90.88,74.96,43.23,74.9175,22.396738415819982
25,92.51,92.38,76.71,46.22,76.95499999999998,21.791350730660703
26,90.47,91.08,77.04,42.64,75.3075,22.721797720837728
27,93.42,92.03,77.15,49.6,78.05000000000001,20.34608725693141
28,94.15,92.97,77.99,48.31,78.355,21.33788102569387
29,94.73,92.78,78.14,50.35,79.0,20.48481876902991
30,93.3,92.08,77.54,50.65,78.3925,19.83224877987029
31,92.31,92.43,79.26,48.56,78.14,20.665783314454842
32,93.15,92.97,78.75,49.45,78.58,20.55839487897827
33,92.85,92.48,79.9,50.55,78.94500000000001,19.863981641822637
34,92.85,92.87,79.33,52.79,79.46000000000001,18.889379732184608
35,94.13,92.73,79.83,50.05,79.185,20.462032320047456
36,94.51,93.52,79.4,52.94,80.0925,19.372660073756865
37,94.34,93.57,80.45,53.53,80.4725,19.05912620417491
38,94.74,92.53,78.97,52.94,79.795,19.212885433132282
39,93.34,92.97,80.74,53.33,80.095,18.779216348577133
40,93.9,93.42,79.92,54.33,80.3925,18.544050932846364
41,94.64,93.72,80.22,54.83,80.8525,18.558360874100206
42,93.68,93.07,81.71,55.12,80.895,18.043481740876214
43,94.42,93.22,80.65,55.32,80.90249999999999,18.156465101996037
44,95.56,94.32,79.66,55.42,81.24,18.666526189947607
45,95.41,93.32,81.3,56.97,81.75,17.65135877678165
46,94.4,92.97,80.32,54.03,80.43,18.702803711386874
47,94.55,93.87,81.39,57.61,81.855,17.258423064308822
48,95.29,93.62,80.48,57.16,81.63750000000002,17.6111600507557
49,93.98,93.82,82.0,55.82,81.405,17.955585017852616
50,94.85,94.27,81.84,57.51,82.1175,17.468122156278465
51,95.08,93.97,80.22,56.92,81.5475,17.75502816105905
52,94.94,94.17,82.26,58.21,82.395,17.13631718505078
53,95.24,94.02,81.65,57.76,82.16749999999999,17.391241809217266
54,95.76,93.62,81.38,59.25,82.5025,16.746132638114787
55,94.33,94.97,82.14,56.42,81.965,18.024066318860086
56,95.46,94.57,81.06,58.86,82.4875,17.074045361307903
57,95.52,93.82,82.94,60.25,83.1325,16.241086529745065
58,95.87,94.27,80.74,59.1,82.495,17.009284719430934
59,93.6,93.62,83.21,58.66,82.27250000000001,16.487440421929254
60,95.77,94.67,81.25,59.7,82.8475,16.784132139216094
61,95.57,94.77,82.34,57.16,82.45999999999998,17.921240656457538
62,95.87,94.47,80.29,60.35,82.745,16.505598040260967
63,94.95,94.42,81.28,59.2,82.46249999999999,16.747752834335714
64,94.59,94.37,82.81,59.55,82.83,16.466410254413887
65,95.79,94.67,82.13,59.5,83.02250000000001,16.859990856067114
66,95.85,94.87,81.06,60.2,82.99499999999999,16.62952093918122
67,95.02,94.92,83.32,60.55,83.4525,16.22603540609967
68,96.17,94.97,81.36,60.8,83.325,16.450297869643578
69,95.98,95.62,81.85,59.75,83.30000000000001,17.022238395698732
70,95.92,94.52,81.98,61.94,83.59,15.735399581834585
71,95.99,95.22,81.78,59.3,83.0725,17.138901899869005
72,94.45,94.72,82.66,61.69,83.38000000000001,15.514670476681097
73,95.71,94.97,81.39,59.7,82.9425,16.83541777523405
74,95.43,94.97,83.2,62.49,84.02250000000001,15.430531153096018
75,94.9,95.47,82.19,58.51,82.7675,17.294612600460297
76,94.43,94.62,83.04,61.64,83.4325,15.50453992652905
77,95.76,95.27,82.53,61.79,83.8375,15.923252128046373
78,95.54,95.02,82.08,61.89,83.6325,15.775616997970845
79,95.75,95.42,82.04,59.5,83.17750000000001,17.02805993059691
80,96.01,95.32,81.8,62.14,83.8175,15.863468252560661
81,96.22,95.47,82.02,62.14,83.96249999999999,15.944316385471032
82,95.59,95.32,82.47,60.55,83.4825,16.46858296879243
83,95.67,94.97,81.02,62.44,83.52499999999999,15.592105908653478
84,95.99,95.47,82.51,62.29,84.065,15.799243652782875
85,96.14,95.37,82.89,60.35,83.6875,16.701501678990823
86,94.11,94.27,81.76,61.89,83.0075,15.249201891683816
87,97.03,95.47,82.84,61.99,84.33250000000001,16.19346859076214
88,96.05,94.92,82.68,63.28,84.23249999999999,15.223813308979674
89,95.65,95.17,83.37,61.29,83.87,16.088969306121925
90,96.97,95.47,82.43,62.39,84.315,16.00876738956917
91,95.37,95.12,82.15,61.44,83.52,15.962307686129432
92,95.82,95.67,82.34,63.68,84.37750000000001,15.176618804375805
93,96.63,95.42,81.12,61.69,83.715,16.285360501587512
94,95.17,95.57,82.43,62.24,83.8525,15.647249758344115
95,96.14,95.07,82.8,62.94,84.2375,15.434403940547883
96,95.98,95.12,82.61,61.29,83.75000000000001,16.172002555857663
97,96.32,95.67,83.0,63.88,84.7175,15.184712432794589
98,95.08,94.92,83.33,59.1,83.1075,16.92419840543908
99,96.97,95.76,81.79,62.69,84.30250000000001,15.970312823068518
100,95.73,94.87,82.33,61.89,83.705,15.780184832039623
101,94.21,95.47,81.8,61.74,83.305,15.64417356930901
102,97.17,95.86,81.95,60.4,83.845,17.079958040541747
103,95.59,95.22,82.89,64.38,84.52,14.666417422124603
104,96.15,95.07,83.01,63.93,84.54,14.975379794849944
105,95.52,95.52,82.28,61.29,83.6525,16.16209840955066
106,96.29,95.62,82.08,62.49,84.12,15.836428469407702
107,95.78,95.07,82.23,62.99,84.0175,15.33911204513916
108,96.88,95.71,82.05,61.59,84.0575,16.42169170132399
109,95.68,95.12,83.43,62.64,84.2175,15.453824499672134
110,96.1,95.71,82.18,61.79,83.94500000000001,16.12574029308422
111,97.05,95.52,81.5,63.13,84.3,15.752881217944436
112,95.07,95.47,81.65,61.54,83.4325,15.945654319176326
113,95.7,95.71,83.77,62.99,84.5425,15.430595959543062
