epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,10.32,15.79,18.37,10.05,13.6325,4.119290998865379
1,66.53,36.67,19.99,13.08,34.0675,23.799426288603403
2,56.86,39.71,23.33,12.54,33.11,19.37692614081673
3,62.07,48.68,29.26,13.08,38.2725,21.529238065167718
4,67.14,54.36,34.64,14.98,42.779999999999994,22.85173662255599
5,72.41,59.24,43.39,16.12,47.790000000000006,24.218421363361674
6,75.77,64.67,47.82,16.87,51.2825,25.65847407128231
7,79.39,71.25,53.05,17.86,55.3875,27.334447589077048
8,83.83,76.28,57.54,18.36,59.0025,29.26242456917517
9,84.4,75.88,60.0,20.1,60.095,28.516125847199746
10,88.54,78.92,63.82,22.24,63.38,29.252979335445474
11,87.68,78.43,63.54,23.73,63.345,28.22018013171898
12,88.31,81.27,68.74,26.12,66.11,27.86145844471654
13,89.28,82.81,69.18,25.22,66.6225,28.84501848962255
14,90.17,84.95,72.19,29.25,69.14,27.644960963377514
15,90.25,82.01,73.15,28.36,68.4425,27.618903399664514
16,91.6,84.65,73.16,29.55,69.74,27.851392544479115
17,91.33,85.25,75.0,29.4,70.24499999999999,28.051448566280257
18,93.39,84.9,76.11,30.95,71.3375,27.83391860662095
19,92.84,85.3,76.74,31.69,71.6425,27.435063179563972
20,93.94,86.75,78.22,31.79,72.675,28.003786053555924
21,94.76,88.04,79.67,34.08,74.1375,27.40911572816606
22,94.74,87.44,78.45,33.38,73.5025,27.565546581436276
23,95.13,87.29,79.98,33.43,73.95750000000001,27.717497933014563
24,93.41,86.6,80.22,32.59,73.20500000000001,27.60710355445979
25,95.88,88.39,80.78,34.88,74.98249999999999,27.436521129083886
26,95.38,87.34,80.64,34.68,74.51,27.22848753297423
27,95.41,87.64,80.72,34.68,74.6125,27.289545464640238
28,95.83,89.34,81.85,36.42,75.86,26.906659646513784
29,96.33,88.94,81.45,35.72,75.60999999999999,27.278349168036787
30,96.72,89.29,80.81,36.77,75.8975,26.88264294422456
31,95.13,88.24,82.27,36.32,75.49,26.636750302292253
32,95.74,88.19,81.89,36.22,75.50999999999999,26.798282283260868
33,96.49,90.23,82.3,37.36,76.595,26.79338537773829
34,95.9,88.34,82.52,36.57,75.8325,26.742031055998723
35,96.46,88.94,81.83,36.32,75.88749999999999,27.046231253170927
36,96.74,89.19,81.53,37.41,76.2175,26.606411977817178
37,97.06,90.23,83.72,38.46,77.36749999999999,26.504001427457453
38,96.71,88.29,81.99,37.66,76.1625,26.36714037711839
39,96.57,89.19,83.21,36.32,76.32249999999999,27.222365039307903
40,97.02,90.23,82.55,39.0,77.2,26.143678649595838
41,96.73,90.28,81.83,38.96,76.94999999999999,26.051179115988845
42,97.08,89.54,83.21,37.16,76.7475,26.993781228275523
43,97.26,89.54,83.35,39.85,77.5,25.736900875332033
44,97.37,90.88,82.44,38.66,77.3375,26.499590405639605
45,96.98,88.94,83.64,39.7,77.315,25.66935072545986
46,97.1,89.79,82.79,39.15,77.2075,26.03567088310446
47,97.42,90.18,82.34,40.4,77.58500000000001,25.543397711868067
48,97.58,89.89,82.46,41.39,77.83,25.065358565159208
49,96.9,89.74,83.57,39.45,77.41499999999999,25.889483707997474
50,97.41,91.43,83.59,41.29,78.43,25.398461895687046
51,97.45,90.68,82.65,40.15,77.73249999999999,25.774946976990407
52,97.8,90.63,83.51,40.75,78.1725,25.621348357700978
53,97.16,90.83,83.17,40.15,77.8275,25.76138502358391
54,97.47,90.48,83.22,41.54,78.1775,25.10833377586016
55,97.47,91.18,83.62,40.7,78.24249999999999,25.660816270467052
56,97.43,90.43,83.39,41.04,78.0725,25.344969750754622
57,97.49,89.94,83.63,41.64,78.175,25.006983691227802
58,97.66,90.78,83.05,41.04,78.13250000000001,25.438277424647552
59,97.25,90.73,84.22,41.89,78.52250000000001,24.99429184834009
60,97.72,91.48,83.79,41.84,78.70750000000001,25.229983980705708
61,97.79,91.28,83.21,42.34,78.655,24.933686049198585
62,97.87,91.23,83.35,43.88,79.08250000000001,24.207157860159185
63,97.28,90.73,82.91,42.94,78.46499999999999,24.40094328777749
64,97.04,90.73,83.41,41.69,78.2175,24.980455526938123
65,98.05,92.58,83.37,42.34,79.08500000000001,25.23451670496848
66,97.96,92.23,83.04,42.74,78.9925,24.937411486893875
67,97.19,91.53,84.25,42.54,78.87750000000001,24.79725169583651
68,98.09,93.22,82.68,44.48,79.6175,24.291864721891294
69,97.9,92.08,82.56,42.49,78.75750000000001,24.991431031455562
70,97.82,91.48,83.27,44.83,79.35,23.77165398817115
71,97.37,91.98,83.97,42.79,79.02750000000002,24.777673249654956
72,97.67,91.73,82.84,43.48,78.93,24.40640762859896
73,97.74,92.28,83.09,43.18,79.0725,24.680123412711428
74,97.72,90.88,83.53,44.23,79.09,23.951438370168923
75,97.28,91.58,83.79,42.34,78.7475,24.893503001117917
76,97.73,92.73,84.23,44.28,79.7425,24.289585388255052
77,97.69,92.28,83.66,44.13,79.44,24.23862344826262
78,98.02,92.48,83.66,44.28,79.60999999999999,24.28426376620602
79,97.96,92.58,83.44,44.28,79.565,24.274905423777312
80,97.83,93.02,83.27,44.93,79.7625,23.998621314567217
81,97.76,91.88,82.78,44.88,79.32499999999999,23.775844184101363
82,97.34,90.53,83.26,44.28,78.85249999999999,23.754546757761275
83,97.69,90.93,83.3,45.42,79.33500000000001,23.361638783841055
84,97.91,93.17,83.78,44.08,79.735,24.48449100961668
85,97.7,92.87,84.15,46.32,80.26,23.311094640392444
86,97.28,91.78,83.41,43.68,79.03750000000001,24.251678120630473
87,98.01,92.92,83.62,45.72,80.0675,23.660734526496288
88,97.48,92.23,82.52,45.12,79.3375,23.63847481684609
89,97.74,92.18,84.18,45.12,79.805,23.783710812234496
90,98.09,93.42,84.16,45.82,80.37249999999999,23.751262948876352
91,97.39,92.78,83.86,45.52,79.8875,23.589968736732143
92,97.75,92.33,83.22,45.67,79.74249999999999,23.49286044028412
93,97.84,93.07,83.37,45.92,80.05,23.5363817666749
94,97.85,92.92,82.43,45.62,79.705,23.61560289300275
95,97.57,92.33,83.83,45.72,79.86249999999998,23.45524443843352
96,98.27,93.17,82.61,44.73,79.69500000000001,24.205059388483228
97,97.76,93.07,84.27,45.97,80.26749999999998,23.538833693848698
98,97.37,92.38,83.49,44.48,79.43,23.996751168995083
99,98.0,93.52,83.62,46.72,80.465,23.285104680889884
100,97.6,92.28,82.33,46.57,79.695,22.97230288847855
101,97.04,92.63,84.16,45.22,79.76250000000002,23.640409436668676
102,98.05,93.02,83.6,48.31,80.74499999999999,22.437460492072923
103,97.82,92.87,83.22,47.26,80.29249999999999,22.840921427706604
104,97.89,92.78,83.7,46.82,80.2975,23.076892302329906
105,97.47,92.78,83.69,46.92,80.215,22.921946543287575
106,97.8,93.47,83.75,46.17,80.2975,23.49793093728325
107,97.57,93.32,83.22,47.86,80.4925,22.57214415306323
108,97.77,93.02,82.92,47.31,80.255,22.819550828182397
109,98.07,93.12,82.67,46.57,80.1075,23.261605526417704
110,97.84,92.92,82.81,47.71,80.32,22.62242692550912
111,96.77,92.87,83.71,46.27,79.90499999999999,23.081816075286046
112,97.91,93.62,83.52,46.07,80.28,23.590917743911533
113,97.4,92.83,83.56,47.51,80.325,22.62167176256727
114,98.12,93.52,82.6,47.96,80.55,22.680655487294306
115,97.84,93.07,83.43,48.21,80.6375,22.433857410916502
