epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,12.31,27.9,14.88,10.4,16.372500000000002,7.901170271970264
1,53.63,34.28,18.38,12.49,29.694999999999997,18.42052930835594
2,69.86,28.95,20.49,14.08,33.345,25.093508456703834
3,70.12,41.95,24.28,14.13,37.620000000000005,24.527091144283702
4,70.54,53.41,26.12,15.37,41.36,25.195320994184616
5,73.67,59.49,32.46,16.22,45.46,25.92696537069723
6,79.28,65.22,34.84,17.66,49.25,28.061943387204433
7,81.14,70.45,40.45,17.76,52.45,28.835812224847533
8,83.66,77.68,42.91,19.55,55.95,30.194031419029383
9,82.4,78.38,48.94,19.55,57.3175,29.265037587537797
10,84.88,79.32,50.96,22.29,59.3625,28.835261255391227
11,85.53,81.76,54.06,23.38,61.182500000000005,28.844371345781372
12,85.09,82.61,58.58,25.27,62.887499999999996,27.78224178019717
13,86.95,85.55,59.25,26.17,64.48,28.541518296451343
14,88.55,85.9,59.83,31.04,66.33,26.859805161864696
15,87.4,85.9,63.79,29.85,66.735,26.854643918696823
16,88.64,87.69,64.16,34.48,68.74249999999999,25.494028549185135
17,88.86,88.14,66.55,33.08,69.1575,26.184657562524407
18,90.11,89.14,68.89,34.98,70.78,25.793736965912224
19,88.14,89.59,69.52,39.5,71.6875,23.323217866895355
20,90.2,88.79,71.12,33.88,70.9975,26.223608161349578
21,92.07,91.23,72.33,41.99,74.405,23.453291879819343
22,92.4,91.03,72.88,42.59,74.725,23.19713272511641
23,92.16,91.03,75.07,43.23,75.3725,22.80503800333017
24,91.6,91.18,74.3,43.13,75.0525,22.756158690194912
25,92.76,92.08,76.53,46.02,76.8475,21.875955407707337
26,91.27,91.18,76.4,43.03,75.47,22.72782875683465
27,93.71,91.93,76.53,48.71,77.71999999999998,20.821466486937627
28,94.08,92.58,77.86,47.51,78.0075,21.60865779419598
29,94.71,92.78,77.68,49.7,78.7175,20.789465882188185
30,93.84,92.38,77.1,50.45,78.4425,20.138845340949086
31,92.97,92.28,78.95,48.71,78.22749999999999,20.709248135394326
32,93.2,92.58,78.71,50.35,78.71000000000001,20.05514564062467
33,92.95,92.58,79.29,50.7,78.88,19.83209015711657
34,93.36,93.02,79.18,52.09,79.4125,19.375842992413688
35,94.26,92.87,79.68,50.45,79.315,20.333982230083052
36,94.53,93.17,79.13,52.84,79.91749999999999,19.34739495815048
37,94.19,93.82,80.07,52.79,80.2175,19.42977333029561
38,94.94,92.58,79.09,53.08,79.9225,19.20894301273932
39,93.58,93.02,80.54,53.08,80.05499999999999,18.964024713476125
40,93.89,93.57,79.75,52.64,79.96249999999999,19.370970333637565
41,94.39,93.37,80.23,54.73,80.68,18.462621698989558
42,94.22,93.17,81.68,54.48,80.8875,18.498643869213765
43,94.57,93.02,80.51,54.78,80.72,18.403262391941993
44,95.38,94.52,79.52,55.57,81.24749999999999,18.602912630374128
45,95.57,93.47,81.18,56.37,81.64750000000001,18.007202956965116
46,94.45,93.27,80.5,53.58,80.45,18.994313184038358
47,94.92,93.92,81.26,57.56,81.915,17.386250314544537
48,95.69,93.62,80.6,57.66,81.89249999999998,17.481322175396233
49,94.47,93.82,81.71,56.07,81.5175,17.95114736351598
50,94.61,94.22,81.83,57.56,82.05499999999999,17.374990647479496
51,95.21,94.27,80.34,56.57,81.5975,18.017116630212133
52,94.51,94.17,82.01,58.56,82.3125,16.868630402811803
53,95.48,94.47,81.78,57.91,82.41,17.482518887925355
54,95.71,93.67,81.4,58.71,82.37249999999999,16.99394083195537
55,93.98,95.07,81.83,57.31,82.0475,17.549561010653985
56,95.01,94.27,81.24,59.05,82.3925,16.797587872469467
57,95.52,93.82,83.29,60.2,83.2075,16.26422121303896
58,95.6,94.27,81.08,57.81,82.19,17.524944127347926
59,93.63,93.97,82.71,59.5,82.4525,16.170682061475738
60,95.07,95.07,81.69,58.91,82.685,17.058889178372663
61,95.48,94.82,81.93,57.86,82.52250000000001,17.58517628572429
62,95.56,94.62,80.44,60.75,82.8425,16.271599747207816
63,95.08,94.42,80.81,59.05,82.34,16.8621766092044
64,94.52,94.67,82.7,60.25,83.035,16.19204434282466
65,95.78,94.87,81.94,59.6,83.04750000000001,16.86119682387147
66,95.52,94.82,80.56,60.4,82.82499999999999,16.462623322747397
67,94.64,94.87,83.05,59.2,82.94,16.761211173420612
68,96.04,94.77,81.59,61.29,83.4225,16.136631980269822
69,95.98,95.42,81.51,60.65,83.39,16.571773190176927
70,95.52,94.47,82.03,61.54,83.39,15.802693863178305
71,95.45,94.82,81.9,59.5,82.91749999999999,16.814157477157952
72,94.83,94.87,82.61,61.79,83.525,15.596575478824406
73,95.55,94.97,81.54,60.15,83.0525,16.583390033403905
74,95.8,94.97,83.01,62.34,84.03,15.596078566956072
75,95.12,95.02,82.01,60.45,83.14999999999999,16.33776198463751
76,94.29,94.92,83.18,61.24,83.4075,15.731245712487828
77,95.65,95.12,82.59,61.59,83.73750000000001,15.950940149930558
78,95.08,94.82,82.56,61.89,83.58749999999999,15.600041399517714
79,95.56,95.27,81.69,59.45,82.99249999999999,16.976698491363585
80,95.93,95.22,82.29,63.13,84.1425,15.347237264949893
81,96.09,95.32,81.99,63.08,84.11999999999999,15.448186517085643
82,95.31,94.87,82.02,60.9,83.27499999999999,16.14002168523946
83,95.3,94.72,80.93,62.24,83.2975,15.530152124174442
84,95.71,95.22,82.56,62.09,83.89500000000001,15.759548428386728
85,96.03,95.22,83.21,61.64,84.02499999999999,16.033303880776828
86,94.04,94.62,81.25,60.9,82.7025,15.790550708150326
87,96.96,95.12,83.07,62.14,84.32249999999999,16.02003407195711
88,96.0,95.02,83.02,63.83,84.46749999999999,14.970587552486597
89,95.59,95.02,83.29,60.8,83.67500000000001,16.26950214358141
90,97.1,95.52,82.26,62.09,84.2425,16.19836282879641
91,94.93,95.22,82.49,62.04,83.67,15.593154480946655
92,95.54,95.71,82.74,64.58,84.6425,14.689775072024306
93,96.63,95.17,80.96,61.79,83.6375,16.189357358050586
94,95.18,95.32,82.15,61.99,83.66,15.7113016647253
95,95.95,95.02,83.11,63.68,84.44,15.024014110749498
96,95.98,95.22,82.53,61.54,83.81750000000001,16.081957540465446
97,96.02,95.52,82.91,63.03,84.37,15.465792360345889
98,95.34,94.77,83.28,59.45,83.21,16.786035863181038
99,96.8,95.81,81.88,62.44,84.2325,16.04605740776635
100,95.88,94.97,82.51,61.89,83.8125,15.836738668888447
101,94.29,95.37,82.12,62.64,83.605,15.213162064475618
102,97.19,95.76,82.17,61.14,84.065,16.715115913447924
103,95.78,95.37,82.68,63.73,84.39000000000001,15.056030906804978
104,96.12,95.27,82.78,63.78,84.48749999999998,15.091868395485916
105,95.92,95.52,82.37,63.08,84.2225,15.436991017250307
106,96.23,95.62,82.36,62.29,84.12500000000001,15.901242089849463
107,95.6,94.97,82.13,64.33,84.2575,14.663349719624094
108,96.93,95.81,82.04,61.59,84.0925,16.458801849871495
109,95.32,95.12,83.92,63.33,84.4225,15.037043980339577
110,96.33,95.57,81.95,61.94,83.94749999999999,16.090668879819756
111,96.96,95.67,81.76,64.58,84.74249999999999,15.100764605365738
112,94.6,95.37,81.74,62.04,83.4375,15.57477099885153
113,95.88,95.81,83.86,63.78,84.83250000000001,15.129510622180304
114,96.38,95.47,82.69,62.89,84.35749999999999,15.61689549814559
115,97.23,95.52,82.37,64.33,84.8625,15.213299828330037
116,96.08,95.67,82.95,64.78,84.87,14.715055781976046
117,95.66,95.22,82.96,64.58,84.60499999999999,14.58992689038114
118,96.43,95.52,82.03,64.18,84.54,15.086000132573243
119,95.75,95.52,81.98,60.35,83.4,16.660690261810885
120,96.11,95.86,83.21,65.32,85.125,14.512244255570309
121,96.63,95.67,83.16,64.53,84.9975,14.961197311712722
122,96.82,95.62,81.1,63.58,84.27999999999999,15.539729727379433
123,96.35,95.62,83.41,64.53,84.97749999999999,14.867793772670733
124,95.65,95.76,83.36,64.18,84.73750000000001,14.889442288637497
125,96.4,95.86,81.69,62.99,84.235,15.715755364177273
126,96.03,95.71,82.15,62.59,84.12,15.743760668912618
127,96.36,95.47,83.1,64.63,84.88999999999999,14.800551791515524
128,96.97,95.76,82.35,63.78,84.715,15.449320373401543
129,96.94,95.52,81.49,64.23,84.545,15.23284718407341
