epoch,local_time_s,peak_vram_mb
0,130.55,3352.65
1,146.95,3324.82
2,147.55,3327.19
3,146.98,3324.44
4,147.44,3324.57
5,147.56,3324.82
6,147.49,3320.44
7,146.16,3320.19
8,147.17,3324.07
9,149.16,3321.57
10,148.71,3322.44
11,147.93,3322.94
12,148.34,3322.32
13,147.49,3318.19
14,146.59,3323.57
15,147.35,3319.19
16,147.99,3320.44
17,147.03,3322.44
18,146.89,3317.94
19,148.32,3319.94
20,147.85,3320.32
21,148.35,3321.07
22,148.01,3318.94
23,147.2,3315.94
24,144.99,3318.57
25,144.41,3315.19
26,147.12,3321.32
27,147.13,3314.44
28,147.7,3319.69
29,147.42,3315.57
30,147.52,3321.82
31,148.93,3312.19
32,146.69,3317.19
33,148.71,3316.32
34,149.22,3316.57
35,147.73,3315.94
36,147.29,3318.82
37,144.83,3318.07
38,146.79,3319.07
39,147.26,3320.07
40,146.95,3319.32
41,147.55,3317.32
42,142.95,3318.94
43,140.66,3316.44
44,147.99,3321.82
45,148.78,3319.07
46,147.89,3318.19
47,147.75,3320.94
48,146.86,3319.57
49,146.23,3321.82
50,147.9,3318.19
51,147.46,3317.69
52,148.39,3318.07
53,147.6,3318.07
54,147.92,3317.19
55,147.9,3319.94
56,148.54,3316.69
57,147.89,3319.94
58,148.17,3316.57
59,146.7,3319.19
60,147.07,3317.82
61,146.59,3315.69
62,147.47,3315.32
63,146.15,3316.82
64,147.86,3319.57
65,147.38,3319.44
66,147.55,3314.32
67,147.35,3321.94
68,147.79,3319.94
69,147.32,3314.32
70,146.91,3317.69
71,146.46,3313.82
72,147.25,3312.94
73,146.77,3314.19
74,147.34,3314.32
75,148.19,3312.32
76,148.02,3314.57
77,148.44,3316.57
78,147.23,3319.94
79,147.94,3313.44
80,146.88,3315.32
81,147.36,3317.57
82,147.12,3317.07
83,147.41,3316.32
84,147.47,3316.57
85,147.66,3317.19
86,147.13,3315.69
87,146.69,3320.44
88,147.85,3317.44
89,148.57,3317.32
90,147.27,3314.57
91,147.56,3312.19
92,146.26,3313.94
93,148.01,3316.94
94,147.12,3314.44
95,146.99,3316.44
96,147.11,3314.94
97,147.64,3319.32
98,147.62,3317.57
99,146.0,3318.07
100,147.96,3316.32
101,147.57,3315.82
102,147.73,3313.44
103,147.62,3322.19
104,146.07,3316.82
105,147.6,3321.82
106,146.62,3315.69
107,147.76,3319.57
108,146.69,3314.19
109,146.41,3319.19
110,148.09,3317.32
111,146.53,3313.82
112,147.43,3316.82
113,146.48,3317.44
114,148.87,3317.57
115,148.6,3315.82
116,146.82,3312.32
117,146.86,3314.57
118,147.76,3318.07
119,146.93,3314.69
120,147.1,3313.32
121,146.24,3316.32
122,145.22,3314.94
123,144.27,3313.94
124,161.81,3315.44
125,141.85,3313.44
126,145.45,3317.19
127,146.72,3312.57
128,147.08,3313.69
129,147.69,3311.44
130,145.71,3314.32
131,146.57,3313.07
132,146.25,3313.69
133,145.83,3317.19
134,147.03,3314.19
135,145.48,3317.69
136,147.37,3314.57
137,143.88,3312.94
138,145.3,3316.19
139,148.36,3313.82
140,147.17,3315.69
141,146.29,3315.19
142,144.92,3320.57
143,145.89,3318.19
144,145.65,3321.19
145,148.03,3316.32
146,147.45,3318.32
147,147.26,3318.94
148,147.96,3319.57
149,146.53,3317.19
150,146.56,3316.57
151,146.23,3320.32
152,147.21,3316.07
153,146.03,3317.19
154,145.84,3318.07
155,146.4,3315.69
156,146.45,3316.32
157,147.44,3318.44
158,146.3,3316.19
159,146.71,3318.44
160,147.25,3320.57
161,146.65,3316.82
162,147.02,3320.57
163,146.69,3316.82
164,146.71,3318.19
165,145.15,3317.82
166,145.87,3316.94
167,147.34,3319.57
168,147.25,3319.44
169,146.52,3319.82
170,146.26,3313.19
171,145.88,3318.69
172,146.54,3316.07
173,147.72,3314.57
174,147.52,3313.07
175,146.35,3316.82
176,145.97,3317.07
177,145.55,3316.19
178,146.34,3314.94
179,146.92,3314.32
180,148.12,3316.82
181,147.27,3316.57
182,146.45,3317.94
183,147.72,3312.44
184,146.4,3319.82
185,147.45,3319.94
186,146.24,3316.57
187,146.06,3316.07
188,145.84,3312.69
189,146.17,3311.82
190,145.86,3311.82
191,146.49,3315.57
192,147.06,3312.57
193,147.34,3318.07
194,145.43,3312.69
195,145.94,3319.07
196,147.45,3319.94
197,146.7,3315.69
198,145.96,3317.82
199,147.44,3314.32
