epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,10.32,14.05,18.66,10.05,13.27,4.03035978542859
1,31.51,31.94,12.37,11.44,21.815,11.450724867885004
2,42.57,24.96,22.12,11.74,25.3475,12.810743863388
3,60.4,49.38,33.33,13.28,39.097500000000004,20.488481926845303
4,67.56,57.75,35.68,15.82,44.2025,23.146683527739636
5,73.66,63.03,46.05,16.17,49.727500000000006,25.09549013269117
6,79.55,70.05,49.88,17.41,54.2225,27.48338573878165
7,81.17,75.04,56.33,18.41,57.737500000000004,28.26712976232288
8,83.66,78.28,60.45,18.91,60.324999999999996,29.33781461981561
9,83.62,76.73,62.48,20.85,60.92,28.12640870546161
10,87.17,78.33,65.92,22.49,63.477500000000006,28.68142415687664
11,87.56,79.17,66.66,24.38,64.44250000000001,28.05494178096496
12,87.36,80.67,70.48,25.67,66.045,27.79706039614021
13,88.31,82.11,70.14,25.92,66.62,28.161892692075938
14,89.47,84.65,74.04,29.15,69.3275,27.549582422727696
15,87.43,80.17,72.65,27.36,66.9025,27.04347040722893
16,91.66,84.7,75.03,29.6,70.2475,27.943165383804796
17,90.84,85.1,76.07,29.65,70.41499999999999,27.848363805916257
18,92.78,84.75,76.77,31.39,71.4225,27.47703207529275
19,93.28,85.65,77.57,33.23,72.4325,26.910657585177415
20,93.96,86.3,78.98,31.79,72.75750000000001,27.98809791679313
21,94.83,88.14,80.46,34.38,74.4525,27.352546956362215
22,94.88,86.5,78.82,33.38,73.395,27.47105810363578
23,94.91,86.7,81.01,34.78,74.35,26.989977152021943
24,93.27,85.85,80.87,32.54,73.13250000000001,27.537088172136137
25,96.14,87.94,81.52,35.42,75.255,27.222355396499644
26,95.62,86.7,81.04,34.58,74.485,27.27191167972401
27,95.21,87.29,81.69,35.22,74.85249999999999,26.99756578533208
28,95.7,89.19,82.21,36.82,75.97999999999999,26.681460479766347
29,96.52,88.54,82.4,36.12,75.89500000000001,27.13946879853522
30,96.53,88.29,80.98,36.42,75.555,26.85212406247719
31,95.36,88.24,82.94,35.62,75.53999999999999,27.095441190970362
32,96.13,88.14,82.3,36.52,75.7725,26.775298784514057
33,96.44,89.69,82.97,38.11,76.80250000000001,26.374651182527515
34,96.38,88.09,83.02,37.41,76.225,26.456117755004545
35,96.55,88.29,82.31,36.47,75.905,26.930450547041854
36,96.91,88.74,82.16,37.51,76.32999999999998,26.573958430513635
37,96.98,89.99,84.27,39.05,77.5725,26.202320984981466
38,97.05,87.94,82.48,37.71,76.295,26.416109352691084
39,96.48,89.24,84.02,37.91,76.9125,26.49884195582894
40,97.0,89.54,82.71,39.35,77.15,25.866891322048474
