epoch,local_time_s,peak_vram_mb
0,130.74,4194.39
1,143.75,4174.06
2,148.19,4172.93
3,147.82,4168.56
4,149.15,4167.68
5,149.35,4171.68
6,149.16,4171.31
7,149.96,4165.18
8,148.84,4166.68
9,149.01,4171.68
10,149.33,4167.68
11,149.07,4168.81
12,148.9,4169.43
13,147.38,4169.43
14,149.59,4165.31
15,148.9,4173.68
16,149.58,4167.68
17,148.81,4167.43
18,149.29,4171.43
19,148.03,4176.43
20,148.49,4174.56
21,149.3,4172.68
22,148.33,4166.06
23,149.32,4171.31
24,149.44,4165.56
25,150.11,4164.93
26,149.44,4163.06
27,150.35,4165.06
28,149.15,4162.31
29,150.05,4163.31
30,148.6,4158.43
31,149.88,4166.31
32,150.24,4167.81
33,148.71,4161.56
34,148.78,4161.56
35,147.56,4161.31
36,148.97,4166.93
37,148.18,4164.93
38,149.33,4164.81
39,149.93,4170.56
40,148.38,4173.18
41,149.44,4171.93
42,149.82,4168.81
43,149.98,4167.43
44,149.01,4163.68
45,148.36,4170.68
46,148.93,4165.68
47,148.76,4167.31
48,150.26,4164.31
49,149.49,4170.43
50,150.29,4165.43
51,149.76,4169.56
52,149.26,4169.18
53,149.38,4165.81
54,148.93,4164.43
55,148.46,4162.68
56,149.01,4162.31
57,144.71,4164.18
58,147.24,4163.06
59,148.44,4165.81
60,150.4,4166.56
61,150.64,4164.56
62,148.29,4164.81
63,148.98,4163.06
64,149.37,4166.18
65,147.79,4168.93
66,149.55,4166.68
67,148.99,4164.06
68,148.74,4166.68
69,148.14,4165.93
70,149.42,4171.31
71,149.16,4171.18
72,149.48,4165.56
73,149.94,4168.18
74,148.22,4164.56
75,149.3,4165.93
76,149.1,4167.93
77,148.97,4164.31
78,148.55,4166.43
79,148.29,4168.06
80,148.94,4163.81
81,149.18,4173.06
82,148.98,4168.06
83,149.97,4167.81
84,149.26,4166.18
85,149.85,4167.18
86,149.25,4167.43
87,149.21,4167.68
88,149.82,4164.68
89,149.22,4163.93
90,148.6,4165.06
91,149.7,4167.31
92,148.55,4172.68
93,149.65,4167.43
94,150.24,4170.31
95,149.38,4170.43
96,149.2,4167.56
97,148.0,4167.56
98,149.45,4169.93
99,149.11,4168.93
100,149.09,4172.31
101,148.77,4169.31
102,148.88,4168.81
103,147.68,4168.68
104,147.6,4165.93
105,148.73,4166.81
106,149.86,4164.43
107,148.06,4167.93
108,148.5,4170.18
109,147.47,4163.93
110,150.08,4168.93
111,149.29,4177.81
112,147.58,4173.68
113,145.77,4172.31
114,148.46,4169.31
115,150.38,4171.56
116,148.29,4165.31
117,150.39,4162.18
118,148.02,4169.56
119,148.92,4174.81
120,148.77,4172.06
121,149.91,4171.81
122,150.3,4168.43
123,149.14,4164.68
124,148.6,4164.43
125,149.49,4160.06
126,149.22,4168.68
127,149.25,4168.93
128,149.64,4170.18
129,149.15,4165.93
130,148.82,4169.93
131,149.83,4164.18
132,149.6,4169.31
133,150.3,4171.31
134,149.56,4168.43
135,149.33,4167.81
136,149.05,4168.81
137,149.91,4167.18
138,149.62,4168.68
139,149.03,4166.68
140,149.23,4165.81
141,149.48,4169.06
142,149.93,4169.06
143,149.52,4167.06
144,149.61,4162.68
145,149.56,4169.68
146,148.2,4164.68
147,147.85,4166.68
148,147.29,4169.68
149,150.04,4168.93
150,148.31,4165.31
151,149.59,4167.31
152,148.79,4162.56
153,149.32,4167.81
154,150.24,4168.68
155,149.85,4165.56
156,149.28,4161.68
157,150.19,4163.56
158,148.82,4168.81
159,148.99,4167.06
160,149.19,4167.68
161,147.89,4165.31
162,149.89,4169.31
163,147.76,4164.06
164,150.71,4169.56
165,150.11,4165.68
166,149.06,4159.18
167,149.33,4160.06
168,148.9,4165.31
169,149.35,4160.56
170,148.37,4165.18
171,149.67,4167.43
172,148.94,4168.18
173,148.83,4165.56
174,149.47,4166.68
175,149.27,4172.18
176,149.74,4166.06
177,150.44,4171.06
178,150.51,4170.06
179,149.66,4171.18
180,149.42,4166.56
181,148.61,4170.93
182,149.72,4169.31
183,149.38,4173.18
184,149.99,4171.06
185,148.72,4168.31
186,150.14,4164.31
187,149.67,4170.31
188,148.25,4168.06
189,150.06,4172.56
190,148.62,4168.93
191,149.32,4165.18
192,147.54,4162.93
193,148.36,4168.93
194,149.22,4169.43
195,147.53,4171.18
196,149.75,4168.18
197,149.42,4165.06
198,149.72,4170.81
199,149.12,4165.18
