epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,35.85,20.18,18.01,10.65,21.172500000000003,10.6009193783684
1,48.77,24.12,20.41,11.59,26.2225,15.92383407558201
2,54.14,36.57,23.79,12.89,31.8475,17.734783853583707
3,52.57,49.03,27.92,14.13,35.912499999999994,18.146611024284027
4,53.01,53.31,29.14,14.93,37.5975,18.88361436978278
5,53.93,55.21,31.71,16.57,39.355,18.631638861535144
6,53.79,62.63,30.88,17.31,41.1525,20.776416718642
7,57.58,68.11,36.73,18.26,45.169999999999995,22.17831824102089
8,61.66,73.44,40.8,19.45,48.83749999999999,23.790236617850887
9,63.97,75.19,45.59,20.95,51.425,23.69898099075148
10,67.68,78.62,53.19,20.95,55.11,25.04207792230243
11,65.17,77.23,57.64,21.79,55.4575,23.851193366370584
12,68.62,79.47,60.89,22.39,57.8425,24.833245693357657
13,72.49,81.46,66.2,24.08,61.05749999999999,25.43452296256671
14,74.96,82.31,68.42,24.18,62.4675,26.14799084059806
15,73.92,81.07,70.69,23.68,62.34,26.135718853706702
16,77.82,83.06,71.14,25.42,64.36,26.41434963550431
17,77.47,83.31,72.14,25.12,64.51,26.653271218870426
18,76.19,81.76,73.59,24.63,64.0425,26.495103163918174
19,78.92,82.11,73.25,24.58,64.715,27.0063727047278
20,82.55,82.56,74.23,26.32,66.415,27.016553567519797
21,82.24,85.1,75.11,25.07,66.88,28.18810032620148
22,82.63,85.15,75.37,26.32,67.3675,27.677298007572922
23,83.29,85.8,75.71,26.82,67.905,27.723783411840934
24,80.42,83.01,75.99,26.77,66.5475,26.67627207213682
25,84.93,85.3,76.23,27.26,68.43,27.7648206669279
26,85.57,84.6,77.04,27.31,68.63,27.809320979364692
27,84.94,85.7,76.34,27.51,68.6225,27.735051679538415
28,86.42,87.39,77.27,28.06,69.785,28.18782302106118
29,85.21,86.45,77.61,27.76,69.2575,27.93964372834175
30,85.25,85.65,77.7,28.06,69.165,27.646275819116518
31,85.39,86.55,78.18,27.71,69.4575,28.076881800988275
32,86.58,87.14,78.51,28.21,70.11,28.210233367816485
33,87.45,87.29,78.43,28.01,70.295,28.503353603859786
34,85.81,85.75,78.24,28.61,69.6025,27.558521216978725
35,87.3,86.1,78.12,28.51,70.0075,27.963394375504553
36,87.43,87.44,78.55,28.96,70.595,28.070901303663195
37,87.13,86.45,78.26,29.25,70.2725,27.643760447281167
38,87.29,86.25,78.59,28.31,70.11,28.13540118782741
39,87.56,86.7,78.63,29.1,70.4975,27.88990543189417
40,86.41,87.49,78.6,28.96,70.365,27.88605924113337
41,88.81,87.99,78.98,29.5,71.32000000000001,28.233414010116924
42,88.25,87.29,79.24,29.7,71.12,27.907326397680354
43,89.11,86.65,79.35,29.65,71.19,28.001757087725768
44,87.53,86.25,79.29,29.65,70.67999999999999,27.591909442201835
45,87.77,87.34,79.47,29.75,71.08250000000001,27.81788797997912
46,86.95,86.75,79.42,30.2,70.83,27.312303698760626
47,88.15,87.34,79.0,30.5,71.2475,27.478009844237267
48,89.19,87.84,79.41,30.55,71.7475,27.803820331026458
49,88.08,87.0,79.86,31.0,71.485,27.235302458390287
50,87.81,87.59,79.71,30.6,71.42750000000001,27.477853355020294
51,88.69,88.24,79.58,30.7,71.8025,27.720534356321487
52,89.16,88.74,79.65,31.24,72.19749999999999,27.655242269775908
53,87.67,87.74,79.74,31.29,71.61,27.140988682556625
54,88.09,88.04,79.69,31.44,71.815,27.204671780167956
55,89.12,88.49,79.43,30.95,71.9975,27.7207616237361
56,89.5,89.24,79.54,31.94,72.555,27.47053391059834
57,89.07,88.84,79.71,31.49,72.2775,27.538861480944828
58,90.02,89.09,79.42,31.39,72.48,27.809443240261633
59,87.38,88.74,79.93,31.94,71.9975,26.9843193663777
60,89.54,88.89,79.85,31.99,72.5675,27.41081340760735
61,89.18,88.59,80.39,31.79,72.48750000000001,27.42666631218603
62,88.89,88.29,79.95,31.84,72.24249999999999,27.24230212371928
63,88.13,88.14,79.96,32.74,72.24249999999999,26.615474665439773
64,88.75,88.99,79.66,32.99,72.5975,26.75973514442921
65,89.4,89.24,79.92,32.44,72.75,27.236296860378555
66,89.64,89.24,79.87,31.54,72.5725,27.7249867748691
67,89.15,89.04,79.95,32.74,72.72,26.99975678902806
68,89.17,89.64,79.73,32.49,72.75750000000001,27.230352397034206
69,89.43,89.79,79.81,32.79,72.95500000000001,27.17266457305945
70,89.07,89.34,80.06,32.84,72.82750000000001,27.004880268820543
71,89.71,89.19,80.08,33.13,73.02749999999999,26.963434962927106
72,89.24,89.64,79.98,33.73,73.14750000000001,26.654539794689136
73,89.0,88.79,79.79,33.63,72.80250000000001,26.465506324270468
74,89.02,89.39,79.66,32.94,72.7525,26.920789209580516
75,88.85,89.94,79.82,32.49,72.775,27.236960794724016
76,89.12,89.84,79.91,33.03,72.975,27.011025526625236
77,87.62,89.39,79.72,33.08,72.4525,26.5828408000349
78,87.48,88.74,79.96,33.33,72.3775,26.3186782532862
79,88.75,88.69,79.87,33.78,72.77250000000001,26.32765893504396
80,89.12,89.39,79.95,33.18,72.91,26.84765042481992
81,89.33,89.74,79.92,33.18,73.0425,26.959278396623798
82,88.81,89.29,80.16,32.44,72.675,27.149443824874204
83,89.44,89.39,80.02,32.44,72.82249999999999,27.283533953650505
84,90.31,89.94,79.59,32.84,73.17000000000002,27.34189581332404
85,89.15,89.34,80.17,33.03,72.92250000000001,26.93698742745125
86,88.05,89.29,80.2,33.18,72.68,26.639127863601942
87,89.03,89.99,80.22,34.03,73.3175,26.558156782176482
88,89.03,90.33,80.07,34.03,73.36500000000001,26.61705405687614
89,88.14,89.79,80.01,33.58,72.88,26.54645362378938
90,88.0,90.03,79.81,33.63,72.8675,26.5287496564262
91,89.05,90.08,80.31,33.58,73.255,26.810702464998315
92,88.5,89.94,80.16,34.03,73.1575,26.43886580396368
93,88.62,90.38,79.96,34.33,73.32249999999999,26.390928207750985
94,88.76,90.43,79.92,33.98,73.27250000000001,26.597821182695903
95,89.25,90.43,79.65,33.98,73.32750000000001,26.672215724732485
96,88.61,89.84,79.9,33.63,72.995,26.61368382367737
97,88.09,90.88,79.91,34.38,73.315,26.370805195645175
98,88.55,90.73,80.1,33.83,73.3025,26.711347619816316
99,87.72,90.43,80.41,34.48,73.26,26.197400634414098
100,87.95,90.53,80.0,34.33,73.2025,26.299608837395283
101,87.75,90.63,80.05,34.38,73.2025,26.26418521485104
102,88.13,90.73,79.83,34.43,73.28,26.31381132916071
103,88.52,90.28,80.08,34.93,73.4525,26.064670053541825
104,87.78,90.83,80.56,34.73,73.47500000000001,26.18651879625596
105,87.24,90.43,80.34,34.93,73.235,25.881538465348875
106,88.5,90.53,80.5,34.18,73.4275,26.52082373657852
107,87.55,90.28,80.24,34.48,73.1375,26.117894727561794
108,88.22,90.28,80.49,34.58,73.3925,26.215943463218462
109,88.09,90.38,80.2,34.63,73.325,26.16261263712017
110,88.39,90.23,80.46,34.03,73.2775,26.506159504286295
111,87.75,90.73,80.24,34.43,73.28750000000001,26.278300775861947
112,89.05,91.13,80.45,34.83,73.865,26.430776883524757
113,88.48,91.08,80.42,34.08,73.515,26.67882243778137
114,89.55,90.83,80.3,34.23,73.7275,26.74632233286164
115,89.94,91.18,80.53,34.78,74.10749999999999,26.646069597597318
116,88.58,90.48,80.54,34.58,73.545,26.33151913581896
117,88.56,91.08,80.55,34.48,73.6675,26.507927587799088
118,89.09,91.33,80.03,34.88,73.83250000000001,26.423853333683184
119,86.97,90.33,80.57,34.48,73.0875,26.05477867237921
120,88.26,90.68,80.52,34.43,73.4725,26.38656397360849
121,88.91,91.33,80.48,35.12,73.96000000000001,26.30763767425726
122,88.78,90.93,80.46,35.12,73.8225,26.19372237133674
123,89.52,91.13,80.74,35.62,74.2525,26.156607036591474
124,89.18,90.53,80.87,35.57,74.03750000000001,25.99826580754955
125,87.94,90.68,81.02,35.87,73.8775,25.66231526967121
126,88.23,90.73,80.8,35.72,73.87,25.780590890564685
127,88.32,90.83,80.35,35.62,73.78,25.829341196915315
128,89.96,91.43,80.6,35.47,74.36500000000001,26.369897610722724
129,89.33,91.18,80.69,35.27,74.11749999999999,26.298764704829768
130,88.38,90.53,80.6,36.02,73.8825,25.599547359279615
131,86.34,90.73,80.77,35.77,73.40249999999999,25.417226933715646
132,88.69,91.33,80.88,35.92,74.205,25.906097737791384
133,88.81,91.48,80.72,35.57,74.145,26.120398797363976
134,88.02,91.28,80.8,35.97,74.01750000000001,25.740230994819505
135,88.67,91.38,80.74,36.37,74.29,25.679962357189442
136,87.64,91.93,80.73,35.92,74.055,25.838612578851833
137,90.79,91.68,81.01,36.62,75.025,26.055635986608863
138,88.94,91.58,80.84,36.32,74.42,25.8077662729652
139,88.03,91.78,80.78,36.22,74.20250000000001,25.73002186163082
140,89.56,91.93,80.87,36.42,74.69500000000001,25.955858041426154
141,87.4,91.68,80.81,35.87,73.94,25.770790959275327
142,88.63,91.48,80.8,35.72,74.1575,26.01977757399167
143,88.73,91.43,80.8,36.02,74.245,25.879580753945763
144,87.59,91.73,80.77,35.92,74.0025,25.787337170272803
145,87.71,91.88,80.45,35.92,73.99,25.815673533727523
146,88.1,92.08,80.86,35.42,74.11500000000001,26.211444701376788
147,88.07,91.73,80.82,35.42,74.01,26.123081747757098
148,88.85,91.93,80.53,36.12,74.3575,25.942445753372343
149,86.35,91.58,80.72,35.57,73.55499999999999,25.708689192566776
150,87.37,91.08,80.85,36.97,74.0675,25.09055914748281
151,87.59,91.83,80.81,36.57,74.2,25.49390776898146
152,88.73,91.68,80.88,36.67,74.49000000000001,25.621984050160258
153,89.04,91.63,80.91,36.67,74.56250000000001,25.671189266049463
154,89.2,91.78,80.76,36.67,74.6025,25.7225120274051
155,87.21,91.18,80.87,36.92,74.045,25.111562409907247
156,87.58,91.83,80.77,36.27,74.1125,25.63630547355319
157,88.3,91.93,80.64,36.12,74.2475,25.850298998915534
158,88.89,91.88,80.67,37.21,74.6625,25.414194688533154
159,89.91,92.08,80.72,36.72,74.85750000000002,25.897426352181537
160,87.82,91.43,80.96,36.62,74.2075,25.431811280363025
161,89.14,92.08,81.0,37.51,74.9325,25.384692730068647
162,86.19,91.08,80.8,37.21,73.82,24.76514351529854
163,88.64,90.98,81.05,37.56,74.5575,25.02653841425138
164,89.2,91.93,80.91,36.42,74.615,25.890902520640978
165,88.76,91.98,80.53,36.82,74.5225,25.59322354973415
166,88.58,91.93,80.87,36.97,74.5875,25.50227751267195
167,88.76,91.98,80.71,37.01,74.615,25.514109168588792
168,87.87,91.18,80.84,37.21,74.27499999999999,25.0833045404043
169,86.89,91.08,80.95,37.66,74.14500000000001,24.675848516312463
170,87.98,91.83,80.8,37.36,74.4925,25.173456093009293
171,88.42,91.93,81.02,37.46,74.7075,25.244610480919157
172,87.81,91.63,80.92,37.46,74.455,25.05835123599848
173,87.09,91.43,80.96,37.41,74.2225,24.9146855957151
174,88.16,91.88,80.77,37.46,74.5675,25.165560295769293
175,87.15,91.73,80.87,37.01,74.19,25.183248400474476
176,87.34,91.48,80.98,37.56,74.34,24.897373355436514
177,87.78,91.53,80.95,37.16,74.35499999999999,25.180503701607456
178,89.24,92.13,80.83,37.31,74.8775,25.49953904812137
179,89.19,92.08,80.66,37.26,74.79749999999999,25.490270529491575
180,88.55,92.08,80.85,37.06,74.635,25.48504201814599
181,89.47,92.23,80.66,37.41,74.9425,25.503491754398393
182,88.3,91.53,81.04,37.86,74.6825,24.937180240222293
183,88.05,92.03,80.7,37.51,74.57249999999999,25.150099237710112
184,87.86,91.93,81.08,36.92,74.4475,25.415456419273685
185,87.19,92.03,80.9,37.36,74.37,25.09056263485005
186,88.21,92.13,80.9,37.06,74.575,25.43928785690878
187,87.74,92.33,80.85,37.91,74.70749999999998,24.981225450325688
188,88.38,92.28,80.75,37.66,74.76749999999998,25.19751756952789
189,88.24,92.08,81.17,37.91,74.85,25.037778122935215
190,87.37,91.78,80.72,37.41,74.32,25.023070688200256
191,87.9,92.13,80.72,38.01,74.69,24.902750852064518
192,86.74,92.18,80.93,36.77,74.155,25.343123327640576
193,88.39,92.43,80.79,36.77,74.595,25.674227674200186
194,88.91,91.83,80.7,37.91,74.8375,25.06517820270451
195,88.23,92.18,81.33,37.46,74.8,25.29391099322786
196,89.7,92.43,80.72,37.26,75.0275,25.670462111150243
197,88.65,91.98,80.82,37.76,74.8025,25.134152561803237
198,87.65,91.68,81.2,37.76,74.5725,24.918343143154605
199,87.77,91.98,81.12,38.16,74.7575,24.804556537055852
