epoch,local_time_s,peak_vram_mb
0,45.55,1220.9
1,61.71,1227.26
2,62.41,1226.45
3,62.05,1220.65
4,61.05,1224.26
5,62.24,1224.26
6,61.67,1221.76
7,61.05,1221.4
8,62.31,1222.88
9,61.33,1224.26
10,61.44,1222.01
11,62.0,1219.51
12,61.08,1222.51
13,62.69,1231.58
14,62.1,1230.38
15,61.48,1228.65
16,62.8,1227.51
17,61.79,1223.65
18,62.96,1223.4
19,63.34,1224.76
20,62.34,1224.4
21,62.62,1224.51
22,62.73,1228.02
23,62.23,1224.51
24,62.32,1223.76
25,61.21,1218.26
26,61.77,1217.38
27,62.03,1220.83
28,61.37,1222.51
29,62.07,1224.27
30,61.69,1223.38
31,61.73,1223.26
32,61.91,1223.27
33,61.72,1220.26
34,62.26,1221.4
35,61.6,1221.4
36,60.82,1225.01
37,61.78,1220.01
38,61.76,1222.95
39,61.2,1221.4
40,62.14,1224.65
41,60.98,1220.9
42,62.42,1225.77
43,62.69,1222.88
44,62.64,1224.76
45,62.88,1217.2
46,62.86,1222.26
47,62.41,1220.76
48,61.85,1222.26
49,62.03,1228.15
50,62.85,1220.01
51,62.0,1216.51
52,61.42,1219.01
53,62.35,1223.65
54,61.75,1225.9
55,61.63,1224.88
56,61.73,1228.27
57,61.5,1221.02
58,61.75,1221.4
59,61.79,1222.65
60,60.32,1226.15
61,61.66,1219.4
62,61.59,1218.7
63,60.93,1219.15
64,62.23,1221.51
65,60.68,1225.15
66,61.1,1219.52
67,61.3,1223.76
68,60.07,1222.51
69,62.09,1218.27
70,61.69,1219.15
71,61.08,1221.65
72,61.08,1225.26
73,60.44,1223.26
74,62.01,1219.26
75,61.75,1222.9
76,61.47,1217.65
77,62.5,1221.88
78,61.58,1221.15
79,62.03,1225.65
80,62.14,1228.65
81,62.06,1226.26
82,62.83,1219.26
83,62.63,1223.4
84,61.68,1224.02
85,62.84,1218.83
86,62.53,1221.52
87,61.98,1219.77
88,62.33,1220.02
89,60.77,1219.15
90,62.13,1221.52
91,61.77,1215.65
92,60.65,1227.9
93,62.27,1226.7
94,60.89,1223.95
95,61.01,1221.65
96,61.76,1218.26
97,60.92,1226.02
98,61.92,1223.76
99,61.12,1220.4
100,60.9,1226.52
101,61.98,1221.02
102,61.03,1221.45
103,61.61,1221.76
104,61.65,1224.15
105,61.1,1227.02
106,62.44,1228.52
107,61.97,1224.01
108,61.13,1227.15
109,62.52,1229.51
110,61.78,1225.02
111,61.78,1219.76
112,62.24,1224.02
113,60.89,1226.7
114,62.22,1224.02
115,62.59,1224.27
116,61.77,1224.02
117,62.88,1221.15
118,62.77,1225.65
119,62.42,1223.15
120,62.54,1224.15
121,61.36,1221.77
122,62.34,1221.77
123,61.45,1220.02
124,61.69,1222.26
125,61.75,1225.15
126,61.59,1225.01
127,62.05,1218.52
128,61.59,1219.4
129,61.4,1219.76
130,62.14,1219.83
131,61.86,1221.13
132,61.36,1223.9
133,61.51,1223.15
134,60.87,1224.4
135,61.91,1226.65
136,61.46,1218.51
137,61.14,1224.9
138,61.53,1227.63
139,61.49,1222.95
140,60.6,1227.13
141,61.8,1228.45
142,61.32,1228.7
143,61.99,1225.9
144,61.67,1218.95
145,61.44,1221.76
146,62.42,1221.33
147,62.22,1221.77
148,61.4,1221.08
149,62.83,1219.26
150,61.93,1224.77
151,62.61,1227.01
152,62.89,1221.65
153,61.55,1220.15
154,62.79,1224.76
155,62.44,1221.26
156,61.42,1223.4
157,62.19,1217.9
158,61.42,1226.13
159,61.42,1222.95
160,61.7,1228.51
161,62.02,1226.4
162,61.94,1222.76
163,60.91,1225.15
164,60.67,1222.65
165,62.32,1222.02
166,61.47,1224.2
167,61.83,1221.15
168,61.59,1227.27
169,60.47,1227.9
170,61.78,1224.51
171,61.18,1222.4
172,61.11,1219.02
173,61.02,1219.65
174,60.44,1223.76
175,62.06,1225.02
176,61.71,1220.88
177,61.4,1224.76
178,62.17,1227.9
179,62.09,1226.76
180,61.46,1229.15
181,62.63,1226.9
182,61.31,1221.01
183,62.37,1222.15
184,62.2,1222.27
185,61.45,1226.27
186,62.78,1225.15
187,62.16,1226.52
188,62.05,1223.02
189,62.41,1225.77
190,61.28,1222.65
191,61.42,1220.4
192,61.9,1225.4
193,60.12,1218.9
194,62.3,1217.9
195,61.47,1223.58
196,60.25,1224.02
197,62.02,1224.63
198,61.63,1222.26
199,61.34,1223.15
