epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.54,13.15,18.84,9.3,13.2075,4.073388229308208
1,48.69,19.33,18.47,12.89,24.845,16.150974170825318
2,50.71,23.67,19.56,13.48,26.855,16.444988091614213
3,49.19,39.06,21.81,12.94,30.75,16.393183542761506
4,52.08,50.32,22.05,13.48,34.4825,19.631356507723385
5,51.99,53.71,21.96,14.38,35.51,20.272393379503402
6,54.75,61.53,23.28,14.48,38.51,23.116024744752284
7,55.18,66.57,22.61,15.72,40.02,24.68688045636116
8,58.85,71.95,22.1,16.57,42.3675,27.221802995638136
9,60.08,74.09,23.14,16.67,43.495000000000005,27.95843879761529
10,57.92,74.74,24.65,18.31,43.905,26.91391523605091
11,58.92,78.53,24.42,18.36,45.057500000000005,28.584611681812298
12,60.92,79.67,27.66,19.75,47.0,28.152521497490536
13,62.6,81.17,30.92,20.6,48.8225,28.00707812321735
14,64.09,81.71,32.94,20.95,49.9225,27.922358275522978
15,62.6,82.36,39.8,22.09,51.7125,26.31353944898583
16,65.35,82.76,38.79,23.78,52.67,26.416390114220125
17,63.13,82.71,45.42,25.42,54.17,24.4808646361466
18,63.22,85.05,45.13,25.12,54.629999999999995,25.562046083989443
19,65.76,84.95,46.98,26.27,55.99,25.15679497339304
20,68.76,85.5,50.55,27.76,58.1425,24.77839431843799
21,68.29,85.85,54.46,27.51,59.027499999999996,24.62691803020968
22,70.12,87.05,53.46,28.06,59.67250000000001,25.14374060609651
23,70.0,87.74,52.12,29.85,59.9275,24.769628411961826
24,69.81,86.65,57.58,29.55,60.89750000000001,24.057538492816207
25,72.37,88.19,60.37,31.54,63.1175,23.93690508399112
26,69.86,87.34,62.88,29.4,62.37,24.26851183461126
27,75.0,89.54,62.23,32.29,64.765,24.355750176635226
28,76.9,89.74,62.45,34.03,65.78,23.92270469658479
29,74.95,89.39,65.73,32.84,65.72749999999999,23.989970647474053
30,74.9,88.74,64.86,34.33,65.7075,23.095915042852635
31,76.69,90.43,64.53,34.58,66.5575,23.79940527968434
32,76.3,90.58,65.44,34.28,66.65,23.909889167455376
33,78.13,90.38,65.2,34.78,67.1225,23.887302589451156
34,71.58,90.53,66.13,34.53,65.6925,23.25838110588668
35,77.75,90.83,67.81,35.27,67.91499999999999,23.717303809666056
36,78.84,91.73,67.67,34.03,68.0675,24.729672291938417
37,79.15,90.88,67.23,36.37,68.4075,23.43930086414695
38,80.26,90.73,69.81,36.37,69.2925,23.551442100219685
