epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.44,15.35,17.32,9.95,13.515,3.408816999097097
1,15.26,15.94,15.3,10.05,14.1375,2.7427525711712795
2,15.69,16.14,15.67,10.35,14.4625,2.750240898539617
3,16.6,17.24,15.44,10.45,14.932500000000001,3.079798424139693
4,17.17,18.14,15.02,10.25,15.145,3.5141286259896636
5,17.47,18.54,14.89,10.35,15.3125,3.6458412380866685
6,17.63,18.54,14.53,10.5,15.3,3.6313174835955424
7,17.77,18.63,14.1,10.8,15.325,3.599874997829785
8,17.51,18.19,14.24,11.09,15.2575,3.2698967873619504
9,17.42,18.19,14.09,10.95,15.162500000000001,3.324528788665647
10,17.86,18.24,13.76,11.04,15.224999999999998,3.44934293259842
11,17.64,18.29,13.49,11.24,15.165000000000001,3.371572333496643
12,17.79,18.24,13.22,11.34,15.1475,3.403854432845211
13,17.9,18.39,12.85,11.59,15.182500000000001,3.4650384798248153
14,17.55,17.99,13.19,11.89,15.155,3.0710855843930274
15,17.1,17.69,13.03,12.09,14.977500000000003,2.828019035768089
16,17.2,17.74,12.83,12.44,15.052499999999998,2.8047028957330453
17,17.07,17.69,12.37,12.99,15.030000000000001,2.7370543777328704
