epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,35.86,19.68,18.04,10.4,20.995,10.703325028544478
1,47.97,23.52,20.41,11.24,25.784999999999997,15.681752665651459
2,53.6,35.33,23.17,13.03,31.282500000000002,17.449159244311268
3,50.22,47.33,27.2,13.88,34.6575,17.22500580551426
4,52.73,53.11,28.1,14.68,37.155,19.011060815570847
5,52.69,54.81,30.72,16.22,38.61,18.477469162920194
6,53.57,62.28,29.89,17.01,40.6875,20.891823560107593
7,57.85,67.81,33.86,17.71,44.3075,22.747483926799465
8,59.71,72.85,40.78,18.76,48.025,23.535434986419943
9,62.97,75.14,46.55,20.7,51.34,23.547474032968662
10,65.87,78.72,51.69,20.45,54.1825,25.051817465671697
11,64.51,77.18,58.12,20.75,55.14,24.256346248628077
12,67.43,78.92,61.81,21.54,57.425000000000004,24.96061230552381
13,71.38,81.56,66.38,22.84,60.54,25.914870891697174
14,75.38,82.71,68.39,22.89,62.34249999999999,26.943666386246196
15,73.18,81.86,71.07,22.64,62.1875,26.775273885931895
16,75.79,82.21,71.41,23.83,63.31,26.6910771607292
17,76.88,82.61,71.32,24.28,63.7725,26.72876275350831
18,75.26,81.51,72.96,23.93,63.415000000000006,26.57006649094679
19,77.42,82.16,73.06,24.43,64.2675,26.81706095628925
20,80.84,82.51,73.43,24.83,65.4025,27.334663433084376
21,81.03,84.55,75.21,24.93,66.42999999999999,27.933449482654304
22,80.56,84.75,75.46,25.97,66.685,27.407855929763397
23,82.11,85.35,75.59,25.77,67.205,27.919930157505767
24,79.66,82.51,76.07,25.37,65.9025,27.14982796139477
25,84.04,85.05,76.79,26.62,68.125,27.91349792961582
26,84.75,83.76,76.94,26.47,67.97999999999999,27.890279071150697
27,83.35,85.05,76.75,27.21,68.08999999999999,27.48744683184186
28,85.31,85.95,77.52,27.31,69.0225,28.07111846127024
29,83.93,85.55,77.95,27.41,68.71000000000001,27.726651438642932
30,84.17,85.4,77.74,27.81,68.78,27.51907823068692
31,83.19,85.45,78.71,27.26,68.65249999999999,27.736782287544937
32,85.99,86.6,79.0,27.36,69.7375,28.461284083236066
33,87.37,86.7,78.57,27.11,69.9375,28.830471582453637
