epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,36.97,19.33,18.09,10.45,21.21,11.216416540054135
1,48.33,24.51,20.39,11.29,26.130000000000003,15.797020816175012
2,53.53,36.37,23.51,13.28,31.672500000000003,17.365936724902962
3,50.59,48.38,27.48,13.63,35.02,17.65689855740998
4,53.02,53.56,27.93,14.93,37.36000000000001,19.145977819549117
5,52.68,53.81,30.19,15.97,38.1625,18.363640479672508
6,53.04,63.08,29.19,17.31,40.655,21.076875954467255
7,56.96,68.41,34.56,17.91,44.46,22.60357641318441
8,59.22,73.94,40.74,18.86,48.19,23.808085461316146
9,61.82,74.99,45.3,20.9,50.752500000000005,23.315570441230896
10,65.26,77.83,53.8,21.14,54.50749999999999,24.31354817791924
11,65.75,78.03,57.51,21.74,55.7575,24.194874629419623
12,66.66,79.22,61.64,22.14,57.41499999999999,24.651601029818192
13,72.1,81.46,66.41,23.88,60.9625,25.488418775331404
14,73.13,83.01,68.05,23.53,61.93,26.342745997079852
15,73.45,81.71,71.03,23.83,62.504999999999995,26.185595913275172
16,77.34,82.61,71.01,24.48,63.85999999999999,26.678204587265615
17,75.5,82.11,71.16,24.43,63.300000000000004,26.301537344168054
18,76.23,81.86,73.17,24.58,63.959999999999994,26.498876705752394
19,78.1,83.16,73.53,25.47,65.065,26.68807786259625
20,82.91,83.31,74.42,26.02,66.66499999999999,27.405060968125337
21,81.96,85.05,75.28,25.07,66.84,28.14359015240711
22,82.99,85.25,75.03,25.32,67.14750000000001,28.227403204451285
23,83.82,85.7,75.57,26.32,67.85249999999999,28.03570744009622
24,82.26,83.81,75.99,26.47,67.1325,27.31833618042407
25,85.06,85.0,76.26,26.52,68.21,28.099141149389844
26,86.72,84.5,76.41,26.47,68.525,28.384590302956052
27,84.14,84.4,76.53,26.67,67.935,27.751111088867535
28,85.6,85.95,77.35,27.01,68.9775,28.259175943399338
29,85.64,85.95,77.56,27.16,69.0775,28.213633081662255
30,85.37,85.3,77.37,27.91,68.98750000000001,27.64122087872869
31,84.51,85.15,77.92,28.06,68.91000000000001,27.42869665149987
32,86.9,86.95,78.31,28.16,70.08000000000001,28.24021128344003
33,88.03,87.05,78.06,28.21,70.33749999999999,28.441140829204908
34,85.05,86.05,77.86,27.66,69.155,27.902831994859113
35,86.88,85.9,77.97,28.26,69.7525,27.947855463344588
36,86.9,86.3,78.06,28.61,69.9675,27.86510048429756
37,85.39,85.0,77.92,29.1,69.3525,27.05372109340968
38,85.83,85.5,78.09,28.56,69.49499999999999,27.522963139894657
39,85.61,86.15,78.43,29.1,69.8225,27.375435917381605
40,86.4,86.7,78.43,29.15,70.17,27.613534121272252
41,88.06,87.54,78.59,29.45,70.91000000000001,27.97971527136519
42,88.02,87.0,79.12,29.25,70.8475,28.015378366175963
43,87.89,86.05,79.21,30.0,70.7875,27.446906777753057
44,87.92,86.85,78.97,30.3,71.00999999999999,27.431851316793527
45,88.74,87.49,79.36,30.35,71.485,27.736852140548798
46,86.65,86.75,78.97,30.1,70.6175,27.256379528470028
47,87.9,87.24,78.82,29.95,70.97749999999999,27.66225150513481
48,89.43,88.04,79.05,30.55,71.76750000000001,27.860816421394883
49,87.52,87.14,79.2,30.75,71.1525,27.20673614505545
50,87.32,87.64,79.51,29.95,71.10499999999999,27.693022586926112
51,88.04,87.84,79.11,30.45,71.36,27.58926965325469
52,87.36,88.14,79.45,30.15,71.27499999999999,27.69627953354024
53,86.68,87.24,79.45,30.8,71.0425,27.061875242980978
54,87.04,87.1,79.78,30.35,71.0675,27.36167803699181
55,88.56,87.99,79.42,30.65,71.655,27.654514399400806
56,88.74,88.49,79.34,31.24,71.9525,27.4917677072004
57,88.87,88.59,79.53,31.54,72.13250000000001,27.40722091590706
58,87.46,88.64,78.98,31.89,71.74249999999999,26.91448479288925
59,86.85,88.39,79.86,31.54,71.66000000000001,27.002983785747332
60,89.43,88.59,79.61,31.54,72.2925,27.529465880519126
61,88.91,88.49,80.02,31.64,72.26499999999999,27.391223046808257
62,88.1,87.44,79.65,32.19,71.845,26.7137049720426
63,87.41,87.34,79.87,32.39,71.7525,26.479096629857548
64,86.8,87.89,79.66,32.44,71.69749999999999,26.424958372720287
65,89.65,89.39,79.77,32.14,72.7375,27.452695526426304
66,89.07,89.74,79.88,31.69,72.595,27.638541326681235
67,88.81,88.69,79.72,32.24,72.36500000000001,27.086622159287415
68,88.59,89.84,79.45,32.04,72.48,27.354927648719283
69,88.92,89.39,79.53,32.79,72.65750000000001,26.963520263496754
70,89.41,89.44,79.73,32.79,72.8425,27.08997031498312
71,90.55,89.34,79.71,32.74,73.085,27.330452490460768
72,89.53,89.19,79.67,33.23,72.905,26.84189946085535
73,88.89,88.54,79.61,32.94,72.495,26.717405687429064
74,88.79,89.19,79.53,32.29,72.45,27.14267979891939
75,88.95,89.69,79.5,32.79,72.7325,27.029406671253444
76,89.38,89.79,79.71,32.54,72.855,27.27734163489299
77,88.8,89.24,79.58,32.54,72.54,27.036020417213773
78,89.28,88.94,79.58,32.84,72.66,26.92447213967249
79,89.76,88.79,79.54,33.08,72.7925,26.872709049641177
80,90.03,89.24,79.56,32.89,72.92999999999999,27.114477067918287
81,89.35,89.69,79.68,32.74,72.86500000000001,27.149559235219023
82,88.5,89.59,79.86,33.18,72.7825,26.75805719778624
83,88.82,89.14,79.63,33.08,72.66749999999999,26.7575103164202
84,90.41,89.94,79.25,32.64,73.06,27.435071228872967
85,89.61,89.64,79.7,33.48,73.1075,26.82943579354587
86,88.1,89.14,79.83,33.23,72.575,26.558670272938492
87,88.95,90.03,79.84,33.73,73.13750000000002,26.666247548789713
88,87.83,89.59,79.8,33.53,72.6875,26.450502673232254
89,86.59,89.44,79.93,33.98,72.485,25.977465234314145
90,87.43,89.99,79.59,33.03,72.50999999999999,26.689283742106433
91,88.7,90.33,79.7,34.23,73.24000000000001,26.42342016721782
92,88.65,89.89,79.97,33.93,73.11,26.49019944558113
93,89.13,90.48,79.58,33.83,73.255,26.727342429305114
94,89.12,90.48,79.48,33.63,73.17750000000001,26.815829125101963
95,88.92,90.48,79.15,33.18,72.9325,26.971796844111072
96,89.31,89.74,79.49,32.89,72.8575,27.062241068815172
97,89.95,90.73,79.78,34.03,73.6225,26.862208118470082
98,89.33,90.73,79.88,33.78,73.43,26.868972192226977
99,88.86,90.73,80.12,34.13,73.46000000000001,26.624658996251327
100,88.32,90.63,79.89,33.98,73.205,26.554244481814955
101,87.36,90.73,80.15,33.73,72.9925,26.54441356795563
102,88.12,90.88,79.61,34.23,73.21000000000001,26.4256024844594
103,88.41,90.28,80.02,34.63,73.335,26.18622347724085
104,88.83,90.58,80.26,34.23,73.47500000000001,26.549094774273065
105,87.27,90.53,79.93,34.33,73.015,26.16821672691257
106,87.41,90.73,79.79,34.03,72.99000000000001,26.37401246176496
107,87.8,90.53,79.6,34.48,73.10249999999999,26.163901817835455
108,86.84,89.94,79.86,33.88,72.63,26.17502371855022
109,87.92,90.68,79.46,34.58,73.16,26.159220171862923
110,87.91,90.08,80.15,34.43,73.1425,26.157985874298504
111,87.85,91.03,79.66,34.13,73.16749999999999,26.46207144197143
112,88.96,90.93,80.02,34.43,73.585,26.531508940628814
113,88.98,91.38,79.88,34.38,73.655,26.647748497762432
114,89.39,91.13,79.94,35.27,73.93249999999999,26.239710840632366
115,90.62,91.68,80.06,34.43,74.1975,27.025662341559737
116,88.68,90.63,79.84,34.58,73.43249999999999,26.323709686643078
117,89.02,91.08,79.87,34.78,73.6875,26.391927269526946
118,88.87,91.43,79.61,35.02,73.7325,26.303029451630348
119,87.37,90.33,80.37,35.07,73.285,25.816678717449307
120,89.12,90.88,80.22,34.63,73.7125,26.46950116014026
121,89.58,91.58,79.98,34.78,73.97999999999999,26.619291250269356
122,89.27,90.93,80.03,35.02,73.8125,26.302461703549092
123,89.7,90.53,80.16,35.92,74.0775,25.869794967619413
124,89.13,90.98,80.21,35.37,73.9225,26.128236801080426
125,87.73,90.63,80.33,35.52,73.5525,25.72319365216276
126,87.57,90.63,80.11,35.17,73.37,25.84708365238394
127,87.98,90.83,79.68,34.33,73.205,26.344718003172225
128,89.82,91.58,79.84,35.07,74.0775,26.51386602641468
129,89.42,91.23,80.23,35.27,74.0375,26.289855299462314
130,89.58,90.98,80.09,35.62,74.0675,26.084165535179896
131,88.54,91.33,79.94,36.12,73.9825,25.70290045241328
132,89.41,91.43,80.22,35.97,74.2575,25.98702929668312
133,89.22,91.33,79.86,35.67,74.02000000000001,26.048059428679135
134,87.85,91.18,80.1,35.42,73.6375,25.897719815973502
135,89.73,91.93,79.97,35.57,74.3,26.33795486871877
136,87.54,91.23,80.26,35.42,73.61250000000001,25.86637376337601
137,88.68,91.63,80.29,35.22,73.95500000000001,26.266351732460553
138,89.01,91.23,80.34,35.57,74.03750000000001,26.071874213412432
139,88.81,91.33,80.14,35.52,73.94999999999999,26.06443937628431
140,88.89,92.13,79.83,35.82,74.16749999999999,26.08957694175971
141,87.97,91.23,80.11,35.42,73.6825,25.93182777334962
142,88.73,91.28,80.26,35.22,73.8725,26.19530667250656
143,89.31,91.13,79.94,35.32,73.925,26.199468824132037
144,88.55,91.73,80.15,35.87,74.075,25.934226419926237
145,88.31,91.63,80.02,35.37,73.8325,26.102350309247377
146,88.44,91.93,80.14,35.22,73.9325,26.277799723974862
147,89.16,91.63,80.15,35.62,74.14,26.14963989554477
148,89.59,92.08,79.92,35.57,74.29,26.340775741550715
149,87.07,91.18,79.83,36.02,73.52499999999999,25.439759563853322
150,88.4,90.98,80.07,36.57,74.005,25.38720215646721
151,89.03,92.33,80.1,36.37,74.45750000000001,25.91189865036267
152,88.33,91.53,80.31,36.07,74.06,25.762611151304778
153,89.0,91.48,80.18,35.77,74.1075,26.014287580737886
154,89.23,91.78,80.02,36.22,74.3125,25.89246656848281
155,88.62,91.73,79.88,36.42,74.16250000000001,25.65685402252843
156,89.34,92.13,80.21,36.07,74.4375,26.07997875126946
157,89.91,92.38,80.09,35.87,74.5625,26.33547591494535
158,89.32,92.23,80.06,36.12,74.4325,26.063416730480036
159,89.07,92.38,79.8,36.32,74.3925,25.934118293604403
160,88.18,91.33,80.01,35.17,73.6725,26.107861363964684
161,89.19,91.58,80.16,36.32,74.31249999999999,25.801355746032673
162,88.56,91.68,80.24,36.42,74.22500000000001,25.661693241093815
163,89.19,91.33,80.36,36.27,74.2875,25.785893268736427
164,89.45,91.98,80.04,35.82,74.3225,26.177349464756745
165,89.38,91.98,79.81,36.07,74.31,26.024868875750364
