epoch,local_time_s,peak_vram_mb
0,45.39,1220.9
1,62.39,1227.26
2,62.38,1226.45
3,62.61,1220.65
4,61.88,1224.26
5,62.45,1224.26
6,62.41,1221.76
7,61.41,1221.4
8,61.82,1222.88
9,61.86,1224.26
10,61.23,1222.01
11,61.72,1219.51
12,61.25,1222.51
13,62.33,1231.58
14,61.5,1230.38
15,61.22,1228.65
16,63.13,1227.51
17,61.56,1223.65
18,61.64,1223.4
19,62.04,1224.76
20,60.66,1224.4
21,61.8,1224.51
22,61.74,1228.02
23,61.57,1224.51
24,62.13,1223.76
25,61.15,1218.26
26,61.27,1217.38
27,62.11,1220.83
28,61.1,1222.51
29,62.69,1224.27
30,62.31,1223.38
31,62.89,1223.26
32,63.0,1223.27
33,61.96,1220.26
34,61.28,1221.4
35,61.99,1221.4
36,61.77,1225.01
37,62.38,1220.01
38,61.78,1222.95
39,62.2,1221.4
40,62.17,1224.65
41,61.36,1220.9
42,61.7,1225.77
43,62.12,1222.88
44,62.06,1224.76
45,62.26,1217.2
46,61.99,1222.26
47,61.24,1220.76
48,61.48,1222.26
49,60.51,1228.15
50,61.44,1220.01
51,62.15,1216.51
52,61.88,1219.01
53,62.84,1223.65
54,62.16,1225.9
55,62.48,1224.88
56,63.19,1228.27
57,61.86,1221.02
58,63.59,1221.4
59,62.56,1222.65
60,61.73,1226.15
61,63.07,1219.4
62,62.42,1218.7
63,62.08,1219.15
64,61.41,1221.51
65,62.26,1225.15
66,62.34,1219.52
67,62.0,1223.76
68,61.02,1222.51
69,62.41,1218.27
70,61.21,1219.15
71,61.76,1221.65
72,61.82,1225.26
73,61.68,1223.26
74,62.69,1219.26
75,62.16,1222.9
76,61.4,1217.65
77,62.4,1221.88
78,62.23,1221.15
79,61.69,1225.65
80,62.02,1228.65
81,61.61,1226.26
82,62.9,1219.26
83,62.72,1223.4
84,61.93,1224.02
85,62.89,1218.83
86,62.36,1221.52
87,62.19,1219.77
88,63.03,1220.02
89,61.87,1219.15
90,62.84,1221.52
91,62.15,1215.65
92,61.86,1227.9
93,62.65,1226.7
94,61.91,1223.95
95,62.48,1221.65
96,61.42,1218.26
97,61.53,1226.02
98,62.47,1223.76
99,61.66,1220.4
100,61.95,1226.52
101,62.52,1221.02
102,61.26,1221.45
103,62.5,1221.76
104,61.39,1224.15
105,61.55,1227.02
106,62.19,1228.52
107,61.31,1224.01
108,61.33,1227.15
109,61.63,1229.51
110,61.1,1225.02
111,61.91,1219.76
112,61.96,1224.02
113,61.39,1226.7
114,62.1,1224.02
115,61.09,1224.27
116,62.23,1224.02
117,61.89,1221.15
118,61.31,1225.65
119,61.27,1223.15
120,61.4,1224.15
121,61.19,1221.77
122,62.38,1221.77
123,61.94,1220.02
124,61.82,1222.26
125,61.36,1225.15
126,60.88,1225.01
127,62.29,1218.52
128,62.22,1219.4
129,61.59,1219.76
130,61.31,1219.83
131,62.33,1221.13
132,62.15,1223.9
133,61.51,1223.15
134,62.19,1224.4
135,62.92,1226.65
136,62.67,1218.51
137,61.46,1224.9
138,62.23,1227.63
139,61.56,1222.95
140,62.18,1227.13
141,61.16,1228.45
142,60.99,1228.7
143,61.51,1225.9
144,60.84,1218.95
145,61.43,1221.76
146,61.59,1221.33
147,61.02,1221.77
148,61.95,1221.08
149,61.14,1219.26
150,61.02,1224.77
151,61.48,1227.01
152,60.55,1221.65
153,62.11,1220.15
154,61.93,1224.76
155,60.61,1221.26
156,61.88,1223.4
157,61.46,1217.9
158,60.5,1226.13
159,60.91,1222.95
160,60.56,1228.51
161,61.98,1226.4
162,61.61,1222.76
163,61.12,1225.15
164,61.68,1222.65
165,61.58,1222.02
166,61.2,1224.2
167,61.51,1221.15
168,60.88,1227.27
169,62.13,1227.9
170,61.73,1224.51
171,61.24,1222.4
172,62.21,1219.02
173,61.39,1219.65
174,61.13,1223.76
175,62.54,1225.02
176,61.87,1220.88
177,63.52,1224.76
178,62.71,1227.9
179,62.42,1226.76
180,62.61,1229.15
181,61.77,1226.9
182,62.21,1221.01
183,61.68,1222.15
184,61.69,1222.27
185,60.97,1226.27
186,61.38,1225.15
187,61.88,1226.52
188,62.12,1223.02
189,62.0,1225.77
190,61.79,1222.65
191,61.43,1220.4
192,61.13,1225.4
193,61.62,1218.9
194,61.52,1217.9
195,61.11,1223.58
196,61.4,1224.02
197,60.87,1224.63
198,61.78,1222.26
199,62.18,1223.15
