epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.3,20.38,16.99,11.0,20.417499999999997,9.423326995635174
1,51.51,47.09,11.14,10.9,30.16,22.174725853247132
2,46.46,25.71,18.92,12.59,25.92,14.704019858528484
3,50.92,43.7,20.31,13.28,32.0525,18.091801780548746
4,54.28,55.8,19.99,13.33,35.85,22.33351293460122
5,54.44,59.69,22.75,14.48,37.839999999999996,22.55644918864669
6,55.8,66.17,24.14,15.77,40.470000000000006,24.30540269158279
7,58.21,70.45,25.96,16.67,42.822500000000005,25.6147813771658
8,60.11,74.89,29.2,18.71,45.7275,26.20694103349976
9,60.92,75.49,34.89,20.95,48.0625,24.672423708802235
10,64.1,77.78,41.6,22.44,51.48,24.439656298728917
11,61.57,77.78,49.52,23.98,53.2125,22.668505869009834
12,65.16,80.92,56.84,24.88,56.949999999999996,23.597047837953514
13,69.94,82.61,63.24,25.77,60.39000000000001,24.43766082641026
14,71.57,83.81,65.79,27.31,62.120000000000005,24.39237312494761
15,70.32,84.7,68.85,26.87,62.684999999999995,24.924384980710492
16,72.26,85.0,70.63,28.61,64.125,24.532795057500753
17,73.46,85.75,70.57,29.55,64.8325,24.42505049465951
18,74.56,85.1,72.72,29.15,65.3825,24.76313977803838
19,74.27,85.1,73.66,29.65,65.67,24.58160152092075
20,79.53,86.5,74.43,30.95,67.8525,25.094164494293622
21,79.37,87.49,75.8,32.09,68.6875,24.883826574705104
22,82.57,89.24,76.03,33.98,70.455,24.90753366620897
23,83.67,88.99,76.45,33.53,70.66,25.281152399894008
24,78.96,86.8,76.7,32.29,68.6875,24.647955121402397
25,81.59,88.69,77.58,33.88,70.435,24.799180766038756
26,82.78,88.84,77.52,34.18,70.83,24.867255578370525
27,82.87,89.39,78.19,35.02,71.36749999999999,24.66309844686997
28,85.96,90.38,78.41,37.26,73.0025,24.33544517091616
29,82.87,89.39,78.48,36.92,71.915,23.756661521911422
30,84.53,90.43,78.64,37.46,72.765,24.023780579528555
31,81.58,88.94,78.85,37.46,71.7075,23.22593288402714
32,84.72,90.33,79.31,37.41,72.9425,24.111810902543176
33,84.18,90.38,79.18,38.06,72.95,23.706840081855418
34,81.69,89.84,79.66,37.56,72.1875,23.500427478381464
35,84.8,90.33,79.3,38.56,73.2475,23.559339796918472
36,83.28,90.78,79.44,38.36,72.965,23.54573634440002
37,83.15,89.69,79.56,38.71,72.7775,23.095585977988666
38,84.12,90.68,79.79,39.2,73.4475,23.266426992557324
39,84.9,91.03,79.49,40.0,73.855,23.057080618904614
40,84.42,91.03,79.73,39.85,73.75750000000001,23.075365472006432
41,84.41,91.98,79.92,39.45,73.94,23.52575184770935
42,85.86,92.48,80.06,41.09,74.8725,23.08619121899496
43,86.03,91.58,80.04,40.7,74.5875,23.077899059489795
44,85.58,90.93,80.05,41.0,74.39,22.698864876170937
45,85.99,91.23,80.42,42.39,75.0075,22.18844500334953
46,84.4,90.93,80.22,41.14,74.1725,22.458360544201206
47,84.74,90.63,80.16,42.09,74.405,21.965443314442798
48,85.53,91.68,80.55,41.89,74.9125,22.48071228853748
49,83.79,91.38,81.0,43.33,74.875,21.482511491908948
50,83.79,90.58,80.85,42.49,74.4275,21.678038618226818
51,84.88,91.08,80.69,42.84,74.8725,21.777338948243113
52,84.95,91.18,80.47,42.64,74.81,21.891710760011428
53,84.74,91.38,80.63,43.98,75.1825,21.26794203333584
54,84.33,91.23,80.93,42.99,74.87,21.68101473640014
