epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.14,21.23,17.26,10.55,20.545,9.48322202629465
1,30.09,41.5,12.38,11.64,23.9025,14.503954345855707
2,63.52,20.33,19.91,12.99,29.187499999999996,23.134439514858943
3,79.6,46.84,23.29,13.73,40.864999999999995,29.333085415618996
4,82.49,58.99,26.56,15.22,45.815,30.6890061748503
5,82.89,63.58,31.36,16.52,48.5875,30.147127419816748
6,83.09,66.77,35.42,17.06,50.58500000000001,29.846452050453163
7,82.35,70.2,41.1,17.41,52.765,29.24209123848703
8,82.92,73.89,45.83,18.71,55.3375,29.08009556953576
9,84.13,77.33,49.2,20.45,57.77749999999999,29.118552362139614
10,84.66,79.12,54.13,22.09,60.0,28.550043782803556
11,85.79,80.27,57.23,23.28,61.6425,28.409136294509203
12,86.72,82.16,61.43,25.67,63.995000000000005,27.819523719862637
13,87.88,84.01,63.48,27.76,65.7825,27.516984300609685
14,89.01,85.4,66.57,30.55,67.88250000000001,26.76236334232586
15,89.05,85.5,68.52,31.59,68.66499999999999,26.290315707499595
16,90.38,87.59,70.74,34.48,70.7975,25.7191658431347
17,90.76,87.89,72.12,36.57,71.83500000000001,24.89725620759578
18,91.2,88.69,74.21,36.82,72.72999999999999,25.083733108663605
19,91.5,89.44,75.28,39.35,73.89250000000001,24.130604875689848
20,92.51,89.49,76.46,39.9,74.58999999999999,24.152497455404756
21,92.38,90.33,77.79,41.89,75.5975,23.378775809125106
22,92.86,90.33,78.29,42.99,76.1175,22.98156852059203
23,93.32,90.48,78.91,44.58,76.8225,22.380283547503744
24,93.34,90.78,79.43,44.93,77.12,22.2951130669182
25,93.32,90.68,80.35,45.22,77.39250000000001,22.1664872799759
26,93.63,91.43,80.67,45.82,77.8875,22.115548640417373
27,94.04,91.58,81.01,47.61,78.56,21.393580033894903
28,94.13,91.88,81.14,48.61,78.94,20.999433325687622
29,94.39,91.78,81.8,48.96,79.2325,20.89821264287132
30,94.58,91.88,81.68,50.35,79.6225,20.290274147975428
31,93.79,92.03,82.16,50.0,79.495,20.318550637287103
32,93.97,92.18,82.36,50.7,79.8025,20.061712082139618
33,93.85,92.18,82.31,51.34,79.92000000000002,19.722077307761808
34,94.23,92.18,82.76,51.64,80.2025,19.685768759859666
35,95.0,92.68,82.59,51.79,80.515,19.89332970285937
36,94.61,92.83,83.04,52.04,80.63000000000001,19.727109942073792
37,94.92,92.83,82.94,53.28,80.9925,19.199627383537074
38,94.81,92.63,82.98,52.89,80.8275,19.321373959081345
39,94.93,92.68,83.43,52.84,80.97,19.402355527100315
40,94.7,92.63,83.15,53.58,81.015,18.968613549756345
41,95.01,93.12,83.24,54.28,81.4125,18.810191165075032
42,94.72,92.78,84.04,54.13,81.4175,18.775410115360994
43,95.08,93.02,83.75,55.27,81.78,18.347466673449315
44,95.61,93.17,83.46,54.93,81.7925,18.661415407197815
45,95.46,93.12,83.71,55.62,81.97749999999999,18.29073057589554
46,94.78,93.07,83.95,55.32,81.78,18.269324015956364
47,94.98,92.97,84.04,56.32,82.0775,17.817793307066207
48,95.37,93.17,83.85,56.87,82.315,17.683026701708435
49,95.11,93.07,84.51,56.37,82.265,17.863679165651554
50,95.15,93.12,84.36,56.82,82.3625,17.660249856669644
51,95.5,93.32,84.24,57.61,82.6675,17.402105954931624
52,95.49,93.02,84.62,57.71,82.71,17.303878178027027
53,95.4,93.27,84.5,58.06,82.8075,17.159431565954236
54,95.54,93.37,84.62,57.96,82.8725,17.266050262485244
55,95.5,93.52,84.73,57.76,82.8775,17.38688083009716
56,95.64,93.57,84.64,57.86,82.9275,17.379899069518977
57,95.69,93.47,84.88,58.01,83.01249999999999,17.30790643029942
58,96.07,93.37,84.6,57.66,82.92499999999998,17.540571066340267
59,95.77,93.52,84.96,57.71,82.99,17.484932561112913
60,95.55,93.52,85.05,58.26,83.095,17.169807803234143
61,95.63,93.62,85.23,57.66,83.035,17.506045622393806
62,95.88,93.62,84.95,58.86,83.3275,16.978337914334645
63,95.67,93.52,84.6,58.96,83.18749999999999,16.847752322886674
64,95.73,93.67,84.71,59.25,83.34,16.757346647565264
65,96.05,93.77,84.96,58.46,83.30999999999999,17.243010178040258
66,96.21,93.77,84.8,59.7,83.61999999999999,16.68421809175765
67,95.74,93.97,85.25,59.45,83.60249999999999,16.741778828228895
68,96.21,94.02,85.15,59.75,83.7825,16.720050588041488
69,96.42,93.82,84.74,60.45,83.8575,16.38859028918188
70,96.36,93.82,85.46,60.5,84.035,16.366415816135998
71,96.13,93.97,85.3,60.55,83.9875,16.31083152386781
72,96.14,93.97,85.32,60.6,84.00750000000001,16.289901524154978
73,96.09,93.77,85.34,60.75,83.98750000000001,16.165585616776564
74,95.99,93.67,85.58,60.45,83.9225,16.272101636441022
75,95.88,94.07,85.58,60.75,84.07,16.18207444468518
76,95.94,94.07,85.36,60.85,84.055,16.142371779471148
77,95.93,94.17,85.38,61.04,84.13000000000001,16.07018149658968
78,96.19,94.17,84.95,61.49,84.2,15.910872592873925
79,95.95,93.82,85.23,61.0,84.0,16.018195903409346
80,96.02,94.27,85.35,61.74,84.345,15.777698395731443
81,96.24,94.22,85.14,61.59,84.29749999999999,15.889406061901743
82,96.39,94.22,85.43,61.29,84.33250000000001,16.075937245875693
83,96.58,94.32,85.29,61.39,84.395,16.093589821209353
84,96.48,94.12,85.41,62.09,84.525,15.696055767824816
85,96.3,94.22,85.68,61.39,84.3975,16.011879704352847
86,96.35,93.97,85.34,61.99,84.4125,15.67884429201761
87,96.41,94.12,85.63,62.19,84.58749999999999,15.635162028794799
88,96.52,94.57,85.64,62.29,84.755,15.707841990547267
89,96.32,94.12,85.83,61.29,84.39,16.04869049694294
90,96.68,94.32,85.53,61.69,84.55499999999999,15.980505832628287
91,96.55,94.47,85.7,62.29,84.7525,15.695779422082442
92,96.4,94.47,85.89,62.34,84.775,15.638692400581322
93,96.69,94.72,85.29,61.74,84.61,16.03784898295279
94,96.37,94.62,85.57,62.59,84.7875,15.536770095486384
95,96.52,94.32,85.69,62.19,84.67999999999999,15.704939774903096
96,96.42,94.42,85.74,61.99,84.6425,15.797143992929017
97,96.71,94.67,85.71,61.59,84.66999999999999,16.111379001604213
98,96.51,94.62,85.89,61.89,84.72749999999999,15.912172227574715
99,96.63,94.57,85.85,62.34,84.8475,15.71567025826982
100,96.67,94.42,85.8,63.03,84.97999999999999,15.364944950546791
101,96.19,94.22,86.04,62.64,84.7725,15.395547787158035
102,96.64,94.77,85.81,62.64,84.965,15.615839181207436
103,96.56,94.57,85.84,63.23,85.05000000000001,15.273582858430215
104,96.63,94.62,85.84,62.84,84.98250000000002,15.487320351392832
105,96.54,94.52,86.07,62.69,84.955,15.520684048499067
106,96.5,94.67,85.86,61.74,84.69250000000001,15.991121234401712
107,96.58,94.82,85.89,62.59,84.97,15.636766502914424
108,96.63,94.67,85.64,62.34,84.82,15.73235943313441
109,96.65,94.52,85.76,62.64,84.8925,15.565494691785418
110,96.62,94.52,85.84,62.24,84.805,15.750406343964588
111,96.68,94.82,85.89,62.64,85.0075,15.637735076836842
112,96.62,94.82,85.48,62.54,84.86500000000001,15.663821372832366
113,96.51,94.67,86.1,62.54,84.955,15.616684453920858
114,96.6,94.67,86.21,63.13,85.15249999999999,15.359436567357104
115,96.77,94.87,86.08,62.54,85.065,15.722074714659428
116,96.82,94.77,85.92,62.39,84.975,15.782071051248836
117,96.72,94.57,86.08,63.03,85.1,15.413744948367782
118,96.75,94.67,85.83,63.13,85.095,15.389618795365486
119,96.75,94.92,86.2,61.94,84.9525,16.017318491765927
120,96.78,94.92,86.08,62.29,85.0175,15.85437978393773
121,96.76,95.12,86.47,62.29,85.16000000000001,15.900886767724625
122,96.9,94.87,85.92,62.94,85.1575,15.560823403663449
123,96.89,94.97,86.01,62.89,85.19,15.604495078876043
