epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,29.84,15.74,18.4,9.65,18.4075,8.455993436610509
1,52.52,23.07,20.0,12.19,26.945,17.654454584230766
2,52.87,34.53,23.21,12.94,30.887500000000003,17.103166129891466
3,50.75,48.73,27.97,13.68,35.2825,17.70329041920362
4,50.88,51.52,29.79,15.12,36.8275,17.645436378848785
5,52.14,53.21,34.1,15.97,38.855,17.596311166453802
6,53.73,60.94,32.47,17.26,41.099999999999994,19.966346686362026
7,56.5,66.57,41.28,18.06,45.6025,21.10027547213543
8,60.08,71.75,47.66,18.66,49.537499999999994,22.814355677949795
9,63.86,74.79,52.57,20.05,52.8175,23.65373737206589
10,65.64,76.08,57.17,20.95,54.959999999999994,23.95607786484813
11,65.05,76.98,61.66,22.14,56.457499999999996,23.80308715972223
12,66.85,78.48,65.49,22.69,58.3775,24.495435459148982
13,69.1,80.17,68.37,24.38,60.504999999999995,24.681032528374228
14,71.57,81.37,69.89,25.27,62.025,25.02081999722098
15,72.74,82.61,70.86,25.32,62.88249999999999,25.566426389570626
16,74.27,81.81,71.15,26.52,63.4375,25.015170563746583
17,73.69,81.27,71.55,25.47,62.995,25.361863101909528
18,76.09,81.37,73.35,26.07,64.22,25.650203378011128
19,75.76,82.76,73.69,26.57,64.69500000000001,25.711243325310686
20,79.48,82.11,74.55,26.67,65.7025,26.209666632752125
21,80.06,83.41,74.91,26.82,66.3,26.551159422267542
22,80.14,84.11,75.53,27.66,66.86,26.367466064577894
23,81.98,84.75,75.88,28.36,67.7425,26.515163429001657
24,80.19,83.56,76.69,28.21,67.1625,26.119368771086332
25,85.39,84.55,76.79,29.3,69.00750000000001,26.753245753241483
26,83.12,82.91,76.48,28.36,67.7175,26.418700920623127
27,84.63,85.15,77.12,29.5,69.1,26.653728944871236
28,82.33,85.4,77.78,29.75,68.815,26.23078916083159
29,83.01,86.1,77.84,30.4,69.3375,26.18103687149664
30,84.11,85.4,77.41,30.6,69.38,26.0894780834471
31,82.84,84.3,77.72,30.85,68.9275,25.541309513544263
32,85.44,84.95,77.94,30.8,69.7825,26.213167651646632
33,87.31,86.1,77.8,31.09,70.57499999999999,26.66053075240626
34,84.86,86.45,78.25,31.44,70.25,26.115820237294226
35,83.51,85.5,78.31,31.44,69.69,25.679534004079336
36,88.15,86.95,78.15,31.84,71.27250000000001,26.6636836352369
37,86.08,87.05,78.03,32.79,70.9875,25.78393088081541
38,87.31,86.55,78.1,31.69,70.91250000000001,26.4793886825206
39,87.89,86.5,77.96,32.09,71.10999999999999,26.381201640562164
40,87.58,86.95,78.5,32.54,71.3925,26.23041666335732
41,88.34,87.44,78.68,32.34,71.7,26.599293223692992
42,86.44,87.05,79.44,32.29,71.305,26.238150976520174
43,87.67,86.9,79.33,33.33,71.80749999999999,25.926231729016592
44,87.25,86.6,79.5,32.74,71.5225,26.092195991649813
45,87.74,86.65,79.21,33.98,71.895,25.559280767136883
46,86.42,87.34,79.28,33.18,71.55499999999999,25.83570333214613
47,88.59,87.1,78.85,34.63,72.2925,25.471129244695845
48,90.44,87.49,79.5,34.38,72.9525,26.126991630623422
49,88.95,87.19,79.47,34.08,72.4225,25.891130237979183
50,87.92,87.39,79.52,33.68,72.1275,25.917859190141456
51,87.63,87.24,79.66,33.78,72.0775,25.793891234166274
52,88.44,87.59,79.49,34.78,72.57499999999999,25.51749530550886
53,88.69,88.19,79.65,35.22,72.9375,25.484946373627444
54,86.95,87.29,79.95,34.13,72.08,25.525153607112077
55,89.05,88.09,79.26,34.53,72.73249999999999,25.84668176639573
56,87.78,88.04,79.63,34.63,72.52,25.56000912884553
57,88.57,87.59,79.98,35.07,72.8025,25.44629819181302
58,89.56,89.39,80.11,36.12,73.795,25.50179144034134
59,87.66,88.29,80.19,35.17,72.8275,25.373120127410424
60,87.7,88.09,79.93,35.07,72.6975,25.364948748223405
61,88.37,88.09,80.07,35.57,73.02499999999999,25.264812816774768
62,87.43,87.44,79.4,34.98,72.3125,25.17490996342721
63,88.48,87.94,79.55,35.57,72.885,25.210371542945044
64,89.8,89.09,79.66,36.22,73.6925,25.40560223651469
65,90.59,88.44,79.4,36.07,73.625,25.501791440341336
66,89.87,88.49,79.07,35.42,73.2125,25.647986763097016
67,88.55,88.39,80.01,35.82,73.1925,25.232247059401324
68,92.15,89.39,80.08,36.97,74.64750000000001,25.643614377332486
69,90.35,88.89,79.77,36.32,73.8325,25.442730952736444
70,88.95,89.14,79.9,36.62,73.6525,25.06201292128521
71,89.07,88.24,79.53,36.72,73.39000000000001,24.824540277717126
72,91.6,90.33,80.17,37.46,74.89,25.4722136192885
73,91.23,89.39,79.82,37.26,74.425,25.27648775707047
74,89.83,88.99,80.29,37.76,74.2175,24.684688067707075
75,89.56,88.64,79.34,37.06,73.64999999999999,24.826279087558277
76,89.79,90.03,80.15,37.16,74.2825,25.17256360272695
77,88.67,89.19,80.1,37.31,73.81750000000001,24.69262963585153
78,89.71,89.29,79.72,37.01,73.9325,25.0436184486188
79,89.45,89.09,79.53,38.01,74.02000000000001,24.442244850531498
80,90.72,90.53,79.94,38.86,75.0125,24.622495642535235
81,91.13,90.63,80.15,38.21,75.02999999999999,25.063232034197025
82,91.41,89.59,79.59,37.66,74.5625,25.144477690605015
83,90.58,88.84,79.76,37.91,74.27250000000001,24.70148899020732
84,91.85,90.08,79.83,38.26,75.005,25.06315556083604
85,89.13,89.14,80.11,37.71,74.0225,24.579331934235586
86,87.49,89.54,80.71,38.16,73.975,24.172980094863494
87,89.69,89.14,80.21,38.61,74.4125,24.26060781733769
88,90.53,89.44,80.01,39.0,74.745,24.29358282894202
89,86.83,87.79,80.66,37.26,73.135,24.124422618306678
90,89.49,88.54,80.57,38.46,74.265,24.202804933863895
91,89.59,89.59,80.82,39.0,74.75,24.189244166226718
92,90.01,90.33,80.34,39.5,75.045,24.145851955701765
93,90.5,90.63,79.91,39.5,75.13499999999999,24.281900666957682
94,86.84,88.99,79.99,37.81,73.4075,24.039950603110647
95,88.96,90.18,79.82,38.86,74.455,24.176144578213183
96,90.62,90.03,79.87,38.46,74.74499999999999,24.688146278460575
97,91.01,90.88,79.73,39.7,75.33,24.334624166675212
98,89.84,90.48,80.08,39.7,75.02499999999999,24.02602685977577
99,86.36,89.64,80.7,38.61,73.8275,23.766939748314254
100,87.93,89.24,80.08,38.56,73.9525,23.939183187123714
101,87.69,89.89,80.11,38.76,74.1125,23.937747561818203
102,90.29,91.38,80.27,39.3,75.31,24.521874588483918
103,88.25,90.58,80.7,39.05,74.645,24.10177932573997
104,89.02,90.13,80.36,40.3,74.9525,23.51090438498698
105,89.2,90.53,79.64,39.9,74.8175,23.778332398775714
106,88.73,90.73,79.96,39.85,74.81750000000001,23.776295443150936
107,87.61,89.79,79.99,39.4,74.19749999999999,23.57569564191055
108,89.43,89.74,79.73,39.65,74.6375,23.783483589808007
109,88.84,90.93,79.99,39.55,74.8275,23.99162405924201
110,89.28,90.98,80.29,39.0,74.8875,24.380403845438384
111,91.77,92.08,79.59,39.4,75.71,24.895588631991277
112,90.1,91.23,79.82,40.25,75.35,23.956403458504923
113,88.23,91.03,79.72,39.6,74.64500000000001,23.853218510996232
114,89.13,91.38,80.16,39.7,75.09249999999999,24.087636351456318
115,88.22,90.28,80.99,39.45,74.735,23.85825154253066
116,90.23,90.68,81.68,40.3,75.72250000000001,23.975262772282605
117,90.97,91.08,81.32,40.75,76.03,23.96086114200962
118,90.89,91.13,80.85,41.09,75.99000000000001,23.75471321653873
119,87.91,90.88,80.11,40.35,74.8125,23.419624783501547
120,88.94,90.93,79.92,40.35,75.03500000000001,23.614349451128227
121,89.84,91.48,80.14,40.6,75.515,23.808504782955186
122,89.75,90.53,80.18,40.05,75.12750000000001,23.853813636397852
123,91.27,91.68,80.19,40.7,75.96,24.101694269628986
124,88.81,90.58,80.6,39.9,74.9725,23.78248287430618
125,90.85,91.48,80.19,40.65,75.79249999999999,23.99416092163536
126,90.15,91.43,80.13,40.5,75.55250000000001,23.908250145085905
127,90.82,90.68,79.95,40.1,75.3875,24.06966746065817
128,90.59,90.88,80.02,40.0,75.3725,24.116853546845615
129,90.42,90.93,79.86,40.9,75.5275,23.642178939344827
130,90.41,90.83,81.08,41.39,75.9275,23.46070810951792
131,89.91,91.28,80.68,41.0,75.7175,23.61884611209165
