epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,29.64,16.09,18.36,9.55,18.41,8.366548471940705
1,53.82,22.22,19.91,11.89,26.959999999999997,18.445727599275305
2,53.22,33.83,22.91,12.74,30.674999999999997,17.322341065802856
3,50.85,48.38,27.72,14.03,35.245,17.538016801603693
4,50.39,51.77,30.07,14.88,36.777499999999996,17.649988432479685
5,51.7,53.06,35.08,15.47,38.8275,17.586755196264416
6,53.36,61.29,31.64,16.57,40.715,20.400680544204075
7,55.98,67.02,39.0,17.86,44.965,21.43218374314666
8,57.46,71.2,45.16,19.25,48.2675,22.07618230129476
9,63.28,74.19,51.99,21.0,52.615,22.94283984165866
10,65.37,76.13,57.05,20.4,54.737500000000004,24.187466968108367
11,66.35,77.28,59.92,22.24,56.447500000000005,23.904419919058206
12,65.66,77.93,62.34,22.84,57.1925,23.86303609490349
13,69.16,80.12,67.47,24.43,60.295,24.558757433279617
14,71.16,81.37,68.29,25.27,61.5225,24.811606658981194
15,72.54,81.76,71.0,25.07,62.5925,25.46219337894257
16,73.48,81.56,71.29,25.42,62.937500000000014,25.398614627573686
17,72.0,80.12,71.96,25.47,62.387499999999996,24.909009581541643
18,74.99,81.17,73.15,25.42,63.682500000000005,25.737940056137617
19,76.21,82.06,73.91,26.07,64.5625,25.889992114071156
20,79.37,81.96,74.55,26.52,65.6,26.23363871063258
21,80.22,84.11,74.6,26.57,66.375,26.822272461519734
22,80.98,85.0,76.14,26.82,67.235,27.185728486346164
23,82.34,86.15,76.09,28.31,68.2225,26.92956414426346
24,80.03,84.4,76.27,28.96,67.41499999999999,25.851025124741188
25,83.96,85.9,76.69,28.46,68.7525,27.1526197324187
26,82.83,85.3,77.17,28.51,68.4525,26.844918047928545
27,81.72,86.2,77.16,28.81,68.4725,26.69798416235453
28,82.93,86.95,77.34,29.1,69.08,26.943072084180255
29,81.65,86.65,77.42,29.7,68.855,26.374528747764703
30,84.4,86.4,77.87,29.85,69.63000000000001,26.768960881339172
31,81.39,86.15,78.22,30.4,69.04,25.9653397179137
32,84.86,87.0,78.84,30.7,70.35000000000001,26.65811446195448
33,86.34,87.34,78.23,30.9,70.7025,26.846725902177845
34,83.49,86.7,78.81,30.7,69.925,26.349912713327914
35,87.09,87.39,78.28,31.14,70.97500000000001,26.890740041880587
36,84.73,87.34,78.53,31.34,70.485,26.35693520372453
37,85.51,87.54,78.29,31.99,70.83250000000001,26.19747872728723
38,86.53,86.85,78.33,31.59,70.82499999999999,26.452207847361244
39,84.8,86.4,78.14,32.24,70.395,25.68691690335763
40,85.88,88.69,78.75,31.99,71.3275,26.556631783166075
41,86.59,88.34,78.92,31.54,71.34750000000001,26.851807356923544
42,86.57,86.85,78.86,31.94,71.05499999999999,26.338175715109802
43,87.91,88.14,78.82,31.79,71.665,26.935325627633805
44,86.56,87.99,79.68,32.39,71.655,26.42683043171592
45,88.42,88.39,79.24,33.43,72.37,26.317062906031133
46,85.5,87.14,78.93,32.94,71.1275,25.704299737592542
47,88.23,88.14,79.08,33.48,72.2325,26.189139447488532
48,89.29,88.29,79.27,33.98,72.70750000000001,26.20864536115262
49,89.24,88.94,79.26,33.68,72.78,26.4756340811698
50,87.16,87.79,79.43,32.99,71.8425,26.17909773718975
51,87.61,88.29,79.64,33.88,72.355,25.94889914171055
52,88.84,89.44,79.33,34.43,73.01,26.13358375730355
53,86.59,89.09,79.71,33.88,72.3175,25.930107822118032
54,86.36,88.19,80.17,33.88,72.15,25.743083213425177
55,88.15,89.39,79.73,34.18,72.86250000000001,26.14296766500187
56,89.23,89.49,79.82,35.07,73.40249999999999,25.9479111233769
57,88.43,88.64,79.69,35.97,73.1825,25.156432411346938
58,86.66,88.79,80.1,35.27,72.705,25.229179534816424
59,87.84,89.24,80.22,35.12,73.10499999999999,25.631633450354535
60,86.7,88.64,80.11,35.67,72.78,25.00791208131272
61,86.78,88.64,79.76,34.93,72.5275,25.354996056004428
62,86.9,87.99,79.36,35.07,72.33,25.13463082415707
63,87.45,88.94,79.9,35.27,72.88999999999999,25.390290795236407
64,88.22,89.74,79.77,35.47,73.29999999999998,25.598501258211712
65,87.69,89.29,79.39,35.52,72.9725,25.342583892202732
66,89.36,90.33,79.51,36.37,73.8925,25.488097058561802
67,87.49,89.34,80.41,36.02,73.315,25.15940712073054
68,89.18,90.18,79.92,36.47,73.9375,25.401814075639038
69,88.31,90.03,79.78,36.27,73.5975,25.28537307746648
70,87.95,90.03,80.06,36.27,73.5775,25.239690139408076
71,86.96,89.54,79.46,36.22,73.04499999999999,24.919504409197224
72,88.3,90.78,79.9,36.67,73.91250000000001,25.261081231807953
73,89.67,89.69,79.14,36.12,73.655,25.51184626795952
74,87.59,90.23,80.04,37.61,73.8675,24.554323957299253
75,87.92,89.94,79.35,36.12,73.33250000000001,25.229510994072
76,88.27,91.03,80.03,36.87,74.05000000000001,25.22328025191543
77,88.56,90.38,80.24,36.97,74.0375,25.102794499152214
78,88.28,89.74,79.31,37.91,73.81,24.373522519324123
79,86.8,90.18,79.02,37.66,73.41499999999999,24.290323862257033
80,89.18,91.43,79.18,38.01,74.45,24.86992695338422
81,88.18,90.63,79.75,38.26,74.205,24.412232589421233
82,90.06,90.08,79.17,37.66,74.2425,24.923745538475288
83,89.28,89.34,78.9,37.51,73.7575,24.658256730758566
84,89.93,91.13,79.33,37.66,74.51249999999999,25.13401198243793
85,88.95,90.83,79.92,36.87,74.1425,25.30054989520979
86,86.18,88.94,80.56,36.97,73.1625,24.378985998874796
87,87.28,89.84,80.39,37.61,73.78,24.441321568196756
88,88.47,90.48,80.42,38.11,74.37,24.561027394363347
89,87.74,89.89,80.39,39.0,74.255,23.85268468467788
90,88.51,90.53,80.26,38.06,74.34,24.591257254018824
91,88.73,90.63,80.17,37.96,74.3725,24.697673810840296
92,88.61,91.13,79.87,38.51,74.53,24.493280711248136
93,89.29,91.78,79.7,38.46,74.80749999999999,24.784981171400286
94,87.74,90.53,79.59,38.56,74.105,24.146953569066774
95,88.07,91.23,79.7,39.05,74.5125,24.136968015887994
96,86.53,89.89,79.13,38.16,73.42750000000001,23.93744956478586
97,89.45,91.13,79.81,38.66,74.76249999999999,24.579703517333158
98,88.51,90.98,79.97,39.35,74.70250000000001,24.03573641476375
99,85.62,90.98,80.34,38.76,73.92500000000001,23.842367751546828
100,88.47,91.23,79.87,38.06,74.4075,24.709850093973994
101,87.45,91.08,79.6,37.91,74.00999999999999,24.53892554018343
102,88.34,91.88,80.03,38.91,74.78999999999999,24.43019033900473
103,86.65,91.03,80.23,39.3,74.30250000000001,23.75275615586537
104,88.58,91.33,79.99,39.35,74.8125,24.129976343406
105,87.97,90.83,79.39,39.0,74.2975,24.02850997599865
106,87.79,91.53,79.65,38.71,74.42,24.317798694234916
107,87.71,91.68,79.54,39.35,74.57000000000001,24.017778137593552
108,88.39,90.93,78.98,38.91,74.30250000000001,24.14842627722699
109,88.38,91.43,79.6,39.05,74.615,24.2345407768884
110,88.05,91.53,79.43,39.0,74.5025,24.20866425476631
111,89.45,91.88,79.0,39.65,74.99499999999999,24.216793759703204
112,88.03,91.23,79.7,39.7,74.66499999999999,23.811236143188086
113,88.16,91.33,79.76,38.21,74.365,24.592704202669537
114,88.19,89.84,80.49,39.45,74.49249999999999,23.714370291730987
115,88.75,90.63,81.21,40.15,75.18499999999999,23.708712182093176
116,88.9,91.18,81.3,39.3,75.17,24.28351155276628
117,90.48,91.93,80.21,38.91,75.3825,24.868335120523586
118,90.62,91.78,80.28,39.4,75.52,24.628639155801256
119,87.34,91.83,79.45,38.56,74.295,24.366729366084403
120,87.54,91.08,80.02,39.1,74.435,24.003829555579948
121,87.19,91.73,80.02,39.45,74.5975,23.922401461113108
122,87.5,91.58,80.0,39.85,74.7325,23.74435143355152
123,89.65,91.93,79.81,39.9,75.32249999999999,24.1935079101812
124,89.35,92.53,80.12,40.15,75.5375,24.17164092485241
125,89.57,92.08,79.76,40.1,75.3775,24.111607681778498
126,89.25,92.68,79.7,39.7,75.3325,24.381568687569445
127,88.64,91.83,79.05,39.25,74.6925,24.244485799180538
128,89.54,92.28,79.65,40.7,75.5425,23.853338515464316
129,88.47,91.28,79.66,41.09,75.125,23.2236983847678
130,88.25,92.28,80.41,40.95,75.4725,23.536768930052116
