epoch,local_time_s,peak_vram_mb
0,59.86,1102.48
1,60.18,1107.73
2,60.51,1111.6
3,59.75,1113.85
4,59.9,1112.85
5,60.39,1109.1
6,59.54,1109.97
7,60.0,1109.35
8,60.14,1113.85
9,59.36,1111.35
10,59.75,1111.35
11,60.71,1112.35
12,59.04,1115.98
13,60.39,1117.6
14,60.27,1114.85
15,59.44,1113.47
16,60.53,1110.48
17,60.4,1109.85
18,59.42,1113.47
19,60.73,1112.35
20,60.46,1113.35
21,59.72,1112.22
22,60.23,1109.6
23,60.3,1111.97
24,59.63,1111.6
25,60.63,1112.23
26,59.46,1113.35
27,59.06,1109.1
28,60.56,1110.35
29,59.16,1110.47
30,59.57,1107.97
31,60.7,1111.35
32,59.81,1111.85
33,59.59,1111.23
34,60.97,1114.6
35,59.83,1114.48
36,59.78,1109.85
37,61.01,1109.97
38,59.41,1111.1
39,60.18,1108.72
40,60.7,1113.23
41,59.46,1114.72
42,60.42,1111.22
43,60.44,1115.85
44,59.73,1115.97
45,60.08,1112.22
46,60.56,1110.97
47,59.58,1112.47
48,60.65,1115.1
49,60.4,1113.48
50,59.45,1111.72
51,60.55,1111.35
52,60.49,1108.48
53,59.27,1108.6
54,60.15,1113.23
55,60.63,1114.85
56,59.36,1111.35
57,60.19,1111.1
58,60.2,1110.35
59,58.93,1116.48
60,60.51,1112.97
61,60.11,1111.85
62,58.74,1109.35
63,60.18,1114.22
64,60.26,1115.22
65,59.22,1114.48
66,60.53,1113.98
67,60.02,1117.98
68,58.99,1116.85
69,60.77,1114.47
70,59.78,1113.85
71,59.29,1111.97
72,60.9,1110.47
73,60.2,1113.98
74,59.67,1110.85
75,60.48,1108.1
76,59.89,1110.6
77,59.46,1113.35
78,60.47,1112.23
79,59.9,1114.1
80,59.23,1114.85
81,60.03,1113.85
82,60.05,1114.98
83,59.23,1108.73
84,60.32,1110.85
85,59.8,1111.97
86,59.52,1113.22
87,60.83,1110.47
88,59.76,1110.22
89,59.42,1109.97
90,59.95,1109.35
91,59.88,1112.47
92,59.43,1112.22
93,60.46,1112.47
94,59.79,1111.97
95,59.85,1109.6
96,60.48,1108.73
97,59.75,1108.6
98,59.76,1107.6
99,60.49,1107.72
100,59.65,1108.47
101,60.1,1107.85
102,60.12,1109.22
103,59.51,1109.23
104,59.96,1110.1
105,60.48,1114.35
106,60.04,1110.6
107,60.31,1109.85
108,60.3,1110.22
109,60.17,1110.48
110,60.08,1112.6
111,60.56,1111.6
112,59.7,1113.47
113,60.43,1113.47
114,60.17,1113.1
115,59.54,1116.35
116,60.77,1112.47
117,60.13,1112.1
118,60.06,1111.97
119,60.89,1110.48
120,59.62,1108.72
121,60.49,1108.22
122,60.56,1108.85
123,59.78,1115.35
124,59.66,1113.85
125,60.51,1115.1
126,58.99,1110.23
127,60.23,1110.22
128,60.19,1111.6
129,59.66,1109.73
130,60.61,1109.1
131,60.8,1111.85
132,59.27,1111.73
133,60.38,1112.35
134,60.38,1110.35
135,59.46,1113.72
136,60.72,1116.35
137,59.98,1112.22
138,59.6,1110.47
139,60.28,1112.1
140,60.44,1110.73
141,59.38,1110.72
142,60.5,1111.98
143,60.48,1110.1
144,59.65,1110.22
145,60.75,1111.97
146,60.22,1112.35
147,59.64,1111.72
148,61.14,1110.97
149,59.72,1112.35
150,59.86,1113.47
151,61.05,1113.23
152,59.48,1114.47
153,60.12,1114.72
154,60.9,1110.6
155,59.54,1110.97
156,60.33,1109.1
157,60.16,1110.85
158,59.41,1111.85
159,60.29,1108.85
160,60.45,1110.6
161,59.09,1110.22
162,60.2,1109.1
163,60.59,1112.22
164,59.43,1111.48
165,60.6,1109.6
166,60.2,1114.22
167,59.78,1113.1
168,60.2,1112.72
169,60.88,1112.35
170,60.29,1110.22
171,60.82,1112.73
172,60.53,1115.98
173,60.14,1113.22
174,60.95,1112.97
175,60.56,1112.23
176,60.38,1113.35
177,61.07,1112.1
178,59.68,1112.1
179,60.75,1107.6
180,60.62,1107.97
181,59.08,1109.35
182,59.58,1110.73
183,60.66,1107.73
184,59.27,1108.72
185,60.56,1112.47
186,60.13,1110.22
187,59.63,1108.73
188,60.44,1111.22
189,60.4,1111.35
190,59.56,1111.72
191,60.88,1110.23
192,60.73,1111.35
193,59.26,1108.6
194,60.74,1112.22
195,59.99,1112.35
196,59.99,1113.35
197,60.77,1108.85
198,59.96,1110.98
199,59.55,1109.48
