epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.53,13.15,18.88,9.3,13.215,4.093201680836164
1,46.83,19.08,18.58,12.74,24.307499999999997,15.288351502587409
2,49.25,24.91,19.96,12.89,26.7525,15.78859583159102
3,49.29,38.02,23.38,13.03,30.93,15.966320803491328
4,51.31,46.39,26.16,14.63,34.6225,17.207175586558844
5,51.23,50.32,28.85,16.02,36.605000000000004,17.18404395556141
6,53.68,56.9,33.39,16.07,40.01,19.053337415441597
7,54.18,61.14,37.78,16.92,42.504999999999995,19.6679663412362
8,55.3,65.77,40.32,18.81,45.05,20.37393269188188
9,53.91,67.41,44.98,19.65,46.4875,20.127663177825685
10,54.37,69.36,48.25,21.54,48.379999999999995,19.970336335007815
11,53.44,71.7,51.28,23.08,49.875,20.074742837705294
12,51.72,73.14,54.31,24.78,50.987500000000004,19.909310008134387
13,55.06,76.48,57.08,26.32,53.735,20.670928861567884
14,54.18,75.83,58.87,27.61,54.1225,19.972233016532392
15,49.99,77.43,61.41,30.0,54.7075,19.94952693674715
16,52.64,78.77,62.47,31.99,56.4675,19.55530000622167
17,53.67,80.77,64.57,32.44,57.8625,20.278269773331253
18,52.01,81.91,67.03,32.14,58.272499999999994,21.272452256380785
19,55.27,81.51,66.59,34.63,59.5,19.7578507603096
20,57.5,84.4,68.49,35.47,61.464999999999996,20.54933981096879
21,58.24,83.31,69.88,35.32,61.6875,20.3451867772208
22,61.03,85.95,68.87,37.46,63.32750000000001,20.140364735194513
23,58.9,85.95,70.67,38.01,63.38249999999999,20.217618348031667
24,58.87,85.65,71.41,37.56,63.3725,20.391551150742146
25,63.65,87.05,71.93,38.21,65.21,20.441604633687643
26,64.36,86.9,73.22,37.91,65.5975,20.656137707712933
27,65.35,88.24,73.76,39.45,66.69999999999999,20.4792594267143
28,68.17,88.79,74.08,41.99,68.25750000000001,19.540336699589734
29,67.29,88.49,74.5,41.09,67.8425,19.88838082063662
30,68.0,87.74,73.77,41.94,67.8625,19.166015713583594
31,66.0,88.14,74.69,41.84,67.66749999999999,19.47886953427568
32,71.72,89.24,74.7,41.69,69.33749999999999,19.95767584164048
33,68.83,89.29,75.46,41.39,68.74249999999999,20.128681650818567
34,64.82,89.19,76.09,41.14,67.81,20.378843604745256
35,75.9,90.33,75.61,44.38,71.555,19.37613050465271
36,70.44,90.08,76.08,42.19,69.69749999999999,20.111327446657185
37,71.73,89.44,76.19,44.13,70.3725,19.04314815535148
38,71.21,90.48,76.51,42.69,70.2225,20.074134892110962
39,72.11,90.08,76.72,42.94,70.4625,19.867937948698486
40,70.29,90.63,77.06,44.08,70.515,19.54746445620676
41,70.69,90.88,77.02,44.03,70.655,19.650748077363364
42,71.98,91.13,77.33,45.42,71.465,19.14608489134702
43,74.01,90.88,77.07,45.22,71.79499999999999,19.17637174580565
44,74.18,90.63,77.9,45.62,72.0825,18.995758079108082
45,75.07,90.33,77.7,46.02,72.27999999999999,18.73099570231118
46,72.14,90.53,78.05,45.37,71.52250000000001,19.04580334351901
47,69.28,90.33,77.95,44.78,70.58500000000001,19.250188743663443
48,72.69,90.73,78.17,46.72,72.07750000000001,18.5149693941596
49,73.79,90.68,78.22,47.31,72.5,18.25222360882823
50,71.68,90.58,78.24,45.57,71.5175,18.990085790573282
51,74.66,90.88,77.79,46.72,72.51249999999999,18.574910273448605
52,75.83,90.58,78.7,46.57,72.92,18.691126236800176
53,75.78,91.63,78.76,46.12,73.0725,19.239683599269505
54,73.64,90.68,78.55,45.52,72.0975,19.11096434859668
55,74.99,91.08,78.22,46.32,72.6525,18.880627417187878
56,73.9,91.28,79.26,47.41,72.9625,18.52024545373702
57,79.56,91.33,78.97,47.66,74.38,18.70081459901324
58,71.72,91.58,79.06,45.92,72.07000000000001,19.265212171164894
59,74.93,90.68,79.44,45.87,72.73,19.09211180915651
60,74.35,90.03,79.31,46.07,72.44,18.758375906955983
61,75.39,90.83,79.56,45.97,72.9375,19.1246775571947
62,73.95,91.18,78.9,45.47,72.375,19.34393358825104
63,74.91,91.28,78.96,46.42,72.8925,18.971718205441135
64,76.5,91.28,78.8,47.66,73.56,18.447308746806403
65,76.77,91.43,79.69,48.01,73.975,18.433045507095855
66,77.45,91.83,79.02,47.61,73.9775,18.72112777051639
67,79.9,91.93,79.44,48.36,74.9075,18.619021411807157
68,80.04,92.23,79.29,48.01,74.8925,18.877609974075995
69,77.5,92.13,79.13,47.36,74.03,18.94685374057304
70,77.98,92.18,79.09,46.87,74.03,19.22059832575459
71,75.99,90.93,79.46,48.06,73.61,18.19039856627666
72,77.12,91.63,79.62,47.56,73.9825,18.719046227483563
73,77.99,91.03,79.96,47.96,74.23499999999999,18.43297136474023
74,78.82,91.88,79.53,47.41,74.41,18.972466014376376
75,78.61,92.23,79.91,47.66,74.60249999999999,18.981189592155005
76,76.29,92.38,79.84,47.11,73.905,19.15037075359117
77,75.43,91.88,79.95,48.56,73.955,18.29687860446876
78,76.84,91.43,79.31,48.16,73.935,18.328077731538936
79,74.72,91.93,79.4,47.61,73.415,18.674639666313958
80,78.22,91.68,79.46,48.11,74.3675,18.52884485516209
81,78.95,91.68,79.54,48.01,74.545,18.637493572545285
82,79.59,92.18,79.67,48.11,74.8875,18.806478272127404
83,77.55,91.78,79.52,47.16,74.0025,18.97003668068849
84,80.86,92.38,80.15,47.86,75.3125,19.140841804894578
85,78.02,91.83,80.15,47.16,74.28999999999999,19.07826861466557
86,77.96,92.03,80.09,47.91,74.4975,18.77541544147559
87,80.19,92.13,80.02,48.16,75.125,18.849372226504876
88,76.77,92.28,80.08,47.26,74.0975,19.094390755751633
89,76.67,92.38,79.96,47.51,74.13,18.992344071581403
90,78.21,92.03,79.94,47.06,74.31,19.17870172874066
91,80.96,92.33,79.99,47.01,75.07249999999999,19.529206119724034
92,78.74,92.13,80.67,47.56,74.775,19.081618554689395
93,80.39,91.93,80.27,47.66,75.0625,19.069258637922978
94,80.66,92.92,79.68,48.36,75.405,19.00962826219037
95,79.71,92.43,80.02,46.57,74.68249999999999,19.65579706685367
96,79.06,91.48,80.04,46.92,74.37500000000001,19.152019040647737
97,79.03,92.23,80.01,47.01,74.57,19.329721501701297
98,78.79,92.58,80.37,46.12,74.465,19.876006473467786
99,80.71,92.43,80.31,46.02,74.86749999999999,20.036427451020305
100,79.28,91.88,80.5,47.11,74.6925,19.243844686894906
101,78.07,91.63,80.52,46.27,74.12249999999999,19.48319853104207
102,80.7,92.78,80.29,47.41,75.29500000000002,19.471881436231754
103,79.04,92.58,80.66,47.21,74.8725,19.404747486117923
104,80.0,92.78,80.35,46.92,75.0125,19.648890341865787
105,79.08,92.28,80.76,47.46,74.895,19.207896813550413
106,77.65,93.02,80.42,46.12,74.30250000000001,19.943484107179803
107,81.47,92.83,79.81,47.31,75.355,19.571560149018946
108,80.33,92.63,80.23,46.82,75.0025,19.669698142066135
109,77.59,92.92,79.95,47.11,74.3925,19.396845748729355
110,77.63,92.28,80.18,47.66,74.4375,18.960992194502904
111,81.75,92.73,79.88,47.21,75.3925,19.624794478753994
112,78.57,92.58,79.76,47.56,74.61749999999999,19.12090718733467
113,80.54,92.78,79.97,47.06,75.0875,19.597056539184653
114,77.92,92.97,80.25,46.92,74.515,19.549554982147292
115,81.63,93.17,80.01,47.56,75.5925,19.58532847992769
116,80.36,92.73,79.89,46.97,74.98750000000001,19.60165703029551
117,80.86,93.02,80.23,47.11,75.305,19.696809386294014
118,79.34,92.87,79.98,46.97,74.78999999999999,19.565934682503674
119,79.1,93.37,79.82,46.77,74.765,19.783926977894623
120,80.59,92.73,79.58,46.82,74.92999999999999,19.669521261755882
121,81.98,92.53,80.05,47.81,75.5925,19.316794722037436
122,81.81,92.48,80.26,46.82,75.3425,19.77571975091341
123,80.47,92.73,80.08,46.92,75.05,19.651603836158852
124,82.82,93.17,80.7,46.92,75.9025,20.075023246146774
125,86.15,93.22,80.27,48.06,76.925,19.958330758524536
126,84.61,92.33,80.84,46.87,76.1625,20.105371380139523
127,82.96,92.78,80.59,46.47,75.70000000000002,20.18860239508091
128,84.04,93.47,80.59,46.77,76.2175,20.37248368919869
129,84.81,93.42,80.02,47.41,76.41499999999999,20.115765790377793
130,84.11,93.32,80.01,47.06,76.125,20.160156249394493
131,83.23,92.92,79.97,47.51,75.9075,19.714343974206532
132,83.69,93.02,80.19,47.06,75.99,20.032438693279456
133,80.87,92.68,80.5,47.41,75.36500000000001,19.4761777564285
134,81.1,92.92,80.07,47.76,75.46249999999999,19.36666616465863
135,80.64,93.27,80.11,47.21,75.30749999999999,19.6945040980134
136,80.63,93.27,79.87,46.77,75.13499999999999,19.88355015249205
137,82.38,92.92,79.64,47.56,75.625,19.566225151179943
138,81.97,93.52,79.83,47.36,75.67,19.808030358081204
139,80.67,93.42,80.17,46.67,75.2325,20.004556772562264
140,78.6,93.27,80.0,46.97,74.71000000000001,19.639224356713616
141,80.74,93.42,79.76,46.92,75.21000000000001,19.859603889973908
142,80.94,93.12,80.35,47.31,75.43,19.648893098594638
143,82.12,93.42,80.12,47.01,75.6675,19.982184356738045
144,80.02,93.47,79.62,46.97,75.02000000000001,19.776796167900066
145,80.35,94.02,79.82,46.62,75.2025,20.156683548308898
146,83.15,93.47,80.34,46.97,75.98250000000002,20.148603549625967
147,80.82,93.17,80.16,45.62,74.9425,20.443565206033252
148,81.06,93.47,80.13,45.87,75.1325,20.434187652069756
149,79.75,93.02,80.06,46.22,74.76249999999999,20.007909061168785
150,84.07,93.22,79.89,46.52,75.925,20.378365161775527
151,81.57,93.62,79.97,46.62,75.445,20.15938573799642
152,80.53,93.17,80.45,46.77,75.22999999999999,19.89265861232899
153,80.59,93.27,80.62,46.47,75.23750000000001,20.086153398133085
154,81.85,93.42,80.16,46.87,75.57499999999999,20.023477054031684
155,80.52,93.62,79.91,46.82,75.2175,19.960010646289746
156,84.42,93.72,80.09,46.97,76.30000000000001,20.363396900648315
