epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.89,13.2,18.76,9.35,13.3,3.9754328904745297
1,54.85,18.78,18.53,13.33,26.3725,19.150506303141615
2,49.04,23.22,19.35,13.48,26.272499999999997,15.697620573407507
3,49.78,42.45,21.15,13.23,31.6525,17.27120218745644
4,51.94,50.42,22.64,13.63,34.6575,19.439798309996256
5,53.22,55.01,24.2,14.33,36.69,20.53316828937999
6,54.43,62.98,26.57,15.32,39.824999999999996,22.551053929546914
7,54.18,66.87,29.42,17.06,41.88250000000001,22.70883877113344
8,56.04,71.7,35.11,18.36,45.30250000000001,23.394495613284764
9,57.5,74.09,38.21,20.3,47.525000000000006,23.33216449453415
10,58.48,74.89,46.83,22.04,50.559999999999995,22.22595029839369
11,57.22,76.58,53.08,23.48,52.589999999999996,21.94378575664038
12,57.56,78.82,58.64,24.88,54.974999999999994,22.31895681552642
13,62.54,80.22,61.85,27.01,57.904999999999994,22.282328573707613
14,63.94,81.02,63.56,27.46,58.995,22.545133251620697
15,66.55,82.76,67.67,28.46,61.36000000000001,23.145353745406442
16,69.58,83.26,67.58,29.85,62.5675,22.897704943217928
17,66.16,83.66,68.95,29.95,62.17999999999999,22.816927926432164
18,69.68,84.85,70.72,30.65,63.975,23.269173456170147
19,68.94,85.6,71.66,31.59,64.44749999999999,23.088570585176264
20,72.78,86.25,72.82,31.49,65.835,23.758328364316096
21,75.79,87.34,73.78,32.39,67.325,24.044248792590714
22,74.49,86.7,74.01,34.48,67.42,22.731585954349956
23,74.37,87.64,74.69,35.62,68.08,22.505565237662147
24,71.75,87.0,75.0,34.33,67.02,22.758806354171274
25,77.16,88.64,76.03,35.87,69.425,23.08398073701039
26,74.68,88.19,75.68,34.08,68.1575,23.53513738363698
27,76.47,90.38,77.09,36.97,70.22749999999999,23.081358098401978
28,78.93,90.43,77.21,38.16,71.1825,22.78381205300524
29,79.24,90.33,78.08,38.76,71.60249999999999,22.58051132429615
30,78.59,90.03,77.51,38.36,71.1225,22.56426876723463
31,75.93,89.54,77.7,37.66,70.20750000000001,22.52383829782719
32,76.61,89.64,77.83,37.21,70.32249999999999,22.84366195833467
33,78.63,90.18,77.67,39.15,71.4075,22.24362436744516
34,77.21,90.58,77.9,39.05,71.185,22.287635585678444
35,80.81,90.18,78.45,40.0,72.36,22.160118832413033
36,83.06,91.83,78.22,39.95,73.265,22.913187614704913
37,80.57,91.18,77.9,42.54,73.0475,21.13157097015427
38,80.37,89.99,78.84,40.45,72.41250000000001,21.872391082519226
39,80.15,91.18,78.21,41.49,72.75750000000001,21.613451637039994
40,79.82,91.48,79.22,40.95,72.8675,22.01396128975125
41,81.59,92.03,78.9,41.44,73.49000000000001,22.104390212504548
42,83.94,91.98,79.11,42.34,74.3425,21.985468496259067
43,80.03,91.23,78.79,41.49,72.885,21.66491095450583
44,77.23,91.08,79.67,41.74,72.43,21.331949434279714
45,84.06,92.18,79.55,44.33,75.03,21.123318868018824
46,79.94,91.23,79.63,40.6,72.85000000000001,22.166967917752455
47,82.41,91.63,79.08,42.24,73.84,21.72515132283317
48,83.21,91.63,79.61,42.44,74.2225,21.7788021938765
49,86.53,92.13,80.27,44.48,75.8525,21.468690963043525
50,84.94,92.73,80.03,44.48,75.54500000000002,21.359928994888225
51,83.35,91.63,79.38,44.03,74.5975,21.007591286643656
52,82.96,91.88,79.76,43.68,74.57,21.22228702724253
53,86.13,92.73,79.81,43.83,75.625,21.84317055740764
54,86.58,92.63,80.34,42.59,75.535,22.529181816775623
55,85.16,92.38,79.38,43.43,75.08749999999999,21.764716668651275
56,88.3,93.22,79.79,43.73,76.26,22.385002419775017
57,87.61,92.38,79.98,45.12,76.27250000000001,21.38702312930281
58,84.79,93.07,79.06,43.68,75.15,21.753965155805503
59,84.75,93.12,79.82,43.83,75.38,21.737989787466553
60,84.05,91.63,79.99,44.28,74.98750000000001,21.03233443217054
61,87.53,92.63,79.96,43.78,75.975,22.085480147221915
62,84.59,92.83,79.59,43.43,75.11,21.814074967017664
63,86.28,93.52,78.4,44.13,75.58250000000001,21.858548861562912
64,83.59,93.12,79.68,44.83,75.30499999999999,21.086185841287975
65,85.38,93.17,79.87,44.68,75.775,21.436029638593677
66,84.8,92.97,79.97,44.58,75.58,21.351757148612695
67,86.48,93.77,79.76,45.22,76.3075,21.500163371472322
68,89.79,94.12,80.04,45.07,77.25500000000001,22.24998052433605
69,87.76,93.72,79.91,44.78,76.54249999999999,21.917232755680327
70,86.52,93.72,80.08,45.17,76.3725,21.53484830842016
71,86.01,93.67,79.74,44.73,76.03750000000001,21.635032354956167
72,84.44,93.22,80.08,43.73,75.3675,21.78807835338705
73,86.61,92.08,80.2,44.48,75.8425,21.464619532306337
74,85.92,93.72,79.79,45.37,76.2,21.329211580990673
75,86.93,93.92,80.11,45.07,76.50750000000001,21.703441163403866
76,88.16,94.57,79.85,44.63,76.8025,22.278793167494502
77,87.83,93.67,80.22,45.47,76.79750000000001,21.59878912501038
78,86.19,93.77,79.3,44.68,75.985,21.690554780057298
79,86.02,93.77,80.15,45.22,76.28999999999999,21.451245496085612
80,86.03,94.12,79.31,43.08,75.635,22.532087490214188
81,84.74,93.62,79.44,46.12,75.98,20.74848106890398
82,87.87,94.22,79.28,44.93,76.575,21.96699114580784
83,88.09,93.77,79.56,45.12,76.635,21.806544124795813
84,89.25,94.47,79.29,45.02,77.0075,22.2353148167504
85,86.91,93.42,79.85,44.33,76.12749999999998,21.91065855544587
86,86.31,93.42,79.63,45.02,76.095,21.468222252125734
87,86.46,94.47,79.21,45.47,76.4025,21.542898868691434
88,84.52,93.92,79.5,45.47,75.85249999999999,21.118401730876005
89,85.0,93.62,80.32,45.72,76.16499999999999,21.03090028188681
90,88.33,94.37,80.05,44.83,76.895,22.16794307102037
91,87.46,94.52,79.14,44.73,76.4625,22.069125303615152
92,84.14,93.62,80.64,46.62,76.255,20.503478566656277
93,88.34,94.12,79.13,45.42,76.75250000000001,21.78132437816091
94,87.5,94.22,79.79,46.42,76.9825,21.21082801306917
95,88.04,93.72,79.97,46.22,76.98750000000001,21.27336891514835
96,86.15,93.87,80.39,46.12,76.63250000000001,21.077995437580558
97,88.76,93.97,80.22,46.27,77.305,21.452332429520727
98,87.86,94.22,80.62,45.57,77.0675,21.720950524014057
99,88.41,94.12,79.91,44.13,76.6425,22.447540882392143
100,88.46,94.32,80.25,45.47,77.125,21.878108541035562
101,87.21,93.82,80.2,45.82,76.76249999999999,21.36479405470598
102,88.19,94.77,79.86,44.23,76.7625,22.5300974624316
103,85.89,94.07,80.96,45.42,76.585,21.468629051090645
104,86.77,94.02,80.76,46.57,77.03,21.017867002465625
105,88.19,94.32,80.42,46.12,77.2625,21.526678602763287
106,89.8,94.52,79.65,44.33,77.075,22.694487583258333
107,88.21,94.22,79.77,45.72,76.97999999999999,21.66642717816361
108,90.04,94.82,79.1,44.08,77.01,22.918187828302074
109,87.25,94.47,79.56,45.27,76.63749999999999,21.779839875444445
110,88.3,94.22,79.19,44.98,76.6725,22.01413087844563
111,89.78,94.32,79.05,44.28,76.85749999999999,22.642367919455772
112,86.35,93.52,79.43,44.93,76.0575,21.534232243879355
113,89.06,94.22,80.65,45.32,77.3125,22.049386045874382
114,87.26,94.27,80.34,44.93,76.7,21.930199877490097
115,90.35,94.72,80.59,46.17,77.9575,21.999474804337183
116,86.29,94.62,80.0,43.83,76.185,22.38571345002582
117,89.56,94.62,80.22,44.93,77.3325,22.410035512391914
118,90.57,94.77,80.87,46.12,78.0825,22.089076297271163
119,84.54,94.37,80.19,43.28,75.595,22.344924106680992
120,88.93,94.22,80.76,44.43,77.08500000000001,22.463057820934946
121,89.06,94.62,80.24,44.33,77.0625,22.610608682651606
122,88.69,94.07,80.44,45.22,77.10499999999999,21.98331867575958
123,89.24,94.37,80.31,45.17,77.27250000000001,22.17613187641163
124,87.1,94.37,80.5,45.67,76.91000000000001,21.583275932999605
125,89.89,94.72,79.78,45.92,77.5775,22.003872954550523
126,87.77,94.32,80.95,45.47,77.1275,21.79949292223713
127,88.87,94.97,80.36,44.13,77.0825,22.770720051563295
128,88.74,94.97,80.65,45.27,77.4075,22.2126065932539
129,88.04,94.92,80.52,45.42,77.22500000000001,22.003729229382913
130,85.51,93.67,81.61,45.92,76.67750000000001,21.111698771060563
131,87.06,94.77,80.25,45.77,76.96249999999999,21.624417333190735
132,89.62,94.57,80.21,44.83,77.30749999999999,22.455912918427522
133,87.19,94.62,80.79,44.63,76.8075,22.183577071037632
134,87.43,95.02,80.34,44.93,76.92999999999999,22.159469006875295
135,86.24,95.17,79.71,45.32,76.61,21.80125837346704
136,86.52,94.77,79.24,44.78,76.32749999999999,21.967705653223472
137,88.67,95.37,78.87,44.88,76.9475,22.42636896601855
138,86.09,94.97,79.66,43.83,76.1375,22.434332877682518
139,87.81,94.87,79.74,45.67,77.02250000000001,21.796540054176795
140,85.73,94.72,80.04,45.37,76.465,21.592937888732667
141,87.2,94.97,79.33,45.17,76.6675,21.947638255630146
142,88.63,94.72,79.7,45.27,77.08,22.085535236137396
143,89.28,95.22,79.92,44.78,77.30000000000001,22.57625301063044
144,85.68,94.97,80.34,43.88,76.2175,22.38976012228209
145,85.38,95.32,79.06,43.43,75.7975,22.592412258691336
146,89.17,95.32,79.26,43.88,76.9075,22.990861046656487
147,87.14,94.82,79.42,45.32,76.675,21.82833250617188
148,84.29,95.07,79.76,45.12,76.06,21.603137117866314
149,85.72,94.82,78.97,44.93,76.11,21.777574092017993
150,89.54,95.17,79.89,44.53,77.2825,22.728354354564846
151,88.16,95.37,78.91,44.08,76.63,22.72171795148128
152,88.14,95.12,79.05,43.93,76.56,22.72654101852428
153,86.4,94.62,79.77,42.99,75.94500000000001,22.794190049220877
154,88.03,94.97,79.35,44.43,76.69500000000001,22.43908123490502
155,87.12,94.92,79.93,44.08,76.5125,22.47147432487093
156,86.71,95.02,79.97,45.12,76.705,21.937879721310047
157,86.52,95.32,79.06,45.22,76.53,21.905716148987228
158,90.56,95.47,79.36,43.53,77.22999999999999,23.45643763802736
159,90.32,95.57,77.96,44.08,76.98249999999999,23.143855015964817
160,87.94,94.62,78.67,44.28,76.3775,22.375472248275194
161,87.15,95.12,78.28,42.94,75.8725,23.00720086552614
162,90.85,95.71,77.8,44.53,77.2225,23.069673274669494
163,88.86,95.27,78.7,45.02,76.96249999999999,22.361106673567534
164,87.71,95.27,78.68,45.82,76.86999999999999,21.78259396857959
165,88.94,94.97,78.4,44.83,76.785,22.376836982320206
166,89.1,95.81,78.56,44.78,77.0625,22.662542333109936
167,90.15,95.47,79.02,44.93,77.3925,22.701046047851335
168,88.0,95.17,79.03,45.32,76.88000000000001,22.051716486477872
169,87.2,95.17,78.02,43.73,76.03,22.644783063655083
170,88.17,95.32,78.66,45.77,76.97999999999999,21.89717028902745
171,88.72,94.92,79.72,46.02,77.345,21.795775584579076
172,88.88,95.02,79.18,44.83,76.97749999999999,22.40174156176256
173,89.64,95.71,79.69,44.98,77.505,22.666642892144395
174,88.41,95.67,79.05,45.07,77.05,22.379115264013457
175,89.59,95.27,79.51,45.57,77.485,22.252378899045077
176,88.45,94.82,80.2,44.38,76.96249999999999,22.531116816527312
177,89.54,95.62,79.76,43.73,77.16250000000001,23.22614098381391
178,87.76,95.76,78.8,44.28,76.65,22.664683246554908
179,87.35,95.62,78.37,42.84,76.04500000000002,23.230449127528004
180,88.77,95.62,78.4,44.53,76.82999999999998,22.667028918673925
181,88.7,95.47,79.05,43.93,76.78750000000001,22.917807304946663
182,89.19,95.71,77.92,42.84,76.41499999999999,23.55874430722769
183,89.18,95.22,79.0,44.08,76.86999999999999,22.861755546472512
184,90.76,95.22,78.7,43.28,76.99000000000001,23.531779929845225
185,89.86,94.92,80.46,45.42,77.665,22.31595169379966
186,89.46,94.92,80.14,43.03,76.88749999999999,23.381957966204055
187,88.64,95.62,79.2,43.88,76.835,22.977231483942244
188,89.14,95.32,79.36,44.98,77.2,22.462502086811256
189,88.5,94.97,79.66,43.93,76.765,22.771696613705938
