epoch,local_time_s,peak_vram_mb
0,64.12,3278.37
1,65.23,3286.62
2,65.07,3282.24
3,64.13,3282.74
4,65.52,3283.49
5,64.32,3283.74
6,64.89,3283.37
7,64.58,3283.74
8,64.81,3281.24
9,64.09,3282.37
10,64.68,3279.74
11,64.79,3279.49
12,64.91,3279.24
13,65.08,3278.37
14,64.65,3277.12
15,65.01,3281.99
16,65.0,3277.24
17,64.32,3277.87
18,63.95,3278.87
19,64.66,3277.74
20,65.2,3275.49
21,60.77,3270.49
22,63.87,3269.24
23,64.83,3271.12
24,63.27,3270.24
25,64.06,3272.12
26,64.56,3271.49
27,64.46,3266.74
28,65.1,3271.49
29,64.48,3264.87
30,61.95,3264.62
31,63.35,3271.74
32,63.75,3269.74
33,64.06,3275.99
34,64.66,3269.99
35,64.56,3269.49
36,64.01,3271.74
37,65.18,3268.87
38,65.04,3267.99
39,64.39,3271.99
40,64.48,3269.12
41,64.67,3267.62
42,64.67,3268.24
43,64.95,3268.24
44,64.72,3265.49
45,64.33,3268.24
46,64.23,3270.12
47,64.81,3269.74
48,65.23,3271.62
49,64.6,3270.49
50,64.68,3268.24
51,65.72,3267.62
52,65.24,3268.74
53,64.65,3268.37
54,64.65,3272.62
55,64.57,3269.87
56,65.06,3270.87
57,64.94,3266.24
58,64.87,3269.87
59,63.93,3270.37
60,64.8,3268.24
61,64.9,3264.62
62,64.63,3264.74
63,64.38,3265.49
64,64.29,3267.37
65,65.27,3268.37
66,64.67,3267.74
67,64.77,3265.99
68,65.37,3267.87
69,64.59,3267.99
70,64.0,3271.37
71,65.02,3268.99
72,64.02,3268.49
73,64.83,3268.99
74,64.83,3265.49
75,64.77,3266.37
76,64.7,3267.12
77,64.52,3268.49
78,65.09,3269.12
79,64.22,3267.74
80,64.68,3269.24
81,63.97,3269.37
82,64.27,3265.74
83,64.88,3274.62
84,63.99,3269.62
85,64.53,3270.49
86,64.46,3268.99
87,64.36,3273.12
88,64.43,3268.87
89,65.11,3268.49
90,65.01,3267.74
91,64.85,3268.62
92,64.75,3266.62
93,64.38,3267.99
94,64.79,3269.87
95,65.22,3273.37
96,65.32,3268.24
97,65.17,3270.24
98,64.9,3267.12
99,63.78,3266.87
100,64.03,3267.74
101,64.75,3266.87
102,64.32,3267.62
103,64.35,3268.74
104,64.47,3268.37
105,64.84,3270.62
106,64.56,3272.24
107,64.55,3269.49
108,63.99,3267.24
109,64.43,3270.74
110,69.36,3271.62
111,64.39,3270.87
112,64.98,3270.62
113,64.47,3271.49
114,64.63,3268.74
115,64.43,3270.74
116,64.52,3274.99
117,64.82,3269.12
118,64.51,3272.12
119,64.11,3273.62
120,64.63,3271.24
121,65.01,3275.74
122,65.21,3275.37
123,64.84,3272.62
124,64.58,3274.12
125,65.14,3269.62
126,64.86,3267.12
127,64.96,3269.37
128,64.48,3274.62
129,64.66,3277.62
130,64.05,3272.12
131,64.84,3272.87
132,64.94,3271.24
133,64.3,3270.74
134,64.69,3270.74
135,64.02,3266.12
136,64.95,3272.99
137,64.84,3271.37
138,64.99,3271.74
139,64.89,3267.12
140,64.32,3267.87
141,64.37,3270.49
142,64.72,3269.87
143,64.63,3273.37
144,64.74,3268.49
145,64.26,3271.37
146,64.0,3268.24
147,59.44,3265.99
148,57.47,3268.87
149,57.65,3270.74
150,52.2,3267.87
151,51.38,3268.49
152,52.34,3269.62
153,55.59,3270.62
154,55.78,3271.24
155,57.58,3268.12
156,50.37,3268.37
157,50.27,3267.99
158,51.37,3268.12
159,50.81,3268.49
160,50.87,3265.87
161,53.09,3271.24
162,54.46,3268.87
163,52.41,3269.74
164,51.39,3268.99
165,51.89,3273.49
166,50.98,3269.87
167,51.3,3268.62
168,51.3,3264.24
169,50.87,3270.74
170,51.4,3269.12
171,50.43,3271.49
172,49.79,3269.24
173,49.78,3269.62
174,49.81,3269.49
175,50.07,3271.24
176,49.81,3267.74
177,49.69,3265.99
178,49.8,3267.99
179,49.98,3270.62
180,50.23,3269.87
181,53.11,3265.99
182,51.63,3269.49
183,51.42,3271.37
184,51.52,3270.49
185,51.28,3268.62
186,51.72,3271.24
187,50.88,3268.24
188,51.19,3271.24
189,51.39,3267.87
190,50.2,3271.12
191,50.6,3265.74
192,51.57,3268.74
193,51.33,3264.87
194,51.18,3265.87
195,51.7,3267.24
196,50.93,3264.87
197,50.87,3267.37
198,50.78,3268.99
199,50.8,3268.62
