epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,29.88,16.19,18.29,9.45,18.4525,8.500550472371383
1,51.94,49.18,13.72,11.24,31.52,22.037622376290958
2,45.07,37.17,23.02,12.79,29.512500000000003,14.404486280322532
3,51.81,55.71,23.34,12.94,35.95,21.059197515574997
4,50.47,52.57,29.16,14.78,36.745,18.06285045796113
5,52.35,57.9,30.87,16.22,39.335,19.321912431226885
6,53.79,63.43,30.49,16.62,41.0825,21.3815050530437
7,59.07,70.1,39.05,17.96,46.544999999999995,22.985436693698034
8,59.81,73.39,48.3,19.05,50.1375,23.123185154010827
9,66.38,76.83,52.14,20.2,53.88749999999999,24.632784894661558
10,69.12,78.03,59.08,21.49,56.93000000000001,24.862436190633723
11,68.16,78.43,62.73,22.54,57.964999999999996,24.497551578338054
12,67.97,79.47,65.99,23.58,59.2525,24.513012020829535
13,72.21,82.11,69.23,25.22,62.1925,25.255687643248468
14,74.08,82.46,71.19,26.12,63.4625,25.34964085873144
15,74.52,82.21,71.8,25.37,63.474999999999994,25.782997627635666
16,77.67,82.06,72.23,26.87,64.70750000000001,25.543427563008585
17,80.14,82.31,73.33,26.37,65.5375,26.390439398893427
18,80.98,82.56,72.84,26.02,65.60000000000001,26.7281374834337
19,82.68,83.61,73.33,25.97,66.39750000000001,27.34856653769383
20,85.05,84.6,74.6,27.16,67.85249999999999,27.55383261302621
21,84.57,83.81,74.16,26.62,67.28999999999999,27.524259602515496
22,87.37,85.3,75.96,28.36,69.2475,27.70651593037277
23,86.61,84.85,76.68,28.01,69.0375,27.69170438356344
24,84.55,84.11,76.31,29.2,68.5425,26.500021855336897
25,88.12,85.95,76.73,29.2,70.0,27.644588379403785
26,86.44,84.5,76.59,28.66,69.0475,27.259972334297533
27,88.76,86.65,77.39,29.45,70.5625,27.849650356871628
28,86.93,86.8,77.15,30.1,70.245,27.1523927736274
29,87.33,86.35,77.32,30.95,70.4875,26.740641197747422
30,88.78,86.6,77.23,31.44,71.0125,26.85326966435683
31,86.98,87.44,77.92,31.54,70.97000000000001,26.6496303914332
32,89.27,87.44,77.69,32.39,71.69749999999999,26.693374177874176
33,88.6,87.39,77.57,33.28,71.71000000000001,26.091754764037365
34,87.68,86.65,78.33,31.84,71.125,26.522423845996176
35,88.21,87.24,77.93,31.89,71.3175,26.69041947341155
36,90.25,88.89,78.04,32.99,72.5425,26.928417919860546
37,89.52,89.59,76.95,33.88,72.485,26.413724336665084
38,88.74,87.69,78.17,32.39,71.7475,26.665643782465356
39,89.15,87.84,77.61,34.08,72.17,25.912101419992936
40,88.56,87.89,77.94,33.78,72.04249999999999,25.966455765082767
41,90.67,88.79,77.85,34.03,72.83500000000001,26.480354353117455
42,89.5,88.29,78.33,34.68,72.7,25.83605620058913
43,88.14,87.99,78.21,33.73,72.0175,25.944398721111266
44,87.14,89.74,78.64,34.88,72.6,25.58952389813717
45,87.72,89.94,78.65,35.62,72.9825,25.38259032617961
46,87.78,88.49,78.51,35.17,72.4875,25.290359658705263
47,88.25,89.04,78.5,35.62,72.8525,25.28023915366836
48,90.45,90.08,78.75,35.47,73.6875,26.050602520223343
49,89.71,89.94,79.08,35.37,73.52499999999999,25.93625840401811
50,87.9,90.23,78.72,36.77,73.405,24.923603939505487
51,89.84,90.43,79.07,37.01,74.0875,25.26384026627781
52,89.91,90.53,78.83,36.47,73.935,25.54852833335024
53,89.4,90.48,78.46,36.57,73.72749999999999,25.359744182463672
54,88.21,89.64,78.76,37.11,73.43,24.689834615349966
55,90.8,90.68,79.05,37.01,74.385,25.518830302347325
56,90.74,90.93,78.46,36.22,74.0875,25.91037034985542
57,90.98,90.78,79.41,36.97,74.535,25.62051846990351
58,90.65,91.38,79.25,36.82,74.52499999999999,25.74295567075907
