epoch,local_time_s,peak_vram_mb
0,61.89,4133.73
1,61.29,4137.23
2,62.43,4139.73
3,61.99,4132.36
4,62.07,4141.23
5,62.35,4134.86
6,62.22,4133.11
7,62.36,4133.11
8,63.41,4131.61
9,62.66,4128.86
10,62.15,4135.86
11,62.05,4134.98
12,59.74,4133.48
13,61.16,4135.98
14,63.36,4130.36
15,61.97,4130.73
16,62.62,4133.48
17,62.27,4131.11
18,62.36,4129.98
19,62.84,4134.48
20,61.9,4133.48
21,61.38,4131.36
22,61.95,4135.61
23,62.15,4132.73
24,62.22,4132.61
25,62.49,4133.48
26,62.03,4131.23
27,61.96,4133.48
28,62.74,4129.86
29,62.12,4127.86
30,62.19,4133.23
31,63.03,4130.23
32,61.9,4127.36
33,62.71,4126.11
34,62.23,4131.11
35,61.67,4126.73
36,61.26,4129.48
37,62.31,4129.11
38,60.72,4127.61
39,61.78,4128.48
40,62.5,4133.36
41,61.13,4128.23
42,62.16,4128.36
43,62.27,4131.86
44,62.41,4130.73
45,61.83,4128.61
46,62.1,4127.61
47,61.78,4129.48
48,62.47,4125.86
49,61.86,4124.86
50,61.66,4123.98
51,61.62,4125.73
52,62.64,4129.48
53,61.88,4125.36
54,61.88,4130.36
55,62.42,4130.23
56,62.16,4129.23
57,62.37,4131.61
58,62.31,4129.73
59,61.26,4127.61
60,62.42,4128.23
61,62.47,4130.86
62,61.65,4132.23
63,62.22,4126.98
64,62.02,4129.48
65,61.74,4128.48
66,61.98,4130.36
67,62.64,4129.23
68,61.65,4129.11
69,62.07,4130.11
70,62.2,4130.98
71,61.16,4127.11
72,62.6,4133.48
73,62.63,4129.98
74,61.45,4127.23
75,63.12,4130.86
76,62.66,4130.23
77,61.44,4128.73
78,62.12,4129.23
79,61.73,4131.98
80,61.25,4128.98
81,61.47,4129.36
82,63.37,4129.11
83,61.7,4133.23
84,61.33,4134.48
85,62.78,4137.11
86,61.29,4135.73
87,62.34,4136.11
88,62.69,4132.36
89,60.77,4137.23
90,62.7,4139.36
91,62.57,4131.98
92,61.27,4136.73
93,62.13,4136.98
94,61.96,4133.61
95,60.6,4130.36
96,61.61,4132.61
97,62.82,4130.36
98,61.39,4125.73
99,62.03,4130.73
100,62.62,4131.48
101,61.11,4133.48
102,62.43,4130.11
103,62.21,4132.11
104,61.17,4129.73
105,62.34,4134.48
106,62.83,4133.73
107,60.99,4128.61
108,61.94,4132.73
109,62.39,4135.11
110,61.26,4132.61
111,61.84,4133.11
112,62.93,4132.98
113,61.24,4129.86
114,62.59,4132.11
115,62.8,4133.48
116,61.18,4131.36
117,61.76,4132.11
118,57.77,4133.23
119,57.59,4126.48
120,62.61,4127.48
121,62.69,4123.61
122,61.39,4125.73
123,62.0,4124.11
124,62.1,4128.61
125,61.17,4127.36
126,62.77,4126.98
127,62.18,4129.23
128,61.47,4128.48
129,62.45,4130.23
130,57.25,4131.11
131,61.1,4127.61
132,64.68,4130.36
133,64.57,4130.48
134,64.88,4129.11
135,64.58,4126.86
136,64.89,4125.98
137,64.9,4131.36
138,65.38,4126.36
139,64.35,4130.11
140,65.0,4126.23
141,64.55,4128.86
142,64.82,4126.11
143,65.25,4123.61
144,64.89,4126.11
145,65.43,4126.61
146,65.09,4128.86
147,65.08,4125.98
148,64.02,4124.86
149,64.95,4124.48
150,64.82,4127.23
151,65.04,4122.98
152,64.56,4129.23
153,64.36,4128.73
154,63.84,4130.48
155,64.64,4127.48
156,64.94,4130.73
157,64.69,4129.86
158,64.77,4125.48
159,64.59,4128.48
160,65.0,4127.61
161,64.59,4128.36
162,65.28,4128.36
163,65.14,4129.36
164,64.61,4127.73
165,65.32,4131.86
166,65.11,4132.11
167,64.44,4127.98
168,65.07,4128.86
169,64.72,4133.11
170,65.18,4132.48
171,64.16,4132.36
172,64.84,4129.73
173,65.42,4133.98
174,64.02,4126.48
175,64.65,4126.98
176,64.15,4125.86
177,64.83,4130.86
178,64.41,4132.36
179,64.34,4126.73
180,65.28,4130.11
181,65.49,4134.23
182,64.48,4131.48
183,65.86,4128.36
184,64.29,4126.23
185,64.16,4133.98
186,64.52,4131.86
187,63.87,4132.36
188,64.86,4130.48
189,64.93,4130.23
190,65.39,4130.61
191,65.29,4126.36
192,64.69,4129.86
193,65.0,4127.23
194,64.61,4132.23
195,64.55,4129.61
196,65.32,4131.23
197,64.81,4127.73
198,65.39,4130.48
199,65.18,4131.61
