epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.91,13.2,18.73,9.4,13.31,3.9427824354551104
1,63.67,38.71,13.26,10.65,31.5725,24.861563875455087
2,61.24,43.95,19.03,13.03,34.3125,22.39398189246388
3,49.42,40.91,20.97,12.94,31.06,16.973062972447448
4,54.26,55.51,18.98,13.38,35.5325,22.468780377819055
5,54.27,58.05,24.38,14.83,37.8825,21.517539163823237
6,55.59,65.62,24.79,16.22,40.555,23.76995933245715
7,55.58,69.36,28.73,17.86,42.88249999999999,23.725536699233313
8,58.72,74.09,33.91,19.5,46.555,24.481506625750523
9,59.96,74.89,38.38,22.09,48.83,23.289701586752887
10,61.2,76.63,48.58,23.03,52.35999999999999,22.669478747131937
11,60.9,78.03,54.53,24.73,54.5475,22.21760319356403
12,58.14,79.67,60.13,25.57,55.8775,22.418967230152834
13,62.4,80.72,63.38,27.86,58.59,22.147460351019934
14,66.45,81.71,66.04,28.66,60.714999999999996,22.579923973890313
15,65.94,83.31,68.11,29.8,61.790000000000006,22.6835873118282
16,71.08,83.61,69.15,30.9,63.685,22.777284737211325
17,68.74,84.85,69.44,31.64,63.66749999999999,22.609076901398105
18,70.16,85.25,71.4,31.49,64.575,23.092897176404698
19,70.36,86.25,72.42,33.13,65.54,22.7294155959482
20,74.74,86.3,73.39,32.94,66.8425,23.332481472545233
21,73.02,88.04,74.46,33.78,67.32499999999999,23.36464209013269
22,78.05,89.34,75.25,36.07,69.6775,23.218020838707737
23,76.98,88.54,75.56,36.77,69.4625,22.556912281308954
24,75.47,88.64,76.44,36.92,69.3675,22.446456847351207
25,79.27,89.74,76.85,37.66,70.88,22.84221968198362
26,77.68,89.54,76.71,36.42,70.0875,23.190543151609596
27,76.77,90.38,77.38,37.36,70.4725,22.950078249685046
28,81.41,91.03,77.67,38.61,72.18,23.076686648361516
29,80.26,90.48,78.1,39.4,72.06,22.432815249094354
30,80.68,90.38,77.49,39.9,72.1125,22.16353066789375
31,79.77,90.88,77.49,40.1,72.06,22.09496926150083
32,78.79,90.68,78.45,39.75,71.9175,22.18621400029006
33,81.6,90.98,78.23,40.95,72.94,21.998343877058865
