epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.9,13.2,18.77,9.2,13.267500000000002,4.028923553506569
1,64.34,39.66,13.58,11.19,32.1925,25.01170042866605
2,60.85,42.9,18.83,13.33,33.9775,22.04168985506027
3,69.07,66.07,14.98,12.44,40.63999999999999,31.1374661782233
4,52.0,49.83,21.42,14.38,34.4075,19.297024597935643
5,55.76,61.93,22.17,14.58,38.61000000000001,23.704144504003235
6,56.06,68.56,24.39,16.07,41.269999999999996,25.056353818276648
7,54.74,68.96,30.32,17.71,42.9325,23.1811523656612
8,56.9,73.24,36.23,19.9,46.567499999999995,23.35381678298717
9,60.71,75.59,40.58,22.14,49.754999999999995,23.339723648749573
10,61.34,77.48,50.02,23.63,53.1175,22.658685420827045
11,60.04,78.82,54.24,26.22,54.83,21.768053044159306
12,60.01,80.17,60.24,26.42,56.71000000000001,22.295041302196925
13,63.58,81.07,64.04,28.56,59.3125,22.05799836038317
14,65.93,82.31,65.7,29.45,60.8475,22.329505704336583
15,66.32,83.16,67.95,31.0,62.1075,22.081396959129794
16,70.83,85.55,69.47,32.39,64.56,22.64884102995118
17,68.79,85.15,70.51,33.03,64.37,22.145277901469953
18,69.7,84.95,72.27,32.39,64.8275,22.629173464063303
19,69.87,86.05,73.54,34.83,66.0725,21.94978264888592
20,74.6,86.65,74.03,34.73,67.5025,22.610073529292208
21,73.59,87.99,75.44,34.98,68.0,22.923948176524917
22,78.89,88.89,75.98,37.46,70.30499999999999,22.583947839117943
23,79.1,88.14,76.17,37.46,70.2175,22.424695278494493
24,73.91,87.44,76.56,37.11,68.755,21.893890319752067
25,77.87,88.19,77.27,38.51,70.46,21.881800657167133
26,76.96,88.34,77.64,37.86,70.2,22.180970823358177
27,76.56,90.58,77.5,38.31,70.7375,22.54551304214063
28,79.3,90.53,78.05,39.25,71.7825,22.402579278586057
29,80.7,90.48,78.48,39.65,72.3275,22.400031808013132
30,79.91,90.03,78.18,39.25,71.8425,22.34803999608616
31,79.15,90.53,78.64,40.9,72.30499999999999,21.644174735942237
32,80.32,90.83,78.71,39.75,72.40249999999999,22.42193773220028
33,82.97,91.08,79.04,41.54,73.65750000000001,21.990689507152794
34,82.19,91.13,78.77,40.75,73.21,22.258571382728046
35,81.23,90.78,79.51,42.09,73.4025,21.45554687409917
36,81.81,91.98,78.85,41.09,73.4325,22.28286991540063
37,81.78,92.08,78.65,42.49,73.75,21.615329436921996
38,85.08,92.03,79.68,43.68,75.1175,21.559351219366505
39,84.25,91.48,78.9,42.89,74.38000000000001,21.61694859749328
40,83.57,92.38,79.27,42.09,74.32749999999999,22.173567409568236
41,86.77,92.97,78.7,41.04,74.87,23.297766702697775
42,86.06,92.63,79.07,42.14,74.975,22.57936004407565
43,86.14,92.63,79.39,43.68,75.46,21.86538055160867
44,84.3,92.58,79.72,41.89,74.6225,22.461276863378302
45,84.35,92.48,79.38,44.23,75.11,21.283027666820967
46,81.52,92.13,79.76,42.24,73.9125,21.810485819134488
47,85.44,92.97,79.26,43.83,75.375,21.76440902023301
48,86.05,92.68,80.12,42.89,75.435,22.294950848417077
49,86.59,92.78,80.47,44.48,76.08000000000001,21.65780998469913
50,86.1,92.68,79.85,43.93,75.64,21.779358729463702
51,86.06,92.73,79.52,44.63,75.735,21.42648594613685
52,86.32,92.97,80.21,43.48,75.745,22.13216136455422
53,88.61,93.72,80.25,43.33,76.47749999999999,22.785155072254096
54,86.03,92.97,79.91,42.54,75.3625,22.52269873557193
55,85.57,93.42,80.14,42.69,75.455,22.513321241730047
56,86.04,93.97,80.53,43.78,76.07999999999998,22.228706665031144
57,88.94,93.52,80.53,43.58,76.6425,22.688617373769898
58,87.44,94.22,79.57,43.28,76.1275,22.701837480697456
59,88.59,93.62,79.94,42.74,76.2225,23.025534195757544
60,87.86,93.37,80.49,43.23,76.23750000000001,22.628771324724344
61,89.36,94.17,80.14,43.03,76.67500000000001,23.173091435254523
62,87.08,93.17,80.31,44.78,76.33500000000001,21.682488325835667
63,88.75,94.32,78.75,44.68,76.625,22.249549059100797
64,87.47,94.42,79.98,44.13,76.5,22.371072094708975
65,88.4,94.07,80.57,42.94,76.49499999999999,23.044545992490285
66,89.02,94.52,78.67,43.58,76.44749999999999,22.87571547150675
67,86.07,93.97,80.76,43.28,76.02000000000001,22.491333145606703
68,89.01,94.22,80.61,43.73,76.89250000000001,22.808238825769372
69,87.9,94.42,79.87,43.28,76.3675,22.84689238532599
70,90.22,94.92,79.04,43.28,76.86500000000001,23.35966538002346
71,86.59,93.97,80.07,43.78,76.10249999999999,22.283927503920843
72,88.26,94.77,79.84,43.83,76.675,22.733620477169932
73,89.62,93.92,80.04,44.08,76.915,22.645749417201163
74,89.09,94.22,79.84,43.68,76.7075,22.808202289235044
75,87.44,94.32,79.96,44.08,76.44999999999999,22.362572899079986
76,88.51,94.72,80.03,43.78,76.75999999999999,22.796179504469603
77,87.75,94.27,80.05,43.73,76.45,22.5743276016511
78,87.74,94.47,79.74,43.53,76.37,22.706162159202506
79,85.18,93.92,80.14,44.68,75.98,21.629294949211822
80,88.77,94.72,78.26,43.63,76.345,22.84702533518678
81,87.34,94.62,79.13,45.92,76.75250000000001,21.50688475039253
82,89.75,94.72,79.55,44.83,77.21249999999999,22.492900176129652
83,87.23,94.27,79.59,44.18,76.31750000000001,22.247869373642654
84,87.39,94.72,79.66,43.73,76.375,22.61530823726855
85,88.15,94.07,79.32,44.08,76.40499999999999,22.386008278982356
86,87.53,94.47,78.74,41.99,75.6825,23.365689054680153
87,86.1,94.47,80.44,43.88,76.2225,22.318608640922637
88,86.97,94.62,79.65,44.93,76.5425,21.943377702623632
89,88.68,94.52,80.55,43.93,76.92,22.727183430127603
90,89.4,94.72,80.07,43.63,76.955,23.027028321807684
91,88.77,94.82,79.3,42.99,76.47,23.215883930332406
92,88.6,94.82,80.81,44.73,77.24000000000001,22.418377877684787
93,90.77,95.27,77.95,43.78,76.9425,23.29423015111968
94,89.26,94.77,80.35,44.43,77.2025,22.64173046243006
95,89.46,94.77,79.64,44.88,77.1875,22.431732545659507
96,87.95,94.47,79.93,43.33,76.42,22.8474039371362
97,89.04,95.32,79.34,43.83,76.88250000000001,22.994588312615353
98,87.68,94.47,80.48,43.88,76.6275,22.566590903368635
99,90.73,95.02,80.04,43.33,77.28,23.493475690071914
100,90.69,94.77,80.36,43.78,77.4,23.219295137162682
101,89.9,95.12,79.45,44.38,77.2125,22.837328178518025
102,90.33,95.37,79.01,42.94,76.9125,23.658957958174465
103,88.51,94.52,80.91,43.98,76.98,22.693886107642882
104,88.28,94.57,80.64,44.53,77.005,22.38670513198998
105,89.83,94.87,80.93,44.68,77.5775,22.67626567581179
106,90.62,94.67,80.39,43.33,77.2525,23.39970993409961
107,88.54,95.02,79.23,44.38,76.7925,22.559233697091752
108,90.08,95.42,78.5,42.29,76.5725,23.92130065443767
109,87.17,94.97,80.09,44.88,76.7775,22.116315809826915
110,90.91,95.02,79.92,44.93,77.69500000000001,22.754396644751242
111,91.41,94.82,80.54,44.83,77.89999999999999,22.872115482977666
112,87.48,94.72,80.19,44.28,76.66749999999999,22.39167311747829
113,88.9,94.67,81.11,44.18,77.215,22.713421142575598
114,88.76,94.47,80.98,45.17,77.34500000000001,22.151084999761675
115,90.36,95.27,80.94,45.07,77.91,22.686402682370485
116,86.99,94.97,81.16,44.78,76.975,22.197240819525295
117,89.36,95.12,80.5,44.23,77.30250000000001,22.85359836728854
118,90.57,95.12,79.85,43.18,77.17999999999999,23.553234738919976
119,86.75,95.22,79.99,44.28,76.56,22.40383151754777
120,88.95,94.87,80.49,44.68,77.2475,22.499310174610542
121,90.73,95.22,80.07,43.03,77.26249999999999,23.68960021472151
122,91.34,95.27,79.83,44.18,77.655,23.25850167143189
123,89.0,94.97,80.63,45.32,77.48,22.232098416478816
124,86.29,94.77,79.97,44.18,76.3025,22.256866169042457
125,90.4,95.37,79.83,44.23,77.45750000000001,23.080016428359265
126,90.15,94.72,80.42,45.62,77.7275,22.22014607662755
127,87.73,95.27,79.23,43.38,76.4025,22.969364198137193
128,87.36,95.17,79.75,43.68,76.49,22.76124630448283
129,86.65,95.07,80.48,44.23,76.6075,22.398024280428547
130,87.81,94.92,81.71,44.63,77.2675,22.41797846223725
131,90.28,95.27,80.39,44.68,77.655,22.8364452867195
132,91.25,95.07,79.67,45.52,77.8775,22.543488897388233
133,89.87,95.02,80.37,46.07,77.8325,22.02730786243899
134,88.96,95.37,79.69,45.37,77.3475,22.268875701301134
135,88.27,95.52,78.75,44.53,76.76749999999998,22.562139932491625
136,89.27,95.22,80.2,43.38,77.0175,23.259868694097705
137,89.02,95.32,79.54,44.63,77.1275,22.61493809410054
138,86.95,95.81,79.76,44.23,76.6875,22.612079920549846
139,87.35,95.02,80.23,45.42,77.00500000000001,21.905646912763537
140,87.21,95.27,80.35,45.57,77.1,21.886559041262437
141,88.01,95.52,80.24,44.93,77.175,22.38355423072931
142,89.28,95.62,79.76,45.32,77.495,22.41846485972371
143,89.98,95.52,80.34,43.88,77.43,23.229443959480964
144,84.11,94.92,80.44,43.33,75.7,22.438218883562634
145,88.83,95.86,79.41,43.68,76.94500000000001,23.17805643275553
146,92.63,95.76,79.44,45.27,78.27499999999999,23.11189087893935
147,90.96,95.67,79.91,45.37,77.97749999999999,22.719693916658887
