epoch,local_time_s,peak_vram_mb
0,61.67,4133.73
1,62.13,4137.23
2,62.98,4139.73
3,61.67,4132.36
4,62.76,4141.23
5,62.61,4134.86
6,61.74,4133.11
7,62.48,4133.11
8,61.75,4131.61
9,61.9,4128.86
10,63.26,4135.86
11,61.62,4134.98
12,62.01,4133.48
13,62.53,4135.98
14,60.96,4130.36
15,63.2,4130.73
16,62.62,4133.48
17,60.73,4131.11
18,62.87,4129.98
19,62.32,4134.48
20,61.02,4133.48
21,62.78,4131.36
22,61.56,4135.61
23,62.76,4132.73
24,62.43,4132.61
25,61.47,4133.48
26,62.67,4131.23
27,61.91,4133.48
28,61.95,4129.86
29,62.46,4127.86
30,61.5,4133.23
31,62.29,4130.23
32,62.43,4127.36
33,60.86,4126.11
34,62.33,4131.11
35,62.54,4126.73
36,61.18,4129.48
37,62.22,4129.11
38,62.41,4127.61
39,61.53,4128.48
40,62.39,4133.36
41,62.42,4128.23
42,61.32,4128.36
43,62.95,4131.86
44,62.22,4130.73
45,61.51,4128.61
46,62.99,4127.61
47,61.96,4129.48
48,62.04,4125.86
49,62.58,4124.86
50,61.34,4123.98
51,62.92,4125.73
52,61.9,4129.48
53,60.72,4125.36
54,62.63,4130.36
55,61.42,4130.23
56,61.97,4129.23
57,62.18,4131.61
58,61.08,4129.73
59,62.19,4127.61
60,62.36,4128.23
61,60.7,4130.86
62,62.39,4132.23
63,62.05,4126.98
64,60.66,4129.48
65,62.33,4128.48
66,62.19,4130.36
67,60.76,4129.23
68,62.51,4129.11
69,62.2,4130.11
70,61.28,4130.98
71,62.97,4127.11
72,62.13,4133.48
73,61.33,4129.98
74,63.01,4127.23
75,61.71,4130.86
76,61.83,4130.23
77,62.47,4128.73
78,61.54,4129.23
79,62.52,4131.98
80,62.08,4128.98
81,61.22,4129.36
82,63.13,4129.11
83,62.17,4133.23
84,61.62,4134.48
85,62.61,4137.11
86,61.12,4135.73
87,62.11,4136.11
88,62.63,4132.36
89,61.02,4137.23
90,62.83,4139.36
91,62.17,4131.98
92,61.21,4136.73
93,62.41,4136.98
94,62.27,4133.61
95,61.56,4130.36
96,62.57,4132.61
97,62.22,4130.36
98,60.83,4125.73
99,63.04,4130.73
100,61.54,4131.48
101,61.63,4133.48
102,62.71,4130.11
103,61.9,4132.11
104,61.87,4129.73
105,62.61,4134.48
106,61.71,4133.73
107,63.21,4128.61
108,61.66,4132.73
109,62.01,4135.11
110,62.63,4132.61
111,61.56,4133.11
112,62.63,4132.98
113,62.6,4129.86
114,61.6,4132.11
115,62.32,4133.48
116,62.51,4131.36
117,61.26,4132.11
118,62.47,4133.23
119,62.71,4126.48
120,61.09,4127.48
121,62.83,4123.61
122,62.16,4125.73
123,61.31,4124.11
124,62.94,4128.61
125,61.73,4127.36
126,61.69,4126.98
127,63.69,4129.23
128,61.45,4128.48
129,62.6,4130.23
130,62.58,4131.11
131,61.9,4127.61
132,62.85,4130.36
133,61.25,4130.48
134,61.6,4129.11
135,62.62,4126.86
136,61.15,4125.98
137,62.02,4131.36
138,62.78,4126.36
139,60.47,4130.11
140,63.13,4126.23
141,62.32,4128.86
142,61.19,4126.11
143,62.82,4123.61
144,61.85,4126.11
145,61.83,4126.61
146,63.04,4128.86
147,61.2,4125.98
148,62.59,4124.86
149,62.18,4124.48
150,62.1,4127.23
151,62.3,4122.98
152,62.18,4129.23
153,61.28,4128.73
154,62.63,4130.48
155,61.54,4127.48
156,61.84,4130.73
157,62.85,4129.86
158,61.8,4125.48
159,61.88,4128.48
160,63.14,4127.61
161,61.1,4128.36
162,62.41,4128.36
163,62.76,4129.36
164,60.98,4127.73
165,63.2,4131.86
166,61.72,4132.11
167,60.7,4127.98
168,62.91,4128.86
169,61.99,4133.11
170,60.87,4132.48
171,62.44,4132.36
172,62.29,4129.73
173,61.6,4133.98
174,62.49,4126.48
175,61.94,4126.98
176,62.13,4125.86
177,62.53,4130.86
178,61.52,4132.36
179,62.05,4126.73
180,62.04,4130.11
181,61.74,4134.23
182,62.59,4131.48
183,61.7,4128.36
184,61.84,4126.23
185,62.38,4133.98
186,61.16,4131.86
187,61.56,4132.36
188,62.72,4130.48
189,61.28,4130.23
190,62.35,4130.61
191,62.74,4126.36
192,61.29,4129.86
193,63.18,4127.23
194,62.38,4132.23
195,61.41,4129.61
196,63.1,4131.23
197,62.2,4127.73
198,62.42,4130.48
199,62.66,4131.61
