epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.54,13.2,18.78,9.25,13.192499999999999,4.061784295930382
1,48.27,19.28,18.46,12.64,24.662500000000005,16.01350341638789
2,50.38,24.56,19.58,13.13,26.912499999999998,16.329734382408063
3,48.04,37.37,22.21,12.64,30.065,15.724665338251238
4,52.14,48.88,23.12,13.88,34.505,18.908928226281535
5,52.43,53.26,23.07,14.63,35.8475,19.930054984035205
6,55.27,59.99,25.28,15.57,39.0275,21.927861082802096
7,55.37,64.97,25.75,15.87,40.49,23.41008899313855
8,58.89,70.35,25.72,16.97,42.9825,25.668870089403363
9,58.62,72.25,27.45,17.01,43.832499999999996,25.910469409101797
10,57.7,72.7,29.42,19.8,44.905,24.537863938547435
11,58.76,76.58,28.67,20.0,46.0025,26.29501140901064
12,59.59,78.43,33.01,21.14,48.042500000000004,25.86158976165232
13,62.13,79.52,38.92,21.69,50.565,25.439555158584565
14,62.88,79.87,41.51,23.18,51.86,24.736379417098753
15,62.1,80.72,47.5,24.28,53.65,23.836993658317457
16,64.46,81.71,46.43,25.87,54.6175,23.974516157787203
17,64.14,82.31,52.44,27.16,56.512499999999996,23.10731684265109
18,63.55,84.3,52.31,27.31,56.8675,23.745978431445327
19,67.1,84.5,52.64,29.1,58.335,23.441776809789825
20,70.26,85.55,56.56,29.3,60.417500000000004,23.8865127565048
21,69.72,86.15,58.75,29.95,61.1425,23.647724872948494
22,69.17,86.75,58.73,31.0,61.4125,23.340120500974283
23,70.1,87.24,57.97,32.24,61.887499999999996,23.126575441830262
24,73.05,87.14,61.14,31.14,63.11749999999999,23.820202035247306
25,75.08,87.69,64.17,32.39,64.8325,23.667356386663325
26,73.44,88.14,65.51,32.24,64.8325,23.664732374006118
27,75.9,89.09,65.61,34.13,66.1825,23.4298518632392
28,75.92,89.59,66.83,35.17,66.8775,23.115595565187874
29,77.31,89.59,68.27,34.08,67.3125,23.815631246445406
30,75.82,88.99,67.16,36.82,67.1975,22.151406840198657
31,75.59,90.08,68.21,36.27,67.5375,22.73848334871963
32,76.82,90.48,68.45,35.17,67.73,23.529149297555715
33,77.73,90.68,67.94,36.17,68.13000000000001,23.253244934847267
34,72.48,90.43,69.51,36.07,67.1225,22.670834972125167
35,79.61,90.83,70.24,37.56,69.56,22.933801836299768
36,78.9,90.98,70.78,36.57,69.3075,23.349700033762034
37,79.53,90.83,70.54,37.56,69.61500000000001,22.92569228325868
38,81.47,90.73,71.67,38.51,70.595,22.761712735790923
39,81.15,90.53,71.81,38.36,70.4625,22.72526842525738
40,81.31,91.38,72.18,38.51,70.845,22.938591209284557
41,83.97,91.83,72.66,38.41,71.7175,23.557831500373716
42,84.64,91.98,72.41,38.46,71.8725,23.692507078539972
43,83.16,91.33,72.78,39.25,71.63,22.882437224503278
