epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,11.54,13.15,18.84,9.3,13.2075,4.073388229308208
1,47.23,18.44,18.54,12.74,24.2375,15.566203508455958
2,49.27,22.47,19.65,13.48,26.217500000000005,15.820213599485102
3,47.94,37.82,22.08,12.64,30.119999999999997,15.780097169113589
4,51.4,48.28,23.21,13.68,34.142500000000005,18.582461937716072
5,51.93,53.01,23.49,14.73,35.79,19.594570676593044
6,54.25,59.79,26.31,15.12,38.8675,21.571639367465792
7,54.72,64.52,26.59,15.67,40.37499999999999,23.01538108888633
8,57.31,69.56,27.4,16.22,42.6225,24.967766386549947
9,57.75,72.05,28.45,17.56,43.9525,25.276682766270312
10,56.41,72.25,30.6,19.85,44.777499999999996,23.891665736542244
11,58.58,76.63,29.25,20.45,46.22749999999999,26.010326635139872
12,59.95,78.43,34.74,21.0,48.53,25.641706911462297
13,61.73,80.12,39.62,21.89,50.84,25.42899526131538
14,64.29,80.57,42.19,23.08,52.5325,25.157883290663914
15,62.2,80.77,47.6,24.28,53.7125,23.859174859998824
16,64.57,81.81,47.43,26.17,54.995000000000005,23.796601297944488
17,63.59,82.21,52.88,27.06,56.435,23.02949775107279
18,62.94,84.01,53.32,27.01,56.81999999999999,23.64766796113308
19,65.7,84.01,55.4,28.31,58.355000000000004,23.2634341116411
20,70.15,85.4,57.47,28.91,60.4825,23.94605238865062
21,69.28,86.0,59.65,29.7,61.1575,23.628878341272713
22,70.25,86.65,59.24,31.49,61.907500000000006,23.195750149542484
23,69.7,87.14,59.78,31.89,62.1275,23.114101576022087
24,71.23,86.7,62.82,31.39,63.035,23.299803289584514
25,74.58,88.24,64.68,32.74,65.06,23.61263503578822
26,70.25,87.14,66.5,31.34,63.8075,23.432879144484147
27,75.54,88.99,66.15,33.88,66.14,23.4605356574255
28,76.93,89.59,66.83,35.02,67.0925,23.321149735808483
29,76.23,89.39,68.17,34.43,67.055,23.442601533675113
30,76.42,89.29,67.54,35.97,67.305,22.718281184984047
31,76.99,89.69,67.9,35.87,67.6125,22.97115927273444
32,78.76,90.63,68.67,36.62,68.67,23.17507425374656
33,77.7,90.18,68.76,36.62,68.315,22.883236222178024
34,69.79,90.28,70.24,35.52,66.4575,22.73069345620586
35,78.34,90.98,70.87,36.82,69.2525,23.159953043993852
36,78.56,91.18,71.06,36.07,69.2175,23.60639231931329
37,80.11,90.88,70.49,37.86,69.83500000000001,22.885929447297233
38,81.66,91.03,72.12,38.11,70.73,23.07633275313331
39,80.54,90.68,72.01,37.86,70.27250000000001,22.9163455129012
40,81.29,91.53,71.78,39.25,70.9625,22.627639993306122
41,82.61,91.93,72.34,38.56,71.36000000000001,23.284385325792908
42,83.35,91.73,72.64,39.05,71.6925,23.121629664306393
43,82.85,91.33,72.54,39.7,71.605,22.61510483430635
44,80.6,91.03,72.88,38.96,70.86749999999999,22.53431956668169
45,83.29,91.48,73.23,39.95,71.9875,22.624833516882873
46,80.5,90.98,73.06,39.4,70.985,22.30286304490973
47,80.07,91.43,73.43,39.9,71.2075,22.15545436982355
48,83.12,91.98,73.43,40.05,72.14500000000001,22.698150438600354
49,81.01,91.43,74.36,41.59,72.0975,21.517471002265424
50,81.89,91.73,73.16,40.15,71.7325,22.37980395356492
51,84.49,92.18,73.44,41.59,72.92500000000001,22.26096508839333
52,83.39,91.78,74.07,40.9,72.535,22.295967497883257
53,83.83,92.53,73.79,40.5,72.66250000000001,22.767874113905904
54,84.28,91.93,74.81,41.09,73.0275,22.413570851904286
55,82.45,92.53,74.39,41.14,72.6275,22.264770939760417
56,84.64,92.63,73.99,42.54,73.45,21.97580639400217
57,86.32,91.98,74.95,41.94,73.7975,22.387830585685013
58,83.17,92.58,74.5,41.54,72.9475,22.201920900378568
59,84.75,92.13,76.2,42.54,73.905,21.899732875083203
60,83.73,92.13,75.23,43.53,73.655,21.235406753815663
61,85.65,92.33,75.3,42.54,73.95500000000001,22.08411872817206
62,85.38,92.43,74.44,42.04,73.5725,22.286569012150196
63,82.88,92.03,75.29,42.19,73.0975,21.711882115560595
64,83.55,92.08,74.84,42.59,73.265,21.627310666531486
65,84.83,92.53,75.25,42.64,73.8125,21.95086387821673
66,85.99,93.32,74.21,42.44,73.99,22.458107667388184
67,85.37,92.63,74.88,42.44,73.83,22.15886729957107
68,86.83,92.97,75.44,41.69,74.2325,22.878397926136934
69,84.67,92.97,75.63,42.79,74.015,21.988102085749315
70,83.25,93.12,74.7,42.64,73.4275,21.861423215335275
71,83.85,92.43,75.73,43.23,73.81,21.496734635753405
72,84.48,92.87,75.48,44.18,74.25250000000001,21.26871783472933
73,86.69,91.78,76.09,44.98,74.885,20.98062677805408
74,86.51,92.68,75.75,43.28,74.555,21.99235700571148
75,86.7,93.22,76.15,44.58,75.16250000000001,21.567349358076747
76,82.87,93.22,75.67,43.88,73.91,21.27640477148336
77,83.97,92.78,76.06,44.38,74.2975,21.08177154953223
