epoch,local_time_s,peak_vram_mb
0,60.67,1102.48
1,60.99,1107.73
2,61.52,1111.6
3,60.77,1113.85
4,63.72,1112.85
5,57.97,1109.1
6,57.71,1109.97
7,57.24,1109.35
8,57.88,1113.85
9,61.15,1111.35
10,60.41,1111.35
11,61.84,1112.35
12,61.54,1115.98
13,60.0,1117.6
14,61.44,1114.85
15,58.22,1113.47
16,57.02,1110.48
17,56.98,1109.85
18,57.07,1113.47
19,58.11,1112.35
20,57.64,1113.35
21,56.97,1112.22
22,56.99,1109.6
23,56.85,1111.97
24,56.88,1111.6
25,56.72,1112.23
26,56.48,1113.35
27,57.04,1109.1
28,57.28,1110.35
29,56.96,1110.47
30,57.41,1107.97
31,57.59,1111.35
32,57.48,1111.85
33,56.86,1111.23
34,56.96,1114.6
35,57.15,1114.48
36,57.02,1109.85
37,58.53,1109.97
38,60.13,1111.1
39,61.86,1108.72
40,59.22,1113.23
41,60.39,1114.72
42,59.47,1111.22
43,61.59,1115.85
44,60.95,1115.97
45,60.62,1112.22
46,61.71,1110.97
47,61.09,1112.47
48,60.64,1115.1
49,61.78,1113.48
50,61.49,1111.72
51,60.37,1111.35
52,61.94,1108.48
53,61.33,1108.6
54,59.88,1113.23
55,61.24,1114.85
56,61.58,1111.35
57,60.7,1111.1
58,60.42,1110.35
59,60.37,1116.48
60,59.8,1112.97
61,61.25,1111.85
62,60.41,1109.35
63,59.84,1114.22
64,61.78,1115.22
65,61.28,1114.48
66,60.07,1113.98
67,60.7,1117.98
68,60.67,1116.85
69,60.31,1114.47
70,60.91,1113.85
71,61.0,1111.97
72,60.4,1110.47
73,61.64,1113.98
74,60.53,1110.85
75,60.79,1108.1
76,61.64,1110.6
77,61.12,1113.35
78,60.24,1112.23
79,61.47,1114.1
80,61.78,1114.85
81,60.31,1113.85
82,61.03,1114.98
83,61.01,1108.73
84,60.14,1110.85
85,61.19,1111.97
86,61.35,1113.22
87,60.18,1110.47
88,61.2,1110.22
89,61.43,1109.97
90,60.21,1109.35
91,60.92,1112.47
92,61.2,1112.22
93,60.51,1112.47
94,60.98,1111.97
95,61.26,1109.6
96,60.97,1108.73
97,61.51,1108.6
98,61.43,1107.6
99,60.61,1107.72
100,61.77,1108.47
101,62.42,1107.85
102,60.41,1109.22
103,58.94,1109.23
104,61.35,1110.1
105,59.8,1114.35
106,61.25,1110.6
107,61.12,1109.85
108,60.31,1110.22
109,61.43,1110.48
110,61.31,1112.6
111,59.97,1111.6
112,61.6,1113.47
113,61.24,1113.47
114,60.47,1113.1
115,61.37,1116.35
116,61.63,1112.47
117,60.19,1112.1
118,61.32,1111.97
119,61.1,1110.48
120,60.95,1108.72
121,61.23,1108.22
122,61.0,1108.85
123,60.46,1115.35
124,61.06,1113.85
125,61.28,1115.1
126,60.86,1110.23
127,60.96,1110.22
128,60.8,1111.6
129,60.98,1109.73
130,61.54,1109.1
131,61.41,1111.85
132,60.83,1111.73
133,61.25,1112.35
134,61.83,1110.35
135,60.99,1113.72
136,61.47,1116.35
137,61.49,1112.22
138,61.22,1110.47
139,61.23,1112.1
140,61.62,1110.73
141,60.41,1110.72
142,61.33,1111.98
143,61.16,1110.1
144,61.03,1110.22
145,61.44,1111.97
146,61.67,1112.35
147,60.89,1111.72
148,61.07,1110.97
149,61.46,1112.35
150,60.86,1113.47
151,61.06,1113.23
152,60.89,1114.47
153,60.38,1114.72
154,60.49,1110.6
155,61.93,1110.97
156,60.96,1109.1
157,60.28,1110.85
158,61.09,1111.85
159,61.31,1108.85
160,60.21,1110.6
161,61.7,1110.22
162,61.65,1109.1
163,61.08,1112.22
164,61.23,1111.48
165,61.49,1109.6
166,61.08,1114.22
167,60.93,1113.1
168,61.12,1112.72
169,61.15,1112.35
170,61.71,1110.22
171,61.15,1112.73
172,61.2,1115.98
173,61.74,1113.22
174,61.49,1112.97
175,60.26,1112.23
176,61.44,1113.35
177,61.43,1112.1
178,60.91,1112.1
179,60.77,1107.6
180,61.17,1107.97
181,60.67,1109.35
182,60.99,1110.73
183,61.31,1107.73
184,60.02,1108.72
185,61.23,1112.47
186,61.21,1110.22
187,61.26,1108.73
188,60.88,1111.22
189,59.52,1111.35
190,61.07,1111.72
191,61.59,1110.23
192,61.65,1111.35
193,61.03,1108.6
194,60.29,1112.22
195,61.65,1112.35
196,60.82,1113.35
197,61.3,1108.85
198,61.74,1110.98
199,61.46,1109.48
