epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.06,19.53,17.57,10.2,20.09,9.534096706033564
1,31.54,38.52,11.69,11.79,23.384999999999998,13.745172485882698
2,69.43,20.38,19.69,13.73,30.8075,25.920841517975457
3,80.93,48.28,23.43,14.03,41.667500000000004,29.89819880304944
4,81.76,58.25,25.62,15.22,45.2125,30.491049369719416
5,80.73,63.48,29.96,16.62,47.697500000000005,29.555954137872117
6,81.38,66.97,34.73,16.57,49.912499999999994,29.571340151121547
7,81.95,70.8,39.01,17.06,52.205,29.663771956153294
8,82.76,74.39,43.2,17.86,54.55250000000001,29.801612232674035
9,82.99,76.68,47.44,19.7,56.7025,29.12680366375045
10,83.56,77.73,51.29,21.19,58.4425,28.529537179328138
11,84.91,79.62,54.83,22.84,60.550000000000004,28.353935646866855
12,86.11,81.56,58.71,24.93,62.82750000000001,27.965190713933396
13,87.03,83.56,61.27,26.72,64.64500000000001,27.74023371687172
14,88.36,84.9,63.83,30.05,66.785,26.781997062703645
15,87.99,84.55,65.66,32.04,67.56,25.63412699248146
16,89.42,87.1,67.79,34.88,69.7975,25.216931316082057
17,89.8,87.89,69.2,35.77,70.66499999999999,25.05098866977775
18,90.45,88.44,71.87,36.92,71.92,24.77413839739605
19,90.41,88.89,72.66,40.05,73.0025,23.391011628401195
20,91.77,89.04,74.0,40.45,73.815,23.575694404760736
21,92.03,90.53,75.64,42.99,75.2975,22.773504158707475
22,92.45,90.63,76.08,44.43,75.8975,22.220626116291143
23,93.08,90.63,76.98,45.57,76.565,21.84362378361246
24,92.81,90.78,77.64,45.67,76.72500000000001,21.76787005351389
25,92.94,91.33,78.31,46.02,77.14999999999999,21.762498324717527
26,93.25,91.33,79.09,46.72,77.5975,21.51921525056153
27,93.68,91.83,79.15,48.31,78.24249999999999,20.97390978493678
28,94.12,91.78,79.53,49.3,78.6825,20.606717957986422
29,94.1,91.93,80.18,49.05,78.81500000000001,20.764175077923678
30,94.33,91.73,79.82,50.4,79.07,20.130197879471197
31,93.56,92.03,80.83,50.15,79.1425,20.144185885758702
32,93.89,92.03,80.75,51.19,79.465,19.72381555379182
33,93.65,91.98,80.74,51.09,79.36500000000001,19.702501533223305
34,94.0,92.23,80.8,51.64,79.6675,19.579413295602095
35,94.48,92.38,80.98,51.94,79.94500000000001,19.589509947928764
36,94.13,92.83,81.29,52.54,80.1975,19.320330181788645
37,94.53,92.83,81.5,53.38,80.56,19.02060111212752
38,94.25,92.43,81.49,53.48,80.41250000000001,18.81858367855208
39,94.39,92.68,81.71,53.53,80.57749999999999,18.88655143216993
40,94.16,92.83,81.71,53.68,80.595,18.79153089381845
41,94.4,93.17,81.92,54.43,80.98,18.569496492904705
42,93.98,92.92,82.48,54.43,80.9525,18.42745302530982
43,94.68,93.22,82.03,55.02,81.2375,18.36905436687837
44,95.15,93.47,81.76,55.47,81.4625,18.323266402764183
45,94.88,93.47,82.51,56.12,81.745,17.955776229392033
46,94.65,93.27,82.58,55.92,81.605,17.952846570948015
47,94.29,93.07,82.48,56.02,81.465,17.772965425049357
48,94.84,93.27,82.55,57.01,81.9175,17.480025505320828
49,94.57,93.22,83.02,56.67,81.87,17.573417425190808
50,94.9,93.47,82.83,57.66,82.215,17.2328223650877
51,95.02,93.37,82.58,57.36,82.0825,17.380411147802764
52,94.68,93.22,83.24,57.51,82.1625,17.20332211134427
53,95.09,93.52,83.03,57.86,82.375,17.19783416596404
54,95.05,93.42,82.89,58.21,82.3925,16.99861636526142
55,94.82,93.67,83.29,57.66,82.36000000000001,17.263860132272466
56,94.95,93.62,83.08,58.11,82.44,17.0670345012444
57,95.32,93.67,83.48,58.11,82.64500000000001,17.174299597557585
58,95.42,93.52,83.23,58.36,82.63250000000001,17.0447359909152
59,94.95,93.62,83.62,58.41,82.65,16.932704056548875
60,94.91,93.87,83.59,58.71,82.77,16.833949823694578
61,95.21,94.12,83.55,58.46,82.835,17.079653587431643
62,95.1,93.82,83.39,59.0,82.8275,16.72837385003894
63,94.91,93.82,83.04,58.61,82.595,16.863551425090346
64,94.76,94.17,83.35,59.2,82.86999999999999,16.628904554018785
65,95.46,94.07,83.57,59.1,83.05,16.825787747779692
66,95.04,94.32,83.39,58.96,82.9275,16.843957126122906
67,94.83,94.27,83.98,59.75,83.2075,16.41455121733965
68,95.21,94.37,83.67,59.85,83.275,16.47654797988138
69,95.62,94.47,83.28,60.4,83.4425,16.33891545768364
70,95.33,94.42,83.77,60.0,83.38,16.446484933464255
71,95.33,94.32,83.83,60.05,83.3825,16.400990569677997
72,95.11,94.32,83.8,60.1,83.33250000000001,16.323829973385532
73,95.22,94.27,83.74,59.75,83.245,16.50465893821095
74,95.17,94.22,84.11,59.85,83.3375,16.438737532629037
75,94.93,94.47,84.1,60.15,83.4125,16.29455609500711
76,94.9,94.47,84.03,60.85,83.5625,15.95398252265977
77,94.98,94.42,84.14,60.6,83.53500000000001,16.081578488029923
78,95.23,94.22,83.55,61.34,83.58500000000001,15.743257816178538
79,95.03,94.27,83.93,60.35,83.39500000000001,16.176084198593923
80,95.19,94.47,83.99,61.39,83.75999999999999,15.767252984165207
81,95.39,94.57,83.74,61.14,83.71,15.95585368028507
82,95.29,94.62,84.36,60.65,83.73,16.179297471357238
83,95.26,94.57,83.62,60.3,83.4375,16.32055222717663
84,95.49,94.72,83.87,61.09,83.79249999999999,16.03798901566735
85,95.73,94.52,84.37,60.95,83.8925,16.120964352875003
86,95.41,94.47,83.9,60.8,83.645,16.099222548516643
87,95.96,94.57,84.54,60.9,83.99249999999999,16.21386109681055
88,95.94,94.62,84.4,61.14,84.025,16.104710491033362
89,95.45,94.52,84.53,60.7,83.8,16.173886360426796
