epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,35.24,17.79,18.47,10.05,20.3875,10.612641439968344
1,58.63,23.17,19.32,11.69,28.2025,20.838428243671995
2,63.59,38.52,21.43,13.28,34.205000000000005,22.234760324021185
3,67.73,50.87,26.55,14.13,39.82,24.063385741273677
4,70.44,55.41,31.21,15.47,43.1325,24.52071556188087
5,70.33,57.75,37.01,15.47,45.13999999999999,24.08287081447448
6,71.5,59.94,41.4,16.02,47.215,24.211767799976936
7,73.42,63.58,47.19,17.11,50.325,24.645070501015006
8,77.24,67.76,51.16,17.96,53.53,26.048024877137998
9,79.75,71.3,55.57,19.15,56.4425,26.804705277245635
10,83.17,74.04,59.72,20.8,59.432500000000005,27.50394320214225
11,84.28,75.04,61.99,22.14,60.8625,27.3866395346344
12,86.29,78.23,65.83,23.93,63.57000000000001,27.73416184659875
13,88.04,80.12,67.73,24.78,65.16750000000002,28.19246397532504
14,89.2,82.16,70.33,25.92,66.9025,28.409404986142647
15,89.51,81.81,72.13,27.01,67.615,27.98833268822326
16,90.9,83.56,73.44,28.21,69.0275,28.137390752046173
17,91.21,84.6,73.79,29.6,69.80000000000001,27.745198984088518
18,92.23,85.05,75.9,29.35,70.63250000000001,28.321415189452193
19,92.19,84.85,76.02,31.09,71.0375,27.43988262244088
20,93.24,85.9,77.15,31.79,72.02,27.61468570646182
21,93.77,86.95,78.42,32.64,72.945,27.59401686356422
22,94.05,87.0,78.42,32.44,72.9775,27.77043076727475
23,94.74,87.54,79.34,33.48,73.775,27.590231967129238
24,93.96,86.95,79.39,33.13,73.3575,27.47035902568439
25,94.27,86.95,79.87,32.89,73.495,27.701048716609993
26,94.75,87.14,80.09,34.18,74.04,27.239286579008148
27,95.08,87.49,80.31,34.18,74.265,27.395340844749494
28,95.02,87.89,80.95,35.12,74.745,27.033986634111763
29,95.25,88.14,81.27,34.83,74.87249999999999,27.29834473003812
30,95.73,88.04,81.07,35.72,75.14000000000001,26.953412894597722
31,95.12,87.94,81.69,35.67,75.105,26.85652558814462
32,95.37,87.94,81.75,36.27,75.3325,26.63026896221666
33,95.56,88.44,81.81,37.16,75.7425,26.327322151458294
34,95.59,88.24,81.96,36.37,75.53999999999999,26.700797740891566
35,95.88,88.24,81.98,36.42,75.63000000000001,26.750833008836686
36,95.86,88.44,81.88,36.62,75.7,26.671907818277017
37,95.98,88.79,82.59,37.66,76.255,26.30531061718654
38,95.99,88.39,82.19,37.31,75.97,26.38396482714453
39,95.83,87.69,82.4,36.77,75.67249999999999,26.51671721134927
40,96.01,88.69,82.18,37.86,76.185,26.16709957179053
41,96.15,89.19,82.21,37.66,76.30250000000001,26.38277389383712
42,96.27,88.89,82.98,37.46,76.39999999999999,26.523178542550287
43,96.76,89.29,82.91,38.11,76.76750000000001,26.385890642538484
44,96.75,88.89,82.61,37.86,76.5275,26.419394864379463
45,96.74,89.04,83.09,38.46,76.8325,26.18483451032932
46,96.47,89.29,83.14,38.41,76.82749999999999,26.184560813578678
47,96.55,88.84,82.77,38.81,76.74249999999999,25.909405467255837
48,97.11,89.44,82.85,38.91,77.07749999999999,26.103717966348526
49,96.7,89.09,83.39,38.71,76.9725,26.084550184608002
