epoch,mnist_acc,usps_acc,svhn_acc,syn_acc,mean_acc,std
0,33.09,18.83,17.64,10.0,19.89,9.63047593147227
1,58.03,21.67,18.54,11.84,27.520000000000003,20.74917990347249
2,73.3,27.4,19.58,13.73,33.5025,27.116226845439492
3,76.54,42.35,22.27,14.48,38.910000000000004,27.69816480081909
4,80.81,55.41,24.02,15.07,43.8275,30.117494777399177
5,80.28,60.59,28.14,15.52,46.1325,29.641897571961664
6,81.29,64.92,31.2,17.11,48.629999999999995,29.604926391846792
7,81.06,68.71,36.14,16.67,50.644999999999996,29.530278811190836
8,82.65,72.6,39.8,17.96,53.252500000000005,29.80530755307406
9,82.89,76.23,43.81,18.36,55.322500000000005,29.97696157051278
10,83.46,77.83,48.0,19.65,57.235,29.49475716123121
11,84.14,79.27,51.88,21.29,59.144999999999996,28.957134411632197
12,84.89,80.57,56.23,23.38,61.26749999999999,28.233833574867816
13,86.93,83.31,58.4,25.52,63.540000000000006,28.3424593146043
14,87.72,84.75,60.9,27.91,65.32000000000001,27.678688552747584
15,87.74,84.85,63.97,29.2,66.44,26.990965155029187
16,89.5,87.05,65.63,32.34,68.63,26.462661745687388
17,89.54,87.64,67.39,33.48,69.5125,26.029170014940295
18,90.39,88.14,70.35,34.18,70.765,25.985032230112783
19,90.19,88.59,70.94,36.97,71.6725,24.7244796035562
20,91.56,88.59,72.56,37.86,72.6425,24.64429396432367
21,91.87,90.08,74.07,39.95,73.99249999999999,24.06456921838965
22,92.05,90.18,74.76,41.69,74.67,23.311749541093366
23,92.75,90.63,75.55,42.74,75.4175,23.091645494998108
24,92.45,90.63,76.33,42.44,75.46249999999999,23.16510504329015
25,92.46,90.98,77.24,43.93,76.1525,22.548181560087425
26,92.52,91.18,77.78,44.23,76.42750000000001,22.473043667173048
27,93.41,91.53,78.18,46.17,77.3225,21.847000366182996
28,93.63,91.73,78.48,47.56,77.85000000000001,21.28805455335613
29,93.93,91.68,78.92,47.66,78.04750000000001,21.30931154057619
30,94.02,91.83,78.6,48.96,78.35249999999999,20.745231379765325
31,93.34,91.73,79.8,48.76,78.4075,20.667058128012968
32,93.4,91.88,79.93,48.86,78.51750000000001,20.668878981051037
33,93.1,92.03,79.94,49.5,78.6425,20.324150453750008
34,93.61,92.18,80.09,50.15,79.0075,20.17155484835019
35,94.2,92.28,80.42,50.35,79.31250000000001,20.247194661647985
36,94.28,92.83,80.68,51.04,79.70750000000001,20.060982652901128
37,94.31,92.87,80.75,51.74,79.9175,19.74483793298897
38,94.4,92.53,80.79,51.94,79.915,19.598636857359924
39,94.34,92.48,81.09,52.09,80.0,19.506769765049945
40,94.35,92.73,81.17,52.44,80.1725,19.397412842954083
41,94.53,93.17,81.22,52.89,80.45249999999999,19.323485494772072
42,94.19,92.73,81.86,52.49,80.31750000000001,19.34998255813167
43,94.8,93.22,81.73,53.03,80.695,19.34123487956926
44,95.34,93.37,81.12,53.43,80.81500000000001,19.31005696521893
45,95.07,93.42,82.07,54.43,81.2475,18.789057764205914
46,94.97,93.07,82.11,53.83,80.99499999999999,18.97618419668893
47,94.64,93.27,82.05,54.28,81.06,18.72297163023719
48,95.15,93.47,82.08,55.37,81.5175,18.37312779577827
49,94.65,93.27,82.69,55.07,81.42,18.36110744662932
50,94.94,93.47,82.43,56.17,81.75250000000001,17.94559625646359
51,95.07,93.47,82.11,55.97,81.655,18.069151428147734
52,94.86,93.22,82.78,55.82,81.67,18.044696358394802
53,94.99,93.52,83.01,55.92,81.86,18.097500748261712
54,95.28,93.47,82.9,57.11,82.19,17.58879378088977
55,94.89,93.82,83.11,55.87,81.9225,18.16452105066357
56,95.2,93.57,82.65,56.82,82.05999999999999,17.725174188142695
57,95.43,93.57,83.54,57.21,82.4375,17.61041240289392
58,95.72,93.62,83.0,56.92,82.31500000000001,17.822011670964645
59,95.21,93.52,83.56,57.11,82.35,17.594224431140272
60,95.17,93.72,83.48,57.46,82.4575,17.45825568797372
61,95.44,93.87,83.38,57.21,82.475,17.673676282350918
62,95.54,93.87,83.11,58.01,82.63250000000001,17.314545667347637
63,95.3,93.72,82.89,58.16,82.51749999999998,17.149488573521175
64,94.95,93.92,83.14,58.56,82.6425,16.920115001579234
65,95.37,93.92,83.28,58.06,82.65750000000001,17.261479996415915
66,95.54,94.22,83.12,58.06,82.735,17.367374585699473
67,94.97,94.37,83.78,58.46,82.895,17.081507544710448
68,95.56,94.32,83.63,58.76,83.0675,17.06704695214338
69,95.89,94.37,82.99,59.35,83.15,16.87860183783005
70,95.81,94.37,83.79,59.2,83.2925,16.932167364713433
71,95.87,94.42,83.53,59.0,83.20500000000001,17.050572815402226
72,95.5,94.37,83.59,59.75,83.30250000000001,16.593889186484684
73,95.58,94.32,83.74,58.71,83.08749999999999,17.09697707198556
74,95.38,94.52,84.23,59.2,83.3325,16.86698426907825
75,95.33,94.72,83.86,59.75,83.415,16.633304943195544
76,94.98,94.47,83.77,60.05,83.3175,16.35006090712407
